action_taken,condition,condition_result,context_json_short,decision_type,inst_id,reason_code,reason_text,stage,timestamp,trade_id
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,1INCH-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:19,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,2Z-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:19,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,A-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:20,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,AAVE-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:20,
False,classic_turtle_breakout_short_filtered,True,"{""score"": null, ""liquidity_score"": 2240.5928, ""breakout_distance_atr"": 0.9524, ""freshness_score"": 0.9624}",ENTRY_CHECK,ACT-USDT-SWAP,classic_turtle_breakout_short_filtered,classic_turtle_breakout_short_filtered,candidate,2026-03-15 13:06:21,
False,classic_turtle_breakout_short_filtered,True,"{""score"": null, ""liquidity_score"": 2240.5928, ""breakout_distance_atr"": 0.9524, ""freshness_score"": 0.9624}",ENTRY_CHECK,ACT-USDT-SWAP,classic_turtle_breakout_short_filtered,classic_turtle_breakout_short_filtered,candidate,2026-03-15 13:06:21,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,ADA-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:21,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,AI16Z-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:22,
False,ATR warmup: цена или ATR недоступны после прогрева,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,AKITA-USDT-SWAP,atr_warmup:_цена_или_atr_недоступны_после_прогрева,ATR warmup: цена или ATR недоступны после прогрева,rejected,2026-03-15 13:06:22,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,ALGO-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:22,
False,закрытие не удержалось ниже канала - 0.15 ATR,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,ARB-USDT-SWAP,закрытие_не_удержалось_ниже_канала_-_0.15_atr,закрытие не удержалось ниже канала - 0.15 ATR,rejected,2026-03-15 13:06:23,
False,ATR warmup: цена или ATR недоступны после прогрева,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,ASP-USDT-SWAP,atr_warmup:_цена_или_atr_недоступны_после_прогрева,ATR warmup: цена или ATR недоступны после прогрева,rejected,2026-03-15 13:06:23,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,ASTER-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:23,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,ATOM-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:24,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,AUCTION-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:24,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,AVAX-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:24,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,AXS-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:25,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BAND-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:25,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BCH-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:25,
False,закрытие не удержалось выше канала + 0.15 ATR,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BIO-USDT-SWAP,закрытие_не_удержалось_выше_канала_+_0.15_atr,закрытие не удержалось выше канала + 0.15 ATR,rejected,2026-03-15 13:06:26,
False,закрытие не удержалось ниже канала - 0.15 ATR,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BIO-USDT-SWAP,закрытие_не_удержалось_ниже_канала_-_0.15_atr,закрытие не удержалось ниже канала - 0.15 ATR,rejected,2026-03-15 13:06:26,
False,ATR warmup: цена или ATR недоступны после прогрева,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BLUAI-USDT-SWAP,atr_warmup:_цена_или_atr_недоступны_после_прогрева,ATR warmup: цена или ATR недоступны после прогрева,rejected,2026-03-15 13:06:26,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BNB-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:27,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BOME-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:27,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BRETT-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:27,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BREV-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:28,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,BTC-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:28,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,CAT-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:28,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,CATI-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:29,
False,нет свежего пробоя Donchian на последней закрытой свече,False,"{""score"": null, ""liquidity_score"": null, ""breakout_distance_atr"": null, ""freshness_score"": null}",ENTRY_CHECK,CELO-USDT-SWAP,no_fresh_breakout,нет свежего пробоя Donchian на последней закрытой свече,rejected,2026-03-15 13:06:29,
