details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-15 13:06:19
"{""ts"": ""2026-03-15 13:06:19"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 1, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 1, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 114, ""trade_ready_count"": 114, ""signal_funnel"": {""cycle_id"": 1, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 13:06:19
,filter_diagnostics,,unknown,2026-03-15 13:22:10
"{""ts"": ""2026-03-15 13:22:10"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 3, ""blocked_count"": 2, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 4, ""available_after_bans_count"": 111, ""trade_ready_count"": 107, ""signal_funnel"": {""cycle_id"": 17, ""instruments_scanned"": 110, ""prefilter_skipped"": 5, ""warmup_rejected"": 15, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 96, ""other_rejected"": 0, ""candidates"": 4, ""ranked_candidates"": 4, ""orders_sent"": 0, ""entry_failed"": 2, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 13:22:10
,filter_diagnostics,,unknown,2026-03-15 13:37:15
"{""ts"": ""2026-03-15 13:37:15"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 6, ""blocked_count"": 5, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 3, ""hard_blocked_unique_count"": 9, ""execution_watchlist_count"": 0, ""open_positions_count"": 7, ""available_after_bans_count"": 106, ""trade_ready_count"": 99, ""signal_funnel"": {""cycle_id"": 30, ""instruments_scanned"": 102, ""prefilter_skipped"": 13, ""warmup_rejected"": 15, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 90, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 13:37:15
,filter_diagnostics,,unknown,2026-03-15 13:52:20
"{""ts"": ""2026-03-15 13:52:20"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 10, ""blocked_count"": 9, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 8, ""hard_blocked_unique_count"": 18, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 97, ""trade_ready_count"": 95, ""signal_funnel"": {""cycle_id"": 43, ""instruments_scanned"": 102, ""prefilter_skipped"": 13, ""warmup_rejected"": 15, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 91, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 13:52:20
,filter_diagnostics,,unknown,2026-03-15 14:07:21
"{""ts"": ""2026-03-15 14:07:21"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 10, ""blocked_count"": 9, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 7, ""hard_blocked_unique_count"": 17, ""execution_watchlist_count"": 0, ""open_positions_count"": 4, ""available_after_bans_count"": 98, ""trade_ready_count"": 94, ""signal_funnel"": {""cycle_id"": 59, ""instruments_scanned"": 101, ""prefilter_skipped"": 14, ""warmup_rejected"": 15, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 89, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 14:07:21
