action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
close_pending_exchange,QTUM-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:02:09,20260315_055024_QTUM-USDT-SWAP_long
close_pending_exchange,QTUM-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:03:13,20260315_055024_QTUM-USDT-SWAP_long
close_pending_exchange,QTUM-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:04:18,20260315_055024_QTUM-USDT-SWAP_long
position_closed,MASK-USDT-SWAP,0.0,0.0,5942.0,stopout_cooldown,ATR стоп 2.0N,long,True,2026-03-15 06:05:21,20260315_055023_MASK-USDT-SWAP_long
CLOSE,MASK-USDT-SWAP,0.0,0.4497,5942.0,,ATR стоп 2.0N,long,True,2026-03-15 06:05:21,20260315_055023_MASK-USDT-SWAP_long
position_closed,QTUM-USDT-SWAP,0.0,0.0,3000.0,stopout_cooldown,ATR стоп 2.0N,long,True,2026-03-15 06:05:23,20260315_055024_QTUM-USDT-SWAP_long
CLOSE,QTUM-USDT-SWAP,0.0,0.884,3000.0,,ATR стоп 2.0N,long,True,2026-03-15 06:05:23,20260315_055024_QTUM-USDT-SWAP_long
position_opened,XTZ-USDT-SWAP,0.0,0.3811,7015.0,,,long,True,2026-03-15 06:15:05,20260315_061504_XTZ-USDT-SWAP_long
OPEN,XTZ-USDT-SWAP,0.0,0.3811,7015.0,,Первичный вход,long,True,2026-03-15 06:15:05,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:15:39,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:16:43,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:17:47,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:18:52,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:19:55,20260315_061504_XTZ-USDT-SWAP_long
position_opened,TRX-USDT-SWAP,0.0,0.2966,8.9,,,short,True,2026-03-15 06:20:28,20260315_062028_TRX-USDT-SWAP_short
OPEN,TRX-USDT-SWAP,0.0,0.2966,8.9,,Первичный вход,short,True,2026-03-15 06:20:28,20260315_062028_TRX-USDT-SWAP_short
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:20:59,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,TRX-USDT-SWAP,0.0,0.0,0.0,,,short,True,2026-03-15 06:21:01,20260315_062028_TRX-USDT-SWAP_short
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:22:03,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,TRX-USDT-SWAP,0.0,0.0,0.0,,,short,True,2026-03-15 06:22:05,20260315_062028_TRX-USDT-SWAP_short
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:23:07,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,TRX-USDT-SWAP,0.0,0.0,0.0,,,short,True,2026-03-15 06:23:09,20260315_062028_TRX-USDT-SWAP_short
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:24:11,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,TRX-USDT-SWAP,0.0,0.0,0.0,,,short,True,2026-03-15 06:24:12,20260315_062028_TRX-USDT-SWAP_short
position_opened,YGG-USDT-SWAP,0.0,0.0497,52544.0,,,long,True,2026-03-15 06:25:14,20260315_062513_YGG-USDT-SWAP_long
OPEN,YGG-USDT-SWAP,0.0,0.0497,52544.0,,Первичный вход,long,True,2026-03-15 06:25:14,20260315_062513_YGG-USDT-SWAP_long
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.0,0.0,,,long,True,2026-03-15 06:25:16,20260315_061504_XTZ-USDT-SWAP_long
close_pending_exchange,TRX-USDT-SWAP,0.0,0.0,0.0,,,short,True,2026-03-15 06:25:18,20260315_062028_TRX-USDT-SWAP_short
close_pending_exchange,TRX-USDT-SWAP,0.0,0.0,0.0,,,short,True,2026-03-15 06:26:24,20260315_062028_TRX-USDT-SWAP_short
