action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
position_opened,LRC-USDT-SWAP,0.0,0.02958,4000.0,,,short,True,2026-03-16 14:44:10,20260316_144409_LRC-USDT-SWAP_short
OPEN,LRC-USDT-SWAP,0.0,0.02958,4000.0,,Первичный вход,short,True,2026-03-16 14:44:10,20260316_144409_LRC-USDT-SWAP_short
position_opened,PEPE-USDT-SWAP,0.0,3.595e-06,41.4,,,long,True,2026-03-16 14:44:12,20260316_144411_PEPE-USDT-SWAP_long
OPEN,PEPE-USDT-SWAP,0.0,3.595e-06,41.4,,Первичный вход,long,True,2026-03-16 14:44:12,20260316_144411_PEPE-USDT-SWAP_long
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_25395003333.33r_→_3695003333.33r,Защита тренда: откат от пика 25395003333.33R → 3695003333.33R,long,True,2026-03-16 14:44:13,20260316_144331_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 25395003333.33R → 3695003333.33R,long,True,2026-03-16 14:44:13,20260316_144331_BREV-USDT-SWAP_long
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_24395003333.33r_→_3695003333.33r,Защита тренда: откат от пика 24395003333.33R → 3695003333.33R,long,True,2026-03-16 14:45:05,20260316_144420_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 24395003333.33R → 3695003333.33R,long,True,2026-03-16 14:45:05,20260316_144420_BREV-USDT-SWAP_long
position_opened,SOL-USDT-SWAP,0.0,94.28,15.68,,,short,True,2026-03-16 14:45:48,20260316_144547_SOL-USDT-SWAP_short
OPEN,SOL-USDT-SWAP,0.0,94.28,15.68,,Первичный вход,short,True,2026-03-16 14:45:48,20260316_144547_SOL-USDT-SWAP_short
position_opened,ATOM-USDT-SWAP,0.0,1.9109895424836603,765.0,,,long,True,2026-03-16 14:45:50,20260316_144549_ATOM-USDT-SWAP_long
OPEN,ATOM-USDT-SWAP,0.0,1.9109895424836603,765.0,,Первичный вход,long,True,2026-03-16 14:45:50,20260316_144549_ATOM-USDT-SWAP_long
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_24395003333.33r_→_3695003333.33r,Защита тренда: откат от пика 24395003333.33R → 3695003333.33R,long,True,2026-03-16 14:45:57,20260316_144512_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 24395003333.33R → 3695003333.33R,long,True,2026-03-16 14:45:57,20260316_144512_BREV-USDT-SWAP_long
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_24995003333.33r_→_3695003333.33r,Защита тренда: откат от пика 24995003333.33R → 3695003333.33R,long,True,2026-03-16 14:46:47,20260316_144603_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 24995003333.33R → 3695003333.33R,long,True,2026-03-16 14:46:47,20260316_144603_BREV-USDT-SWAP_long
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_24995003333.33r_→_3695003333.33r,Защита тренда: откат от пика 24995003333.33R → 3695003333.33R,long,True,2026-03-16 14:46:59,20260316_144652_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 24995003333.33R → 3695003333.33R,long,True,2026-03-16 14:46:59,20260316_144652_BREV-USDT-SWAP_long
