cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.101,False,,False,long,5m,2026-03-16 16:13:13
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.101,False,,False,short,5m,2026-03-16 16:13:13
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0842,False,,False,long,5m,2026-03-16 16:13:13
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0842,False,,False,short,5m,2026-03-16 16:13:13
False,reentry_check,True,ok,A-USDT-SWAP,0.0824,False,,False,long,5m,2026-03-16 16:13:14
False,reentry_check,True,ok,A-USDT-SWAP,0.0824,False,,False,short,5m,2026-03-16 16:13:14
False,reentry_check,True,ok,AAVE-USDT-SWAP,120.34,False,,False,long,5m,2026-03-16 16:13:14
False,reentry_check,True,ok,AAVE-USDT-SWAP,120.34,False,,False,short,5m,2026-03-16 16:13:14
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01443,False,,False,long,5m,2026-03-16 16:13:14
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01443,False,,False,short,5m,2026-03-16 16:13:14
False,reentry_check,True,ok,ADA-USDT-SWAP,0.1996,False,,False,long,5m,2026-03-16 16:13:15
False,reentry_check,True,ok,ADA-USDT-SWAP,0.1996,False,,False,short,5m,2026-03-16 16:13:15
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05902,False,,False,long,5m,2026-03-16 16:13:15
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05902,False,,False,short,5m,2026-03-16 16:13:15
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0942,False,,False,long,5m,2026-03-16 16:13:16
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0942,False,,False,short,5m,2026-03-16 16:13:16
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1078,False,,False,long,5m,2026-03-16 16:13:16
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1078,False,,False,short,5m,2026-03-16 16:13:16
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.7149,False,,False,long,5m,2026-03-16 16:13:17
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.7149,False,,False,short,5m,2026-03-16 16:13:17
,reentry_check,True,scan,ASTER-USDT-SWAP,0.7149,False,0.0,,scan,5m,2026-03-16 16:13:17
False,reentry_check,True,ok,ATOM-USDT-SWAP,1.9,False,,False,long,5m,2026-03-16 16:13:17
False,reentry_check,True,ok,ATOM-USDT-SWAP,1.9,False,,False,short,5m,2026-03-16 16:13:17
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.906,False,,False,long,5m,2026-03-16 16:13:18
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.906,False,,False,short,5m,2026-03-16 16:13:18
False,reentry_check,True,ok,AVAX-USDT-SWAP,7.328,False,,False,long,5m,2026-03-16 16:13:18
False,reentry_check,True,ok,AVAX-USDT-SWAP,7.328,False,,False,short,5m,2026-03-16 16:13:18
False,reentry_check,True,ok,AXS-USDT-SWAP,1.2272,False,,False,long,5m,2026-03-16 16:13:19
False,reentry_check,True,ok,AXS-USDT-SWAP,1.2272,False,,False,short,5m,2026-03-16 16:13:19
False,reentry_check,True,ok,BAND-USDT-SWAP,0.2355,False,,False,long,5m,2026-03-16 16:13:19
False,reentry_check,True,ok,BAND-USDT-SWAP,0.2355,False,,False,short,5m,2026-03-16 16:13:19
,reentry_check,True,scan,BAND-USDT-SWAP,0.2355,False,0.0,,scan,5m,2026-03-16 16:13:19
False,reentry_check,True,ok,BCH-USDT-SWAP,475.1,False,,False,long,5m,2026-03-16 16:13:19
False,reentry_check,True,ok,BCH-USDT-SWAP,475.1,False,,False,short,5m,2026-03-16 16:13:19
False,reentry_check,True,ok,BIO-USDT-SWAP,0.02594,False,,False,long,5m,2026-03-16 16:13:20
False,reentry_check,True,ok,BIO-USDT-SWAP,0.02594,False,,False,short,5m,2026-03-16 16:13:20
False,reentry_check,True,ok,BNB-USDT-SWAP,723.1,False,,False,long,5m,2026-03-16 16:13:20
False,reentry_check,True,ok,BNB-USDT-SWAP,723.1,False,,False,short,5m,2026-03-16 16:13:20
False,reentry_check,True,ok,BOME-USDT-SWAP,0.000485,False,,False,long,5m,2026-03-16 16:13:21
False,reentry_check,True,ok,BOME-USDT-SWAP,0.000485,False,,False,short,5m,2026-03-16 16:13:21
False,reentry_check,True,ok,BRETT-USDT-SWAP,0.0082,False,,False,long,5m,2026-03-16 16:13:21
False,reentry_check,True,ok,BRETT-USDT-SWAP,0.0082,False,,False,short,5m,2026-03-16 16:13:21
False,reentry_check,True,ok,BTC-USDT-SWAP,73957.5,False,,False,long,5m,2026-03-16 16:13:21
False,reentry_check,True,ok,BTC-USDT-SWAP,73957.5,False,,False,short,5m,2026-03-16 16:13:21
False,reentry_check,True,ok,CAT-USDT-SWAP,2.057e-06,False,,False,long,5m,2026-03-16 16:13:22
False,reentry_check,True,ok,CAT-USDT-SWAP,2.057e-06,False,,False,short,5m,2026-03-16 16:13:22
False,reentry_check,True,ok,CATI-USDT-SWAP,0.0308,False,,False,long,5m,2026-03-16 16:13:22
False,reentry_check,True,ok,CATI-USDT-SWAP,0.0308,False,,False,short,5m,2026-03-16 16:13:22
False,reentry_check,True,ok,CELO-USDT-SWAP,0.079,False,,False,long,5m,2026-03-16 16:13:22
False,reentry_check,True,ok,CELO-USDT-SWAP,0.079,False,,False,short,5m,2026-03-16 16:13:22
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06497,False,,False,long,5m,2026-03-16 16:13:23
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06497,False,,False,short,5m,2026-03-16 16:13:23
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03945,False,,False,long,5m,2026-03-16 16:13:23
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03945,False,,False,short,5m,2026-03-16 16:13:23
False,reentry_check,True,ok,COMP-USDT-SWAP,19.36,False,,False,long,5m,2026-03-16 16:13:24
False,reentry_check,True,ok,COMP-USDT-SWAP,19.36,False,,False,short,5m,2026-03-16 16:13:24
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2476,False,,False,long,5m,2026-03-16 16:13:24
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2476,False,,False,short,5m,2026-03-16 16:13:24
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.0998,False,,False,long,5m,2026-03-16 16:13:24
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.0998,False,,False,short,5m,2026-03-16 16:13:24
False,reentry_check,True,ok,DOT-USDT-SWAP,1.593,False,,False,long,5m,2026-03-16 16:13:25
False,reentry_check,True,ok,DOT-USDT-SWAP,1.593,False,,False,short,5m,2026-03-16 16:13:25
False,reentry_check,True,ok,ENA-USDT-SWAP,0.1127,False,,False,long,5m,2026-03-16 16:13:25
False,reentry_check,True,ok,ENA-USDT-SWAP,0.1127,False,,False,short,5m,2026-03-16 16:13:25
False,reentry_check,True,ok,ETC-USDT-SWAP,9.2,False,,False,long,5m,2026-03-16 16:13:26
False,reentry_check,True,ok,ETC-USDT-SWAP,9.2,False,,False,short,5m,2026-03-16 16:13:26
,reentry_check,True,scan,ETC-USDT-SWAP,9.2,False,0.0,,scan,5m,2026-03-16 16:13:26
False,reentry_check,True,ok,ETH-USDT-SWAP,2273.5,False,,False,long,5m,2026-03-16 16:13:26
False,reentry_check,True,ok,ETH-USDT-SWAP,2273.5,False,,False,short,5m,2026-03-16 16:13:26
False,reentry_check,True,ok,ETHFI-USDT-SWAP,0.7512,False,,False,long,5m,2026-03-16 16:13:26
False,reentry_check,True,ok,ETHFI-USDT-SWAP,0.7512,False,,False,short,5m,2026-03-16 16:13:26
,reentry_check,True,scan,ETHFI-USDT-SWAP,0.7512,False,0.0,,scan,5m,2026-03-16 16:13:27
False,reentry_check,True,ok,ETHW-USDT-SWAP,0.3784,False,,False,long,5m,2026-03-16 16:13:27
False,reentry_check,True,ok,ETHW-USDT-SWAP,0.3784,False,,False,short,5m,2026-03-16 16:13:27
False,reentry_check,True,ok,FIL-USDT-SWAP,0.933,False,,False,long,5m,2026-03-16 16:13:27
False,reentry_check,True,ok,FIL-USDT-SWAP,0.933,False,,False,short,5m,2026-03-16 16:13:27
,reentry_check,True,scan,FIL-USDT-SWAP,0.933,False,0.0,,scan,5m,2026-03-16 16:13:28
False,reentry_check,True,ok,FLOKI-USDT-SWAP,3.21e-05,False,,False,long,5m,2026-03-16 16:13:28
False,reentry_check,True,ok,FLOKI-USDT-SWAP,3.21e-05,False,,False,short,5m,2026-03-16 16:13:28
False,reentry_check,True,ok,GMT-USDT-SWAP,0.00873,False,,False,long,5m,2026-03-16 16:13:28
False,reentry_check,True,ok,GMT-USDT-SWAP,0.00873,False,,False,short,5m,2026-03-16 16:13:28
False,reentry_check,True,ok,H-USDT-SWAP,0.0786,False,,False,long,5m,2026-03-16 16:13:29
False,reentry_check,True,ok,H-USDT-SWAP,0.0786,False,,False,short,5m,2026-03-16 16:13:29
False,reentry_check,True,ok,HBAR-USDT-SWAP,0.0984,False,,False,long,5m,2026-03-16 16:13:29
