action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
position_opened,ETHFI-USDT-SWAP,0.0,0.7512,1897.0,,,long,True,2026-03-16 16:13:54,20260316_161353_ETHFI-USDT-SWAP_long
OPEN,ETHFI-USDT-SWAP,0.0,0.7512,1897.0,,Первичный вход,long,True,2026-03-16 16:13:54,20260316_161353_ETHFI-USDT-SWAP_long
position_opened,XTZ-USDT-SWAP,0.0,0.380360628019324,3726.0,,,long,True,2026-03-16 16:13:55,20260316_161355_XTZ-USDT-SWAP_long
OPEN,XTZ-USDT-SWAP,0.0,0.380360628019324,3726.0,,Первичный вход,long,True,2026-03-16 16:13:55,20260316_161355_XTZ-USDT-SWAP_long
position_opened,BAND-USDT-SWAP,0.0,0.2361,5912.0,,,short,True,2026-03-16 16:13:57,20260316_161356_BAND-USDT-SWAP_short
OPEN,BAND-USDT-SWAP,0.0,0.2361,5912.0,,Первичный вход,short,True,2026-03-16 16:13:57,20260316_161356_BAND-USDT-SWAP_short
position_opened,MINA-USDT-SWAP,0.0,0.05976,23090.0,,,short,True,2026-03-16 16:13:59,20260316_161358_MINA-USDT-SWAP_short
OPEN,MINA-USDT-SWAP,0.0,0.05976,23090.0,,Первичный вход,short,True,2026-03-16 16:13:59,20260316_161358_MINA-USDT-SWAP_short
position_opened,FIL-USDT-SWAP,0.0,0.935,14577.0,,,short,True,2026-03-16 16:14:01,20260316_161400_FIL-USDT-SWAP_short
OPEN,FIL-USDT-SWAP,0.0,0.935,14577.0,,Первичный вход,short,True,2026-03-16 16:14:01,20260316_161400_FIL-USDT-SWAP_short
position_opened,ETC-USDT-SWAP,0.0,9.37586584531143,14.61,,,long,True,2026-03-16 16:14:02,20260316_161402_ETC-USDT-SWAP_long
OPEN,ETC-USDT-SWAP,0.0,9.37586584531143,14.61,,Первичный вход,long,True,2026-03-16 16:14:02,20260316_161402_ETC-USDT-SWAP_long
position_closed,CRO-USDT-SWAP,0.0,0.0,9584.0,локальный_защитный_выход_2.0n,Локальный защитный выход 2.0N,short,True,2026-03-16 16:14:03,20260316_161313_CRO-USDT-SWAP_short
CLOSE,CRO-USDT-SWAP,0.0,0.10357,9584.0,,Локальный защитный выход 2.0N,short,True,2026-03-16 16:14:03,20260316_161313_CRO-USDT-SWAP_short
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_25395003333.33r_→_3695003333.33r,Защита тренда: откат от пика 25395003333.33R → 3695003333.33R,long,True,2026-03-16 16:14:04,20260316_161313_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 25395003333.33R → 3695003333.33R,long,True,2026-03-16 16:14:04,20260316_161313_BREV-USDT-SWAP_long
position_opened,ETHFI-USDT-SWAP,0.0,0.7512,1754.0,,,long,True,2026-03-16 16:14:48,20260316_161448_ETHFI-USDT-SWAP_long
OPEN,ETHFI-USDT-SWAP,0.0,0.7512,1754.0,,Первичный вход,long,True,2026-03-16 16:14:48,20260316_161448_ETHFI-USDT-SWAP_long
position_closed,CRO-USDT-SWAP,0.0,0.0,9584.0,локальный_защитный_выход_2.0n,Локальный защитный выход 2.0N,short,True,2026-03-16 16:15:01,20260316_161414_CRO-USDT-SWAP_short
CLOSE,CRO-USDT-SWAP,0.0,0.10357,9584.0,,Локальный защитный выход 2.0N,short,True,2026-03-16 16:15:01,20260316_161414_CRO-USDT-SWAP_short
position_closed,BREV-USDT-SWAP,0.0,0.0,120000.0,защита_тренда:_откат_от_пика_25395003333.33r_→_3695003333.33r,Защита тренда: откат от пика 25395003333.33R → 3695003333.33R,long,True,2026-03-16 16:15:04,20260316_161414_BREV-USDT-SWAP_long
CLOSE,BREV-USDT-SWAP,0.0,1.0126,120000.0,,Защита тренда: откат от пика 25395003333.33R → 3695003333.33R,long,True,2026-03-16 16:15:04,20260316_161414_BREV-USDT-SWAP_long
