cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.1013,False,,False,long,5m,2026-03-16 16:06:26
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.1013,False,,False,short,5m,2026-03-16 16:06:26
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0844,False,,False,long,5m,2026-03-16 16:06:26
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0844,False,,False,short,5m,2026-03-16 16:06:26
False,reentry_check,True,ok,A-USDT-SWAP,0.0824,False,,False,long,5m,2026-03-16 16:06:26
False,reentry_check,True,ok,A-USDT-SWAP,0.0824,False,,False,short,5m,2026-03-16 16:06:26
False,reentry_check,True,ok,AAVE-USDT-SWAP,120.3,False,,False,long,5m,2026-03-16 16:06:27
False,reentry_check,True,ok,AAVE-USDT-SWAP,120.3,False,,False,short,5m,2026-03-16 16:06:27
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01444,False,,False,long,5m,2026-03-16 16:06:27
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01444,False,,False,short,5m,2026-03-16 16:06:27
,reentry_check,True,scan,ACT-USDT-SWAP,0.01444,False,0.0,,scan,5m,2026-03-16 16:06:27
False,reentry_check,True,ok,ADA-USDT-SWAP,0.1996,False,,False,long,5m,2026-03-16 16:06:27
False,reentry_check,True,ok,ADA-USDT-SWAP,0.1996,False,,False,short,5m,2026-03-16 16:06:27
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05902,False,,False,long,5m,2026-03-16 16:06:28
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05902,False,,False,short,5m,2026-03-16 16:06:28
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0943,False,,False,long,5m,2026-03-16 16:06:28
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0943,False,,False,short,5m,2026-03-16 16:06:28
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1079,False,,False,long,5m,2026-03-16 16:06:28
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1079,False,,False,short,5m,2026-03-16 16:06:28
,reentry_check,True,scan,ARB-USDT-SWAP,0.1079,False,0.0,,scan,5m,2026-03-16 16:06:29
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.721,False,,False,long,5m,2026-03-16 16:06:29
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.721,False,,False,short,5m,2026-03-16 16:06:29
False,reentry_check,True,ok,ATOM-USDT-SWAP,1.9,False,,False,long,5m,2026-03-16 16:06:30
False,reentry_check,True,ok,ATOM-USDT-SWAP,1.9,False,,False,short,5m,2026-03-16 16:06:30
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.917,False,,False,long,5m,2026-03-16 16:06:30
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.917,False,,False,short,5m,2026-03-16 16:06:30
False,reentry_check,True,ok,AVAX-USDT-SWAP,7.168,False,,False,long,5m,2026-03-16 16:06:30
False,reentry_check,True,ok,AVAX-USDT-SWAP,7.168,False,,False,short,5m,2026-03-16 16:06:30
,reentry_check,True,scan,AVAX-USDT-SWAP,7.168,False,0.0,,scan,5m,2026-03-16 16:06:31
False,reentry_check,True,ok,AXS-USDT-SWAP,1.2297,False,,False,long,5m,2026-03-16 16:06:31
False,reentry_check,True,ok,AXS-USDT-SWAP,1.2297,False,,False,short,5m,2026-03-16 16:06:31
False,reentry_check,True,ok,BAND-USDT-SWAP,0.2365,False,,False,long,5m,2026-03-16 16:06:31
False,reentry_check,True,ok,BAND-USDT-SWAP,0.2365,False,,False,short,5m,2026-03-16 16:06:31
False,reentry_check,True,ok,BCH-USDT-SWAP,475.6,False,,False,long,5m,2026-03-16 16:06:32
False,reentry_check,True,ok,BCH-USDT-SWAP,475.6,False,,False,short,5m,2026-03-16 16:06:32
False,reentry_check,True,ok,BIO-USDT-SWAP,0.02594,False,,False,long,5m,2026-03-16 16:06:32
False,reentry_check,True,ok,BIO-USDT-SWAP,0.02594,False,,False,short,5m,2026-03-16 16:06:32
False,reentry_check,True,ok,BOME-USDT-SWAP,0.000485,False,,False,long,5m,2026-03-16 16:06:32
False,reentry_check,True,ok,BOME-USDT-SWAP,0.000485,False,,False,short,5m,2026-03-16 16:06:32
,reentry_check,True,scan,BOME-USDT-SWAP,0.000485,False,0.0,,scan,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,BRETT-USDT-SWAP,0.0082,False,,False,long,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,BRETT-USDT-SWAP,0.0082,False,,False,short,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,BTC-USDT-SWAP,73962.5,False,,False,long,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,BTC-USDT-SWAP,73962.5,False,,False,short,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,CAT-USDT-SWAP,2.06e-06,False,,False,long,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,CAT-USDT-SWAP,2.06e-06,False,,False,short,5m,2026-03-16 16:06:33
False,reentry_check,True,ok,CATI-USDT-SWAP,0.0308,False,,False,long,5m,2026-03-16 16:06:34
False,reentry_check,True,ok,CATI-USDT-SWAP,0.0308,False,,False,short,5m,2026-03-16 16:06:34
False,reentry_check,True,ok,CELO-USDT-SWAP,0.0789,False,,False,long,5m,2026-03-16 16:06:34
False,reentry_check,True,ok,CELO-USDT-SWAP,0.0789,False,,False,short,5m,2026-03-16 16:06:34
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06571,False,,False,long,5m,2026-03-16 16:06:34
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06571,False,,False,short,5m,2026-03-16 16:06:34
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03951,False,,False,long,5m,2026-03-16 16:06:35
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03951,False,,False,short,5m,2026-03-16 16:06:35
,reentry_check,True,scan,CHZ-USDT-SWAP,0.03951,False,0.0,,scan,5m,2026-03-16 16:06:35
False,reentry_check,True,ok,COMP-USDT-SWAP,19.38,False,,False,long,5m,2026-03-16 16:06:35
False,reentry_check,True,ok,COMP-USDT-SWAP,19.38,False,,False,short,5m,2026-03-16 16:06:35
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2471,False,,False,long,5m,2026-03-16 16:06:36
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2471,False,,False,short,5m,2026-03-16 16:06:36
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.10005,False,,False,long,5m,2026-03-16 16:06:36
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.10005,False,,False,short,5m,2026-03-16 16:06:36
False,reentry_check,True,ok,DOT-USDT-SWAP,1.603,False,,False,long,5m,2026-03-16 16:06:36
False,reentry_check,True,ok,DOT-USDT-SWAP,1.603,False,,False,short,5m,2026-03-16 16:06:36
False,reentry_check,True,ok,ENA-USDT-SWAP,0.1127,False,,False,long,5m,2026-03-16 16:06:37
