action,atr,attempt,cancelled_algo_id,current_price,event,exchange_stop_algo_id,exchange_stop_price,exchange_stop_status,fill_price,inst_id,local_reason,operation,qty,reason,requested_stop,response,response_code,side,slippage_abs,strategy_stop_price,trade_id,trigger_price,ts
place_missing_stop,6.150000000000044e-05,,,0.02948,STOP_MISSING,,0.0,,,LRC-USDT-SWAP,,,4000.0,manage_open_positions,,,,short,,0.029603,20260316_160625_LRC-USDT-SWAP_short,,2026-03-16 16:07:00
,6.150000000000044e-05,1,,,STOP_PLACED,3394501245976002560,0.029603,active,,LRC-USDT-SWAP,,,4000.0,missing_stop_recovery,0.029603,,0,short,,0.029603,20260316_160625_LRC-USDT-SWAP_short,,2026-03-16 16:07:00
place_missing_stop,1.0499999999999603,,,722.0,STOP_MISSING,,0.0,,,BNB-USDT-SWAP,,,388.0,manage_open_positions,,,,short,,724.6999999999999,20260316_160625_BNB-USDT-SWAP_short,,2026-03-16 16:07:01
,1.0499999999999603,1,,,STOP_PLACED,3394501272383340544,724.6999999999999,active,,BNB-USDT-SWAP,,,388.0,missing_stop_recovery,724.6999999999999,,0,short,,724.6999999999999,20260316_160625_BNB-USDT-SWAP_short,,2026-03-16 16:07:01
place_missing_stop,0.09100000000000011,,,9.05,STOP_MISSING,,0.0,,,ETC-USDT-SWAP,,,16.53,manage_open_positions,,,,short,,9.032,20260316_160626_ETC-USDT-SWAP_short,,2026-03-16 16:07:02
,0.09100000000000011,,,9.05,STOP_REJECTED,,0.0,rejected_market_crossed,,ETC-USDT-SWAP,,place_stop,16.53,market_already_crossed_stop,9.032,,,short,,9.032,20260316_160626_ETC-USDT-SWAP_short,,2026-03-16 16:07:02
,0.09100000000000011,,,9.05,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,ETC-USDT-SWAP,,,16.53,market_already_crossed_stop,9.032,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,9.032,20260316_160626_ETC-USDT-SWAP_short,,2026-03-16 16:07:02
,0.09100000000000011,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,9.05,ETC-USDT-SWAP,market_already_crossed_stop,,16.53,,,,,short,-0.018000000000000682,9.032,20260316_160626_ETC-USDT-SWAP_short,9.032,2026-03-16 16:07:02
place_missing_stop,7.100000000000024e-05,,,0.10346,STOP_MISSING,,0.0,,,CRO-USDT-SWAP,,,9584.0,manage_open_positions,,,,short,,0.1028346093294466,20260316_160626_CRO-USDT-SWAP_short,,2026-03-16 16:07:03
,7.100000000000024e-05,,,0.10346,STOP_REJECTED,,0.0,rejected_market_crossed,,CRO-USDT-SWAP,,place_stop,9584.0,market_already_crossed_stop,0.1028346093294466,,,short,,0.1028346093294466,20260316_160626_CRO-USDT-SWAP_short,,2026-03-16 16:07:03
,7.100000000000024e-05,,,0.10346,LOCAL_PROTECTIVE_EXIT,,0.0,local_protective_exit_pending,,CRO-USDT-SWAP,,,9584.0,market_already_crossed_stop,0.1028346093294466,"{'code': 'LOCAL', 'msg': 'market_already_crossed_stop'}",,short,,0.1028346093294466,20260316_160626_CRO-USDT-SWAP_short,,2026-03-16 16:07:03
,7.100000000000024e-05,,,,LOCAL_PROTECTIVE_EXIT_TRIGGERED,,0.0,local_protective_exit_pending,0.10346,CRO-USDT-SWAP,market_already_crossed_stop,,9584.0,,,,,short,-0.000625390670553394,0.1028346093294466,20260316_160626_CRO-USDT-SWAP_short,0.1028346093294466,2026-03-16 16:07:03
