available_after_bans,cache_errors,cache_fetch_count,closed_trades,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
115,0,0,0,SYSTEM_HEALTH,0.0,4,0,0,115,2026-03-16 17:12:39
115,0,0,0,SYSTEM_HEALTH,0.0,5,0,3,115,2026-03-16 17:13:14
114,0,108,3,SYSTEM_HEALTH,45.975078105926514,6,0,0,115,2026-03-16 17:14:04
114,0,345,11,SYSTEM_HEALTH,41.37126898765564,5,0,0,115,2026-03-16 17:15:05
114,0,453,14,SYSTEM_HEALTH,51.80973982810974,7,0,5,115,2026-03-16 17:16:02
114,0,598,17,SYSTEM_HEALTH,51.17503786087036,8,0,2,115,2026-03-16 17:17:29
114,1,744,20,SYSTEM_HEALTH,50.75022482872009,8,0,2,115,2026-03-16 17:18:25
114,1,898,23,SYSTEM_HEALTH,50.51807475090027,8,0,2,115,2026-03-16 17:19:20
114,1,1043,26,SYSTEM_HEALTH,44.92002320289612,8,0,3,115,2026-03-16 17:20:12
114,1,1168,29,SYSTEM_HEALTH,50.41911458969116,9,0,1,115,2026-03-16 17:21:05
114,1,1315,32,SYSTEM_HEALTH,49.023011207580566,9,0,1,115,2026-03-16 17:22:00
114,1,1603,35,SYSTEM_HEALTH,51.267141819000244,9,0,0,115,2026-03-16 17:23:00
114,1,1760,38,SYSTEM_HEALTH,54.155977725982666,9,0,0,115,2026-03-16 17:24:00
114,1,1904,42,SYSTEM_HEALTH,49.777342319488525,8,0,0,115,2026-03-16 17:25:02
113,1,2047,46,SYSTEM_HEALTH,49.380191802978516,7,0,1,115,2026-03-16 17:26:01
113,1,2206,51,SYSTEM_HEALTH,44.47338247299194,6,0,0,115,2026-03-16 17:27:01
113,1,2471,53,SYSTEM_HEALTH,48.76408505439758,6,0,0,115,2026-03-16 17:28:31
113,1,2471,55,SYSTEM_HEALTH,49.40399503707886,6,0,0,115,2026-03-16 17:29:24
113,1,2612,57,SYSTEM_HEALTH,43.538594245910645,7,0,3,115,2026-03-16 17:30:12
112,1,2733,61,SYSTEM_HEALTH,51.95341444015503,7,0,9,115,2026-03-16 17:31:08
112,1,2879,63,SYSTEM_HEALTH,55.2204647064209,10,0,4,115,2026-03-16 17:32:06
112,1,3212,65,SYSTEM_HEALTH,62.56153964996338,10,0,4,115,2026-03-16 17:33:15
112,1,3212,70,SYSTEM_HEALTH,72.81735706329346,6,0,4,115,2026-03-16 17:34:00
112,1,3412,72,SYSTEM_HEALTH,72.81735706329346,8,0,8,115,2026-03-16 17:35:00
106,1,3574,72,SYSTEM_HEALTH,60.82580494880676,11,0,14,115,2026-03-16 17:36:00
106,1,3723,75,SYSTEM_HEALTH,72.73954153060913,10,0,0,115,2026-03-16 17:37:01
106,1,3976,78,SYSTEM_HEALTH,65.37354111671448,10,0,2,115,2026-03-16 17:38:07
106,1,4149,80,SYSTEM_HEALTH,61.20188331604004,10,0,0,115,2026-03-16 17:39:13
105,1,4332,82,SYSTEM_HEALTH,59.89276361465454,12,0,3,115,2026-03-16 17:40:18
105,1,4502,84,SYSTEM_HEALTH,58.73795700073242,12,0,0,115,2026-03-16 17:41:18
105,1,4660,86,SYSTEM_HEALTH,53.56771111488342,12,0,0,115,2026-03-16 17:42:18
105,1,4836,88,SYSTEM_HEALTH,64.20074343681335,12,0,0,115,2026-03-16 17:43:34
105,1,4836,90,SYSTEM_HEALTH,64.20074343681335,10,0,0,115,2026-03-16 17:44:00
105,1,5000,90,SYSTEM_HEALTH,64.08384990692139,12,0,0,115,2026-03-16 17:45:01
104,1,5186,96,SYSTEM_HEALTH,63.382408618927,9,0,4,115,2026-03-16 17:46:01
104,3,5368,99,SYSTEM_HEALTH,68.00278210639954,11,0,0,115,2026-03-16 17:47:32
104,3,5368,103,SYSTEM_HEALTH,87.04133248329163,10,0,0,115,2026-03-16 17:48:00
104,3,5629,106,SYSTEM_HEALTH,53.23986840248108,10,0,0,115,2026-03-16 17:49:28
