atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
0.003325,0.150376,0.131579,0.06015,0.0818,2.315789,0.030075,0.06015,0.0895,0.0818,minimal,0.0816,breakout_quality,True,2Z-USDT-SWAP,short,Turtle 55,5m,2026-03-16 18:51:33
0.000745,0.536913,0.571429,0.536913,0.09995,4.228188,0.067114,-0.536913,0.1031,0.09995,minimal,0.10035,breakout_quality,True,DOGE-USDT-SWAP,short,Turtle 20,5m,2026-03-16 19:16:09
0.00295,3.050847,1.0,1.355932,0.942,7.118644,0.338983,1.355932,0.942,0.921,minimal,0.946,breakout_quality,True,FIL-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:20:40
0.0615,2.764228,1.0,0.707014,8.35,16.747967,0.650407,0.707014,9.38,8.35,minimal,8.30651862,breakout_quality,True,ETC-USDT-SWAP,short,Turtle 55,5m,2026-03-16 19:20:44
0.0004625,0.972973,0.642857,0.883271,0.1312,3.459459,0.864865,0.883271,0.1312,0.1296,minimal,0.13160851,breakout_quality,True,OP-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:25:43
0.09799,1.45423,0.76,0.012246,1.2283,1.456271,0.004082,0.012246,1.2283,1.0856,minimal,1.2295,breakout_quality,True,AXS-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:25:46
0.001,0.0,0.0,0.5,0.0872,5.1,0.3,0.5,0.0872,0.0821,minimal,0.0877,breakout_quality,True,SAND-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:30:14
0.2005,1.895262,1.0,1.097257,80.04,5.037406,0.74813,1.097257,81.05,80.04,minimal,79.82,breakout_quality,True,XAG-USDT-SWAP,short,Turtle 20,5m,2026-03-16 19:31:27
11.138,0.831388,0.857407,0.576253,2297.15,3.694559,0.579099,0.576253,2297.15,2256.0,minimal,2303.56830855,breakout_quality,True,ETH-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:32:38
0.00333,0.33033,0.23913,0.03003,0.1025,1.861862,0.15015,0.03003,0.1025,0.0963,minimal,0.1026,breakout_quality,True,1INCH-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:36:00
0.01324,1.155589,0.962264,0.151057,0.2635,1.608761,0.135952,0.151057,0.2635,0.2422,minimal,0.2655,breakout_quality,True,CRV-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:36:05
0.05255,0.951475,0.925926,0.837298,1.632,1.921979,0.019029,-0.837298,1.632,1.531,minimal,1.588,breakout_quality,True,DOT-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:40:28
0.0519,1.136802,0.296482,0.800232,7.687,10.0,0.231214,0.800232,7.687,7.168,minimal,7.72853204,breakout_quality,True,AVAX-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:46:21
1.58e-05,0.189873,0.6,0.076984,0.004321,11.392405,0.063291,0.076984,0.004321,0.004141,minimal,0.00432222,breakout_quality,True,ZIL-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:50:17
0.00435,0.91954,0.8,1.572013,1.926,17.011494,0.689655,1.572013,1.926,1.852,minimal,1.93283826,breakout_quality,True,ATOM-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:51:22
0.00138,17.391304,1.0,9.42029,1.868,32.753623,9.42029,9.42029,1.868,1.8228,minimal,1.881,breakout_quality,True,NEAR-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:56:12
0.000109,3.302752,0.8,0.55045,0.06016,6.146789,1.009174,0.55045,0.06016,0.05949,minimal,0.06022,breakout_quality,True,MINA-USDT-SWAP,long,Turtle 20,5m,2026-03-16 19:56:16
0.00138,17.391304,1.0,9.42029,1.868,32.753623,9.42029,9.42029,1.868,1.8228,minimal,1.881,breakout_quality,True,NEAR-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:57:37
0.00138,17.391304,1.0,9.42029,1.868,32.753623,9.42029,9.42029,1.868,1.8228,minimal,1.881,breakout_quality,True,NEAR-USDT-SWAP,long,Turtle 55,5m,2026-03-16 19:58:57
0.008415,0.190137,0.421053,0.085561,0.0845,2.317291,0.085561,0.085561,0.0845,0.065,minimal,0.08522,breakout_quality,True,MAGIC-USDT-SWAP,long,Turtle 55,5m,2026-03-16 20:00:23
0.00035,1.142857,1.0,10.0,0.6124,16.571429,10.0,10.0,0.6124,0.6066,minimal,0.6159,breakout_quality,True,MASK-USDT-SWAP,long,Turtle 55,5m,2026-03-16 20:10:46
0.00115,0.869565,1.0,4.681206,0.938,6.956522,2.608696,4.681206,0.938,0.93,minimal,0.94338339,breakout_quality,True,QTUM-USDT-SWAP,long,Turtle 20,5m,2026-03-16 20:10:50
