duration_sec,early_exit_flag,early_exit_gap_pct,entry_quality,entry_type,exit_efficiency,exit_reason,inst_id,last_stop_move_reason,mae_pct,mae_r,market_risk_score,mfe_pct,mfe_r,pyramid_effect_label,pyramid_effect_score,realized_pnl,realized_pnl_pct,side,stop_efficiency,stop_errors_for_symbol,stop_move_count,stop_rejects_for_symbol,trade_id,trend_capture_ratio,trend_strength_r,unit_add_count,units
478,False,4.641617,weak,Turtle 20,-0.117647,локальный_защитный_выход_2.0n,FLOKI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,4.073255,0.507075,16.0,4.641617,0.57783,hurt,-0.031566,-1.2760000000002039,-0.06313131313132321,long,0.191839,3,0,4,20260317_114422_FLOKI-USDT-SWAP_long,-0.013601,0.57783,1,2
199,False,4.846373,weak,Turtle 20,-0.269316,локальный_защитный_выход_2.0n,FLOKI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.769401,0.467767,16.0,4.846373,0.601415,hurt,-0.072224,-2.9210000153403453,-0.14444728590514877,long,0.182117,3,0,4,20260317_114028_FLOKI-USDT-SWAP_long,-0.029805,0.601415,1,2
4,False,0.0,unknown,Turtle 20,0.0,stopout_cooldown,SHIB-USDT-SWAP,pre_close:ATR стоп 2.0N,10.062893,114.285714,57.75,0.0,0.0,no_pyramid,-0.125786,-1.330999999999987,-0.12578616352201136,long,0.2,11,0,14,20260317_113727_SHIB-USDT-SWAP_long,0.0,0.0,0,1
895,False,0.0,unknown,Turtle 20,0.0,локальный_защитный_выход_2.0n,MET-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.243339,5.384615,9.5,0.0,0.0,no_pyramid,-0.17762,-1.7879999999999685,-0.1776198934280608,long,0.4,1,1,3,20260317_112037_MET-USDT-SWAP_long,0.0,0.0,0,1
93,False,0.0,normal,Turtle 20,1.0,локальный_защитный_выход_2.0n,SHIB-USDT-SWAP,pre_close:ATR стоп 2.0N,10.10101,160.0,57.75,0.126263,2.0,helped,0.063131,0.4009999999999962,0.12626262626262508,long,0.799998,11,0,14,20260317_113234_SHIB-USDT-SWAP_long,0.999997,2.0,1,2
314,False,0.465283,normal,Turtle 20,-2.571429,локальный_защитный_выход_2.0n,NEO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,0.894775,4.716981,21.75,0.465283,2.45283,hurt,-0.071633,-6.552000000000248,-0.21489971346705686,short,-0.077121,3,0,6,20260317_111540_NEO-USDT-SWAP_short,-0.461869,2.45283,2,3
756,False,0.315457,normal,Turtle 20,0.0,локальный_защитный_выход_2.0n,ALGO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.156677,4.782609,11.5,0.315457,1.304348,no_pyramid,0.0,0.0,0.0,long,0.4,2,1,3,20260317_110808_ALGO-USDT-SWAP_long,0.0,1.304348,0,1
253,False,2.305825,weak,Turtle 20,-0.333333,канальный_выход_10_свечей,2Z-USDT-SWAP,pre_close:Канальный выход 10 свечей,2.063107,0.691057,6.75,2.305825,0.772358,no_pyramid,-0.485437,-4.607999999999972,-0.4854368932038805,long,0.073684,2,0,1,20260317_111049_2Z-USDT-SWAP_long,-0.210526,0.772358,0,1
11,False,1.890991,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.206414,38.406001,44.25,1.890991,32.915585,no_pyramid,-0.247556,-1.8096000000000032,-0.2475556682190429,long,0.121452,7,0,12,20260317_111003_TSLA-USDT-SWAP_long,-0.130913,32.915585,0,1
17,False,1.809977,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.193133,38.205201,44.25,1.809977,31.530482,no_pyramid,-0.248476,-1.5230000000000246,-0.2484761867470706,long,0.117631,7,0,12,20260317_110907_TSLA-USDT-SWAP_long,-0.137281,31.530482,0,1
18,False,0.714113,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.245908,57.160202,44.25,0.714113,12.575481,no_pyramid,-1.322183,-13.002000000000063,-1.322183145856271,long,-0.910902,7,0,12,20260317_110812_TSLA-USDT-SWAP_long,-1.851504,12.575481,0,1
29,False,1.767728,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.23372,38.928405,44.25,1.767728,30.807278,no_pyramid,-0.289871,-1.4105000000000456,-0.2898706792468511,long,0.101613,7,0,12,20260317_110657_TSLA-USDT-SWAP_long,-0.163979,30.807278,0,1
