early_exit_flag,exit_reason,hybrid_stop_mode,inst_id,realized_r,retained_r_share,side,system_name,trade_id,trend_hold_state,trend_move_r,units
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,BCH-USDT-SWAP,-0.304446,-0.133913,short,Turtle 55,20260318_160516_BCH-USDT-SWAP_short,TREND_HOLD,2.273459,1
False,локальный_защитный_выход_2.0n,ATR_INITIAL,2Z-USDT-SWAP,0.0,0.0,long,Turtle 55,20260318_154013_2Z-USDT-SWAP_long,INITIAL_RISK,0.0,1
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,2Z-USDT-SWAP,0.157158,1.72874,long,Turtle 20,20260318_153020_2Z-USDT-SWAP_long,TREND_ACTIVE,0.090909,2
False,локальный_защитный_выход_2.0n,ATR_INITIAL,MINA-USDT-SWAP,-0.318985,-764.952038,short,Turtle 55,20260318_152026_MINA-USDT-SWAP_short,INITIAL_RISK,0.000417,1
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,MINA-USDT-SWAP,0.220415,0.354506,short,Turtle 55,20260318_150920_MINA-USDT-SWAP_short,TREND_ACTIVE,0.621753,4
False,локальный_защитный_выход_2.0n,ATR_INITIAL,2Z-USDT-SWAP,-0.209339,-1.857143,short,Turtle 55,20260318_143520_2Z-USDT-SWAP_short,INITIAL_RISK,0.112721,1
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,OP-USDT-SWAP,2.47141,0.421905,short,Turtle 20,20260318_143030_OP-USDT-SWAP_short,TREND_HOLD,5.857741,4
False,stopout_cooldown,DONCHIAN_ACTIVE,XLM-USDT-SWAP,0.17754,0.094453,short,Turtle 20,20260318_143400_XLM-USDT-SWAP_short,TREND_HOLD,1.879668,4
False,stopout_cooldown,DONCHIAN_ACTIVE,AAVE-USDT-SWAP,0.17338,0.065786,short,Turtle 55,20260318_143315_AAVE-USDT-SWAP_short,TREND_HOLD,2.635514,4
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,LTC-USDT-SWAP,0.264732,0.077274,short,Turtle 20,20260318_143405_LTC-USDT-SWAP_short,TREND_HOLD,3.425888,3
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,DOT-USDT-SWAP,2.273463,5.91101,short,Turtle 20,20260318_143020_DOT-USDT-SWAP_short,TREND_ACTIVE,0.384615,3
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,XLM-USDT-SWAP,0.026389,0.008923,short,Turtle 20,20260318_143034_XLM-USDT-SWAP_short,TREND_HOLD,2.957422,4
False,early_invalidation:_движение_против_позиции_3.31_atr,ATR_INITIAL,LTC-USDT-SWAP,0.0,0.0,short,Turtle 20,20260318_143232_LTC-USDT-SWAP_short,INITIAL_RISK,0.0,1
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,AAVE-USDT-SWAP,0.0,0.0,short,Turtle 55,20260318_143055_AAVE-USDT-SWAP_short,TREND_ACTIVE,0.0,3
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,LTC-USDT-SWAP,0.329299,0.321563,short,Turtle 20,20260318_143025_LTC-USDT-SWAP_short,TREND_HOLD,1.024059,3
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,XLM-USDT-SWAP,-0.114607,-0.018365,short,Turtle 20,20260318_141146_XLM-USDT-SWAP_short,TREND_HOLD,6.240531,1
False,локальный_защитный_выход_2.0n,ATR_INITIAL,BCH-USDT-SWAP,-0.697683,-6.000077,short,Turtle 55,20260318_140511_BCH-USDT-SWAP_short,INITIAL_RISK,0.116279,1
False,early_invalidation:_движение_против_позиции_1.98_atr,ATR_INITIAL,DOGE-USDT-SWAP,-1.04651,-2.999997,short,Turtle 55,20260318_140905_DOGE-USDT-SWAP_short,INITIAL_RISK,0.348837,1
False,early_invalidation:_движение_против_позиции_1.74_atr,ATR_INITIAL,AAVE-USDT-SWAP,-0.924996,-4.62498,short,Turtle 55,20260318_140507_AAVE-USDT-SWAP_short,INITIAL_RISK,0.2,1
False,локальный_защитный_выход_2.0n,DONCHIAN_ACTIVE,DOGE-USDT-SWAP,0.0,0.0,short,Turtle 55,20260318_140603_DOGE-USDT-SWAP_short,TREND_ACTIVE,0.0,2
