cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0775,False,,False,long,5m,2026-03-19 12:35:23
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0775,False,,False,short,5m,2026-03-19 12:35:23
False,reentry_check,True,ok,AAVE-USDT-SWAP,115.0,False,,False,long,5m,2026-03-19 12:35:23
False,reentry_check,True,ok,AAVE-USDT-SWAP,115.0,False,,False,short,5m,2026-03-19 12:35:23
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0775,False,,False,long,5m,2026-03-19 12:35:42
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0775,False,,False,short,5m,2026-03-19 12:35:42
False,reentry_check,True,ok,AAVE-USDT-SWAP,115.0,False,,False,long,5m,2026-03-19 12:35:43
False,reentry_check,True,ok,AAVE-USDT-SWAP,115.0,False,,False,short,5m,2026-03-19 12:35:43
False,reentry_check,True,ok,ADA-USDT-SWAP,0.27,False,,False,long,5m,2026-03-19 12:35:43
False,reentry_check,True,ok,ADA-USDT-SWAP,0.27,False,,False,short,5m,2026-03-19 12:35:43
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0775,False,,False,long,5m,2026-03-19 12:36:03
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0775,False,,False,short,5m,2026-03-19 12:36:03
False,reentry_check,True,ok,AAVE-USDT-SWAP,115.0,False,,False,long,5m,2026-03-19 12:36:03
False,reentry_check,True,ok,AAVE-USDT-SWAP,115.0,False,,False,short,5m,2026-03-19 12:36:03
False,reentry_check,True,ok,ADA-USDT-SWAP,0.27,False,,False,long,5m,2026-03-19 12:36:03
False,reentry_check,True,ok,ADA-USDT-SWAP,0.27,False,,False,short,5m,2026-03-19 12:36:03
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1004,False,,False,long,5m,2026-03-19 12:36:04
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1004,False,,False,short,5m,2026-03-19 12:36:04
