cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,long,5m,2026-03-19 13:54:41
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,short,5m,2026-03-19 13:54:41
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.078,False,,,,False,,long,5m,2026-03-19 13:54:41
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.078,False,,,,False,,short,5m,2026-03-19 13:54:41
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,long,5m,2026-03-19 13:54:58
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,short,5m,2026-03-19 13:54:58
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.078,False,,,,False,,long,5m,2026-03-19 13:54:58
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.078,False,,,,False,,short,5m,2026-03-19 13:54:58
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01363,False,,,,False,,long,5m,2026-03-19 13:54:58
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01363,False,,,,False,,short,5m,2026-03-19 13:54:58
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2698,False,,,,False,,long,5m,2026-03-19 13:54:59
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2698,False,,,,False,,short,5m,2026-03-19 13:54:59
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,long,5m,2026-03-19 13:55:15
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,short,5m,2026-03-19 13:55:15
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0776,False,,,,False,,long,5m,2026-03-19 13:55:15
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0776,False,,,,False,,short,5m,2026-03-19 13:55:15
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01363,False,,,,False,,long,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01363,False,,,,False,,short,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2698,False,,,,False,,long,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2698,False,,,,False,,short,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1006,False,,,,False,,long,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1006,False,,,,False,,short,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6888,False,,,,False,,long,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6888,False,,,,False,,short,5m,2026-03-19 13:55:16
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,long,5m,2026-03-19 13:55:32
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,short,5m,2026-03-19 13:55:32
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0776,False,,,,False,,long,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0776,False,,,,False,,short,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01363,False,,,,False,,long,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01363,False,,,,False,,short,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2698,False,,,,False,,long,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2698,False,,,,False,,short,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1006,False,,,,False,,long,5m,2026-03-19 13:55:33
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1006,False,,,,False,,short,5m,2026-03-19 13:55:33
