cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,long,5m,2026-03-19 14:43:23
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,short,5m,2026-03-19 14:43:23
,reentry_check,True,scan,1INCH-USDT-SWAP,0.0966,False,0.0,,scan,5m,2026-03-19 14:43:24
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,long,5m,2026-03-19 14:43:24
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,short,5m,2026-03-19 14:43:24
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,long,5m,2026-03-19 14:43:44
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,short,5m,2026-03-19 14:43:44
,reentry_check,True,scan,1INCH-USDT-SWAP,0.0966,False,0.0,,scan,5m,2026-03-19 14:43:44
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,long,5m,2026-03-19 14:43:45
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,short,5m,2026-03-19 14:43:45
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01359,False,,False,long,5m,2026-03-19 14:43:45
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01359,False,,False,short,5m,2026-03-19 14:43:45
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05926,False,,False,long,5m,2026-03-19 14:43:45
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05926,False,,False,short,5m,2026-03-19 14:43:45
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,long,5m,2026-03-19 14:44:05
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,short,5m,2026-03-19 14:44:05
,reentry_check,True,scan,1INCH-USDT-SWAP,0.0966,False,0.0,,scan,5m,2026-03-19 14:44:06
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,long,5m,2026-03-19 14:44:06
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,short,5m,2026-03-19 14:44:06
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01359,False,,False,long,5m,2026-03-19 14:44:07
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01359,False,,False,short,5m,2026-03-19 14:44:07
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05926,False,,False,long,5m,2026-03-19 14:44:07
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05926,False,,False,short,5m,2026-03-19 14:44:07
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1005,False,,False,long,5m,2026-03-19 14:44:07
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1005,False,,False,short,5m,2026-03-19 14:44:07
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6875,False,,False,long,5m,2026-03-19 14:44:08
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6875,False,,False,short,5m,2026-03-19 14:44:08
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,long,5m,2026-03-19 14:44:28
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,short,5m,2026-03-19 14:44:28
,reentry_check,True,scan,1INCH-USDT-SWAP,0.0966,False,0.0,,scan,5m,2026-03-19 14:44:28
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,long,5m,2026-03-19 14:44:29
False,reentry_check,True,ok,2Z-USDT-SWAP,0.0776,False,,False,short,5m,2026-03-19 14:44:29
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01359,False,,False,long,5m,2026-03-19 14:44:29
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01359,False,,False,short,5m,2026-03-19 14:44:29
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05926,False,,False,long,5m,2026-03-19 14:44:29
False,reentry_check,True,ok,AI16Z-USDT-SWAP,0.05926,False,,False,short,5m,2026-03-19 14:44:29
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1005,False,,False,long,5m,2026-03-19 14:44:30
False,reentry_check,True,ok,ARB-USDT-SWAP,0.1005,False,,False,short,5m,2026-03-19 14:44:30
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6875,False,,False,long,5m,2026-03-19 14:44:30
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6875,False,,False,short,5m,2026-03-19 14:44:30
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.973,False,,False,long,5m,2026-03-19 14:44:31
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.973,False,,False,short,5m,2026-03-19 14:44:31
