duration_sec,early_exit_flag,early_exit_gap_pct,entry_quality,entry_type,exit_efficiency,exit_reason,inst_id,last_stop_move_reason,mae_pct,mae_r,market_risk_score,mfe_pct,mfe_r,pyramid_effect_label,pyramid_effect_score,realized_pnl,realized_pnl_pct,side,stop_efficiency,stop_errors_for_symbol,stop_move_count,stop_rejects_for_symbol,trade_id,trend_capture_ratio,trend_strength_r,unit_add_count,units
3265,False,1.171697,weak,Turtle 20,-13.295621,канальный_выход_10_свечей,YGG-USDT-SWAP,STOP_TRIGGERED,1.833402,0.903847,5.5,1.171697,0.577634,hurt,-0.616272,-141.72600000004,-1.8488174370077775,long,-0.546738,1,4,1,20260319_170016_YGG-USDT-SWAP_long,-1.577897,0.577634,2,3
6008,False,1.402584,weak,Turtle 20,-2.42349,stopout_cooldown,THETA-USDT-SWAP,STOP_TRIGGERED,32.532186,8.253623,2.75,1.402584,0.355844,no_pyramid,-1.279546,-28.6819999999988,-1.2795456056159922,short,-0.147366,0,2,1,20260319_161036_THETA-USDT-SWAP_short,-0.912277,0.355844,0,1
1233,False,0.421676,weak,Turtle 55,0.907387,stopout_cooldown,ETH-USDT-SWAP,STOP_TRIGGERED,6.193363,2.928413,8.75,0.50082,0.236803,no_pyramid,0.079144,1.9962600000000852,0.07914356125663849,long,0.494817,3,1,1,20260319_171523_ETH-USDT-SWAP_long,0.158028,0.236803,0,1
734,False,8.996909,strong,Turtle 20,-1.4695,stopout_cooldown,AXS-USDT-SWAP,STOP_TRIGGERED,0.857559,0.277337,26.25,8.996909,2.909628,hurt,-0.960217,-215.70571000000183,-2.8806508565499658,long,0.207891,5,2,6,20260319_171950_AXS-USDT-SWAP_long,-0.320182,2.909628,2,3
2711,False,0.655629,weak,Turtle 20,-11.343083,канальный_выход_10_свечей,ALGO-USDT-SWAP,STOP_TRIGGERED,4.760817,4.687764,5.25,0.655629,0.645569,hurt,-0.398561,-88.80500000001393,-1.195684092736423,long,-0.694233,1,3,1,20260319_164633_ALGO-USDT-SWAP_long,-1.823721,0.645569,2,3
4406,False,0.539568,weak,Turtle 55,0.0,stopout_cooldown,LINK-USDT-SWAP,STOP_TRIGGERED,3.439748,2.199856,4.5,0.539568,0.345075,no_pyramid,-1.798561,-38.27199999999961,-1.7985611510791182,short,-1.800001,1,0,1,20260319_161537_LINK-USDT-SWAP_short,-3.333335,0.345075,0,1
241,False,4.812042,normal,Turtle 20,-2.169196,канальный_выход_10_свечей,AXS-USDT-SWAP,STOP_TRIGGERED,4.499465,1.510632,26.25,4.812042,1.615576,hurt,-1.473828,-612.6992800000022,-5.895312898405579,long,-0.53507,5,0,6,20260319_171527_AXS-USDT-SWAP_long,-1.225117,1.615576,3,4
4752,False,0.441443,weak,Turtle 55,-11.268424,stopout_cooldown,AXS-USDT-SWAP,STOP_TRIGGERED,9.265731,2.060491,26.25,0.441443,0.098167,no_pyramid,-3.331664,-78.45797999999995,-3.3316636085431055,short,-4.128327,5,3,6,20260319_155525_AXS-USDT-SWAP_short,-7.547211,0.098167,0,1
1577,False,0.409006,weak,Turtle 55,0.0,stopout_cooldown,LDO-USDT-SWAP,STOP_TRIGGERED,3.710827,3.113927,12.5,0.409006,0.343216,no_pyramid,-0.037887,-0.07939999999988245,-0.03788677675139614,short,0.144421,5,0,1,20260319_161837_LDO-USDT-SWAP_short,-0.092631,0.343216,0,1
318,False,0.116274,weak,Turtle 20,0.0,stopout_cooldown,XLM-USDT-SWAP,STOP_TRIGGERED,4.152679,1.887758,5.0,0.116274,0.052857,no_pyramid,-3.225406,-77.3623700000015,-3.225406179746515,long,-16.443822,1,0,1,20260319_162529_XLM-USDT-SWAP_long,-27.739703,0.052857,0,1
