block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1779s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:40:39
cooldown после ATR-стопа ещё активен 1757s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:41:01
cooldown после ATR-стопа ещё активен 1737s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:41:21
cooldown после ATR-стопа ещё активен 1714s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:41:43
cooldown после ATR-стопа ещё активен 1695s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:42:02
cooldown после ATR-стопа ещё активен 1676s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:42:22
cooldown после ATR-стопа ещё активен 1653s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:42:44
cooldown после ATR-стопа ещё активен 1634s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:43:04
cooldown после ATR-стопа ещё активен 1614s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:43:23
cooldown после ATR-стопа ещё активен 1594s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:43:44
cooldown после ATR-стопа ещё активен 1574s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:44:03
cooldown после ATR-стопа ещё активен 1555s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:44:23
cooldown после ATR-стопа ещё активен 1534s; цена отошла только на 0.00 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.65,True,long,2026-03-19 23:44:43
cooldown после ATR-стопа ещё активен 1213s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:50:04
cooldown после ATR-стопа ещё активен 1194s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:50:24
cooldown после ATR-стопа ещё активен 1172s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:50:46
cooldown после ATR-стопа ещё активен 1154s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:51:03
cooldown после ATR-стопа ещё активен 1135s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:51:22
cooldown после ATR-стопа ещё активен 1117s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:51:41
cooldown после ATR-стопа ещё активен 1097s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:52:01
cooldown после ATR-стопа ещё активен 1078s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:52:19
cooldown после ATR-стопа ещё активен 1059s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:52:38
cooldown после ATR-стопа ещё активен 1041s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:52:56
cooldown после ATR-стопа ещё активен 1020s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:53:17
cooldown после ATR-стопа ещё активен 1001s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:53:36
cooldown после ATR-стопа ещё активен 984s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:53:54
cooldown после ATR-стопа ещё активен 965s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:54:12
cooldown после ATR-стопа ещё активен 944s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:54:33
cooldown после ATR-стопа ещё активен 927s; цена отошла только на 0.08 ATR,True,XAG-USDT-SWAP,ATR стоп 2.0N,0.0,72.66,True,long,2026-03-19 23:54:51
cooldown после ATR-стопа ещё активен 1078s; цена отошла только на 0.59 ATR,True,LIT-USDT-SWAP,ATR стоп 2.0N,0.0,1.216,True,long,2026-03-19 23:56:27
