cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0954,False,,,,False,,long,5m,2026-03-19 23:21:13
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0954,False,,,,False,,short,5m,2026-03-19 23:21:13
False,,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.079,False,,,,False,,long,5m,2026-03-19 23:21:13
False,,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.079,False,,,,False,,short,5m,2026-03-19 23:21:13
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.34,False,,,,False,,long,5m,2026-03-19 23:21:13
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.34,False,,,,False,,short,5m,2026-03-19 23:21:13
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0954,False,,,,False,,long,5m,2026-03-19 23:21:30
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0954,False,,,,False,,short,5m,2026-03-19 23:21:30
False,,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.079,False,,,,False,,long,5m,2026-03-19 23:21:31
False,,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.079,False,,,,False,,short,5m,2026-03-19 23:21:31
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.34,False,,,,False,,long,5m,2026-03-19 23:21:31
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.34,False,,,,False,,short,5m,2026-03-19 23:21:31
False,,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01358,False,,,,False,,long,5m,2026-03-19 23:21:31
False,,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01358,False,,,,False,,short,5m,2026-03-19 23:21:31
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0954,False,,,,False,,long,5m,2026-03-19 23:21:47
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0954,False,,,,False,,short,5m,2026-03-19 23:21:47
False,,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.079,False,,,,False,,long,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.079,False,,,,False,,short,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.34,False,,,,False,,long,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.34,False,,,,False,,short,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01358,False,,,,False,,long,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01358,False,,,,False,,short,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.099,False,,,,False,,long,5m,2026-03-19 23:21:48
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.099,False,,,,False,,short,5m,2026-03-19 23:21:48
