current_price,error_code,error_msg,event,inst_id,requested_stop,response,side,trade_id,ts
72.65,,market_already_crossed_stop,STOP_REJECTED,XAG-USDT-SWAP,72.654,{},long,20260319_233014_XAG-USDT-SWAP_long,2026-03-19 23:40:17
0.0,,pre_close:ATR стоп 2.0N,STOP_ERROR,LIT-USDT-SWAP,0.0,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": ""3404111052294938624"", ""clOrdId"": """", ""sCode"": ""51400"", ""sMsg"": ""Order cancellation failed as the order has been filled, canceled or does not exist."", ""tag"": """"}], ""msg"": """"}",long,20260319_234011_LIT-USDT-SWAP_long,2026-03-19 23:44:25
1.216,,atr_update,STOP_ERROR,LIT-USDT-SWAP,1.2106999999999999,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260319_234446_LIT-USDT-SWAP_long,2026-03-19 23:55:13
0.0,,initial_turtle_stop,STOP_ERROR,NEO-USDT-SWAP,2.7179838709677417,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """"}",long,20260320_001517_NEO-USDT-SWAP_long,2026-03-20 00:15:19
0.0,,pre_close:ATR стоп 2.0N,STOP_ERROR,NEO-USDT-SWAP,0.0,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": ""3404189339012653056"", ""clOrdId"": """", ""sCode"": ""51400"", ""sMsg"": ""Order cancellation failed as the order has been filled, canceled or does not exist."", ""tag"": """"}], ""msg"": """"}",long,20260320_001904_NEO-USDT-SWAP_long,2026-03-20 00:23:02
0.0,,initial_turtle_stop,STOP_ERROR,LPT-USDT-SWAP,2.2341797504120557,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """"}",long,20260320_003025_LPT-USDT-SWAP_long,2026-03-20 00:30:28
0.0,,initial_turtle_stop,STOP_ERROR,LPT-USDT-SWAP,2.235932840800763,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """"}",long,20260320_003113_LPT-USDT-SWAP_long,2026-03-20 00:31:17
0.3029,,atr_update,STOP_ERROR,TRX-USDT-SWAP,0.30224,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_003019_TRX-USDT-SWAP_long,2026-03-20 00:40:06
19.08,,atr_update,STOP_ERROR,COMP-USDT-SWAP,18.924,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_003022_COMP-USDT-SWAP_long,2026-03-20 00:40:08
0.0,,pre_close:ATR стоп 2.0N,STOP_ERROR,LIT-USDT-SWAP,0.0,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": ""3404222933709971456"", ""clOrdId"": """", ""sCode"": ""51400"", ""sMsg"": ""Order cancellation failed as the order has been filled, canceled or does not exist."", ""tag"": """"}], ""msg"": """"}",short,20260320_003547_LIT-USDT-SWAP_short,2026-03-20 00:43:07
