action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
position_opened,TSLA-USDT-SWAP,0.0,386.9053448275862,58.0,,,long,True,2026-03-19 22:05:30,20260319_220527_TSLA-USDT-SWAP_long
OPEN,TSLA-USDT-SWAP,0.0,386.9053448275862,58.0,,Первичный вход,long,True,2026-03-19 22:05:30,20260319_220527_TSLA-USDT-SWAP_long
position_closed,TSLA-USDT-SWAP,0.0,0.0,58.0,stopout_cooldown,ATR стоп 2.0N,long,True,2026-03-19 22:05:34,20260319_220527_TSLA-USDT-SWAP_long
CLOSE,TSLA-USDT-SWAP,0.0,383.83,58.0,,ATR стоп 2.0N,long,True,2026-03-19 22:05:34,20260319_220527_TSLA-USDT-SWAP_long
position_opened,AAVE-USDT-SWAP,0.0,112.94723100075245,265.8,,,long,True,2026-03-19 22:10:53,20260319_221049_AAVE-USDT-SWAP_long
OPEN,AAVE-USDT-SWAP,0.0,112.94723100075245,265.8,,Первичный вход,long,True,2026-03-19 22:10:53,20260319_221049_AAVE-USDT-SWAP_long
position_opened,AAVE-USDT-SWAP,0.0,112.37,265.8,,,long,True,2026-03-19 22:13:40,20260319_221337_AAVE-USDT-SWAP_long
OPEN,AAVE-USDT-SWAP,0.0,112.37,265.8,,Первичный вход,long,True,2026-03-19 22:13:40,20260319_221337_AAVE-USDT-SWAP_long
position_opened,LIT-USDT-SWAP,0.0,1.1969918699186992,246.0,,,long,True,2026-03-19 22:15:34,20260319_221531_LIT-USDT-SWAP_long
OPEN,LIT-USDT-SWAP,0.0,1.1969918699186992,246.0,,Первичный вход,long,True,2026-03-19 22:15:34,20260319_221531_LIT-USDT-SWAP_long
position_opened,DOT-USDT-SWAP,0.0,1.54,1869.6,,,long,True,2026-03-19 22:25:31,20260319_222529_DOT-USDT-SWAP_long
OPEN,DOT-USDT-SWAP,0.0,1.54,1869.6,,Первичный вход,long,True,2026-03-19 22:25:31,20260319_222529_DOT-USDT-SWAP_long
position_closed,AAVE-USDT-SWAP,0.0,0.0,797.4,stopout_cooldown,ATR стоп 2.0N,long,True,2026-03-19 22:27:05,20260319_221337_AAVE-USDT-SWAP_long
CLOSE,AAVE-USDT-SWAP,0.0,112.22,797.4,,ATR стоп 2.0N,long,True,2026-03-19 22:27:05,20260319_221337_AAVE-USDT-SWAP_long
position_opened,DOGE-USDT-SWAP,0.0,0.09575,30.3,,,long,True,2026-03-19 22:30:27,20260319_223025_DOGE-USDT-SWAP_long
OPEN,DOGE-USDT-SWAP,0.0,0.09575,30.3,,Первичный вход,long,True,2026-03-19 22:30:27,20260319_223025_DOGE-USDT-SWAP_long
position_opened,CRV-USDT-SWAP,0.0,0.2588,10434.0,,,long,True,2026-03-19 22:55:22,20260319_225520_CRV-USDT-SWAP_long
OPEN,CRV-USDT-SWAP,0.0,0.2588,10434.0,,Первичный вход,long,True,2026-03-19 22:55:22,20260319_225520_CRV-USDT-SWAP_long
position_closed,DOGE-USDT-SWAP,0.0,0.0,90.9,stopout_cooldown,ATR стоп 2.0N,long,True,2026-03-19 22:59:44,20260319_223025_DOGE-USDT-SWAP_long
CLOSE,DOGE-USDT-SWAP,0.0,0.0936,90.9,,ATR стоп 2.0N,long,True,2026-03-19 22:59:44,20260319_223025_DOGE-USDT-SWAP_long
