details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-20 15:47:22
"{""ts"": ""2026-03-20 15:47:22"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 112, ""trade_ready_count"": 3, ""scanner_total"": 112, ""scanner_scanned"": 4, ""scanner_ready"": 4, ""scanner_pending"": 108, ""scanner_failed"": 0, ""scanner_allowed"": 3, ""scanner_blocked"": 1, ""scanner_dead"": 1, ""scanner_saw"": 0, ""scanner_ripping"": 0, ""scanner_status_text"": ""SCANNING"", ""scanner_safe"": 3, ""scanner_caution"": 0, ""scanner_risky"": 1, ""scanner_blacklist"": 1, ""scanner_exec_watch"": 0, ""scanner_admitted"": 3, ""signal_funnel"": {""cycle_id"": 1, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 15:47:22
,filter_diagnostics,,unknown,2026-03-20 16:02:32
"{""ts"": ""2026-03-20 16:02:32"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 2, ""hard_blocked_unique_count"": 3, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 109, ""trade_ready_count"": 39, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 2, ""scanner_allowed"": 43, ""scanner_blocked"": 67, ""scanner_dead"": 21, ""scanner_saw"": 2, ""scanner_ripping"": 44, ""scanner_status_text"": ""READY"", ""scanner_safe"": 43, ""scanner_caution"": 0, ""scanner_risky"": 67, ""scanner_blacklist"": 65, ""scanner_exec_watch"": 44, ""scanner_admitted"": 43, ""signal_funnel"": {""cycle_id"": 33, ""instruments_scanned"": 41, ""prefilter_skipped"": 71, ""warmup_rejected"": 2, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 42, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 16:02:32
,filter_diagnostics,,unknown,2026-03-20 16:17:49
"{""ts"": ""2026-03-20 16:17:49"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 3, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 108, ""trade_ready_count"": 36, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 2, ""scanner_allowed"": 43, ""scanner_blocked"": 67, ""scanner_dead"": 21, ""scanner_saw"": 2, ""scanner_ripping"": 44, ""scanner_status_text"": ""READY"", ""scanner_safe"": 43, ""scanner_caution"": 0, ""scanner_risky"": 67, ""scanner_blacklist"": 65, ""scanner_exec_watch"": 44, ""scanner_admitted"": 43, ""signal_funnel"": {""cycle_id"": 68, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 16:17:49
,filter_diagnostics,,unknown,2026-03-20 16:32:54
"{""ts"": ""2026-03-20 16:32:54"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 2, ""execution_watchlist_count"": 0, ""open_positions_count"": 2, ""available_after_bans_count"": 110, ""trade_ready_count"": 39, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 2, ""scanner_allowed"": 43, ""scanner_blocked"": 67, ""scanner_dead"": 21, ""scanner_saw"": 2, ""scanner_ripping"": 44, ""scanner_status_text"": ""READY"", ""scanner_safe"": 43, ""scanner_caution"": 0, ""scanner_risky"": 67, ""scanner_blacklist"": 65, ""scanner_exec_watch"": 44, ""scanner_admitted"": 43, ""signal_funnel"": {""cycle_id"": 106, ""instruments_scanned"": 40, ""prefilter_skipped"": 72, ""warmup_rejected"": 2, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 40, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 16:32:54
,filter_diagnostics,,unknown,2026-03-20 16:47:54
"{""ts"": ""2026-03-20 16:47:54"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 9, ""hard_blocked_unique_count"": 10, ""execution_watchlist_count"": 0, ""open_positions_count"": 2, ""available_after_bans_count"": 102, ""trade_ready_count"": 30, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 2, ""scanner_allowed"": 42, ""scanner_blocked"": 68, ""scanner_dead"": 21, ""scanner_saw"": 2, ""scanner_ripping"": 45, ""scanner_status_text"": ""READY"", ""scanner_safe"": 42, ""scanner_caution"": 0, ""scanner_risky"": 68, ""scanner_blacklist"": 66, ""scanner_exec_watch"": 45, ""scanner_admitted"": 42, ""signal_funnel"": {""cycle_id"": 128, ""instruments_scanned"": 39, ""prefilter_skipped"": 73, ""warmup_rejected"": 1, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 39, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 16:47:54
