early_exit_flag,early_exit_gap_pct,exit_efficiency,exit_reason,hybrid_stop_mode,inst_id,mfe_pct,realized_pnl_pct,realized_r,side,system_name,trade_id,trend_capture_ratio,trend_move_r,trend_strength_r,turtle_exit_period,units
False,0.146088,-0.88442,stopout_cooldown,DONCHIAN_ACTIVE,XLM-USDT-SWAP,0.146088,-0.11570875703514098,-0.670373,long,Turtle 55,20260321_082016_XLM-USDT-SWAP_long,-0.792048,0.846379,0.846379,20,2
False,0.287715,0.0,stopout_cooldown,DONCHIAN_ACTIVE,AUCTION-USDT-SWAP,0.287715,-0.2514944803434861,-1.29008,short,Turtle 20,20260321_080019_AUCTION-USDT-SWAP_short,-0.87411,1.475878,1.475878,10,1
False,0.233687,-7.5,stopout_cooldown,DONCHIAN_ACTIVE,AAVE-USDT-SWAP,0.233687,-0.26963868416321873,-1.209676,short,Turtle 20,20260321_075035_AAVE-USDT-SWAP_short,-1.153845,1.048387,1.048387,10,1
False,0.098898,-3.969549,stopout_cooldown,DONCHIAN_ACTIVE,LINK-USDT-SWAP,0.098898,-0.18905645865842008,-0.765048,short,Turtle 20,20260321_073543_LINK-USDT-SWAP_short,-1.911631,0.400207,0.400207,10,3
False,0.173106,-4.0,stopout_cooldown,DONCHIAN_ACTIVE,XRP-USDT-SWAP,0.173106,-0.13848497438027987,-0.781251,short,Turtle 20,20260321_073505_XRP-USDT-SWAP_short,-0.800001,0.976563,0.976563,10,1
False,0.100604,-10.006406,stopout_cooldown,DONCHIAN_ACTIVE,LDO-USDT-SWAP,0.100604,-0.12201784659622153,-1.455424,short,Turtle 20,20260321_075039_LDO-USDT-SWAP_short,-1.212853,1.2,1.2,10,3
False,0.117423,0.0,stopout_cooldown,ATR_INITIAL,SUI-USDT-SWAP,0.117423,-0.21455092418412974,-0.878557,short,Turtle 20,20260321_073552_SUI-USDT-SWAP_short,-1.827163,0.480831,0.480831,10,1
False,0.199819,0.0,stopout_cooldown,DONCHIAN_ACTIVE,XLM-USDT-SWAP,0.199819,-0.18165223008285353,-1.020405,short,Turtle 20,20260321_073547_XLM-USDT-SWAP_short,-0.909084,1.122454,1.122454,10,1
False,0.155134,0.0,stopout_cooldown,DONCHIAN_ACTIVE,OP-USDT-SWAP,0.155134,-0.2530629150647482,-1.448487,short,Turtle 55,20260321_073538_OP-USDT-SWAP_short,-1.631254,0.887959,0.887959,20,1
False,0.0,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,ATR_INITIAL,BAND-USDT-SWAP,0.0,-0.11491156267459798,0.0,long,Turtle 20,20260321_074138_BAND-USDT-SWAP_long,0.0,0.0,0.0,10,1
False,0.0,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,ATR_INITIAL,BAND-USDT-SWAP,0.0,-0.12632527654306888,0.0,long,Turtle 20,20260321_074026_BAND-USDT-SWAP_long,0.0,0.0,0.0,10,1
False,1.259734,0.0,stopout_cooldown,DONCHIAN_ACTIVE,AXS-USDT-SWAP,1.259734,-0.07197418378740748,-1.168564,long,Turtle 20,20260321_073815_AXS-USDT-SWAP_long,-0.057134,20.453048,20.453048,10,1
False,0.464191,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,DONCHIAN_ACTIVE,DOT-USDT-SWAP,0.464191,0.0,0.0,short,Turtle 20,20260321_073601_DOT-USDT-SWAP_short,0.0,2.8,2.8,10,1
False,0.0,0.0,stopout_cooldown,ATR_INITIAL,ETHW-USDT-SWAP,0.0,-0.24946479425824383,0.0,long,Turtle 20,20260321_073025_ETHW-USDT-SWAP_long,0.0,0.0,0.0,10,1
False,0.461727,-3.57596,stopout_cooldown,DONCHIAN_ACTIVE,MASK-USDT-SWAP,0.461727,-0.5742556962471319,-0.861188,long,Turtle 55,20260321_070548_MASK-USDT-SWAP_long,-1.243713,0.692433,0.692433,20,3
False,0.317985,0.0,stopout_cooldown,DONCHIAN_ACTIVE,LPT-USDT-SWAP,0.317985,-0.17394025084142142,-1.555801,short,Turtle 20,20260321_072136_LPT-USDT-SWAP_short,-0.547008,2.844202,2.844202,10,1
False,0.403223,0.0,stopout_cooldown,DONCHIAN_ACTIVE,LPT-USDT-SWAP,0.403223,-0.22232867964261235,-1.990308,short,Turtle 20,20260321_072058_LPT-USDT-SWAP_short,-0.551379,3.609692,3.609692,10,1
False,0.402854,0.0,stopout_cooldown,DONCHIAN_ACTIVE,LPT-USDT-SWAP,0.402854,-0.4014297565071761,-3.593626,short,Turtle 20,20260321_072024_LPT-USDT-SWAP_short,-0.996465,3.606375,3.606375,10,1
False,0.066036,-28.616171,stopout_cooldown,ATR_INITIAL,PEPE-USDT-SWAP,0.066036,-0.2248541210594146,-1.01708,long,Turtle 55,20260321_070506_PEPE-USDT-SWAP_long,-3.405023,0.2987,0.2987,20,1
False,0.0,0.0,stopout_cooldown,ATR_INITIAL,IMX-USDT-SWAP,0.0,-0.264016777073036,0.0,short,Turtle 20,20260321_071011_IMX-USDT-SWAP_short,0.0,0.0,0.0,10,1
False,1.063026,-3.071307,stopout_cooldown,DONCHIAN_ACTIVE,AUCTION-USDT-SWAP,1.063026,-0.20393457461256306,-0.967202,long,Turtle 20,20260321_063548_AUCTION-USDT-SWAP_long,-0.191843,5.041635,5.041635,10,2
False,0.042589,-5.5,stopout_cooldown,ATR_INITIAL,BCH-USDT-SWAP,0.042589,-0.23424190800680703,-1.067974,short,Turtle 55,20260321_062532_BCH-USDT-SWAP_short,-5.500057,0.194175,0.194175,20,1
