block_reason,breakout_id,channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_distance_atr,entry_px,exchange_stop_status,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_health_state,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,stop_confirmed,stop_state,system_name,time,trade_context_file,trade_id,trough_price,units
,,1.488,ошибка:_первичный_стоп_не_подтверждён_на_бирже,206,0.0016000000000000014,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_194151_DOT-USDT-SWAP_long.json,0.0,1.504,cancelled,1.503,1.5008,1.5008,DOT-USDT-SWAP,0.019,1.263298,5.9375,0.003,0.199468,0.9375,1.5045000000000002,0.0,1.0,-4.548900000000845,-0.09970089730809428,HEALTHY,4561.78855,3032.6,Ошибка: первичный стоп не подтверждён на бирже,697.1072529631004,0.0032000000000000028,long,True,ACTIVE,Turtle 55,2026-03-21 19:45:18,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_194518_DOT-USDT-SWAP_long_trade.json,20260321_194150_DOT-USDT-SWAP_long,1.503,2
market_already_crossed_stop,,468.6,stopout_cooldown,1064,0.5250000000000028,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_192019_BCH-USDT-SWAP_short.json,0.38095238095246553,465.4,cancel_error,466.5,466.45,466.45,BCH-USDT-SWAP,4.5,0.96691,4.285714,0.0,0.0,0.0,466.5,0.0,1.0,-5.352600000000111,-0.23635582294800664,STOP_UNVERIFIED,2264.6364,48.66,ATR стоп 2.0N,697.3690231836434,0.10500000000000057,short,False,ERROR,Turtle 55,2026-03-21 19:38:04,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_193804_BCH-USDT-SWAP_short_trade.json,20260321_192018_BCH-USDT-SWAP_short,465.4,1
,,0.1219,канальный_выход_20_свечей,2938,0.00035350000000000106,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183510_OP-USDT-SWAP_long.json,2.5459688826025326,0.1236,cancel_error,0.12328,0.12338400000000001,0.122893,OP-USDT-SWAP,0.0025,2.022654,3.536068,0.0005,0.404531,0.707214,0.1241,14.893699999997908,1.0,-29.037420000004044,-0.4199588603334979,HEALTHY,6908.766950000003,55851.0,Канальный выход 20 свечей,698.3297621767634,0.0007070000000000021,long,True,ACTIVE,Turtle 55,2026-03-21 19:24:08,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_192408_OP-USDT-SWAP_long_trade.json,20260321_183510_OP-USDT-SWAP_long,0.12328,3
,,0.297,stopout_cooldown,996,0.0003399999999999986,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_190132_LDO-USDT-SWAP_long.json,1.2331964838112461,0.2998192868044958,cancel_error,0.2991,0.2991392868044958,0.2991392868044958,LDO-USDT-SWAP,0.00361929,1.207156,5.322481,0.00038071,0.126981,0.559872,0.2998192868044958,0.0,1.0,-5.183900000001551,-0.23990678256961911,HEALTHY,2160.7976000000012,7207.0,ATR стоп 2.0N,698.3825272483293,0.0006799999999999972,long,True,ACTIVE,Turtle 55,2026-03-21 19:18:09,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_191809_LDO-USDT-SWAP_long_trade.json,20260321_190131_LDO-USDT-SWAP_long,0.2991,1
,,0.0993,ошибка:_первичный_стоп_не_подтверждён_на_бирже,81,0.00016999999999999863,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_190135_ARB-USDT-SWAP_long.json,1.7647058823529242,0.1006,cancelled,0.1006,0.10026,0.10026,ARB-USDT-SWAP,0.0016,1.590457,4.705882,0.0,0.0,0.0,0.1006,0.0,1.0,0.0,0.0,HEALTHY,2134.732,2122.0,Ошибка: первичный стоп не подтверждён на бирже,698.3775413574666,0.0033999999999999725,long,True,ACTIVE,Turtle 55,2026-03-21 19:02:56,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_190256_ARB-USDT-SWAP_long_trade.json,20260321_190135_ARB-USDT-SWAP_long,0.1006,1
market_already_crossed_stop,,3.093,stopout_cooldown,923,0.005149999999999965,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183021_INJ-USDT-SWAP_long.json,2.135922330097039,3.134,cancel_error,3.135,3.136,3.1237,INJ-USDT-SWAP,0.055,1.754946,5.339806,0.014,0.446713,1.359223,3.148,9.404199999999928,1.0,-8.68080000000033,-0.1910219675262728,STOP_UNVERIFIED,4539.335,14468.0,ATR стоп 2.0N,698.3911853510665,0.0010299999999999932,long,False,ERROR,Turtle 55,2026-03-21 18:45:45,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_184545_INJ-USDT-SWAP_long_trade.json,20260321_183021_INJ-USDT-SWAP_long,3.134,2
,,0.1691,stopout_cooldown,200,0.000275000000000003,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183730_THETA-USDT-SWAP_long.json,0.6600136705403531,0.1705815037593986,cancel_error,0.1698,0.1700315037593986,0.1700315037593986,THETA-USDT-SWAP,0.0018815,1.102994,3.420916,0.0005185,0.303958,0.94272,0.171,0.0,1.0,-18.97000000000417,-0.41824214831400464,HEALTHY,4536.559000000003,2660.0,ATR стоп 2.0N,698.0656591170704,0.00550000000000006,long,True,ACTIVE,Turtle 20,2026-03-21 18:40:50,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_184050_THETA-USDT-SWAP_long_trade.json,20260321_183730_THETA-USDT-SWAP_long,0.1698,2
,,0.1691,ошибка:_первичный_стоп_не_подтверждён_на_бирже,110,0.000275000000000003,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183523_THETA-USDT-SWAP_long.json,1.24368591287675,0.1707420136260411,cancel_error,0.1698,0.1701920136260411,0.1701920136260411,THETA-USDT-SWAP,0.00204201,1.195964,3.712752,0.00565799,3.313763,10.287248,0.1707420136260411,0.0,1.0,-12.444000000002923,-0.5517175333918083,HEALTHY,2255.502000000003,1321.0,Ошибка: первичный стоп не подтверждён на бирже,698.2285733791787,0.00550000000000006,long,True,ACTIVE,Turtle 20,2026-03-21 18:37:13,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_183713_THETA-USDT-SWAP_long_trade.json,20260321_183523_THETA-USDT-SWAP_long,0.1707420136260411,1
,,8.36,ошибка:_первичный_стоп_не_подтверждён_на_бирже,81,0.020000000000000195,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183519_ETC-USDT-SWAP_long.json,0.9389880952380822,8.438779761904762,cancelled,8.44,8.39877976190476,8.39877976190476,ETC-USDT-SWAP,0.09877976,1.170546,2.469494,0.00122024,0.01446,0.030506,8.438779761904762,0.0,1.0,0.32799999999990626,0.014459887918230491,HEALTHY,2268.344,26.88,Ошибка: первичный стоп не подтверждён на бирже,698.289378085328,0.4000000000000039,long,True,ACTIVE,Turtle 20,2026-03-21 18:36:41,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_183641_ETC-USDT-SWAP_long_trade.json,20260321_183518_ETC-USDT-SWAP_long,8.438779761904762,1
,,0.2763,ошибка:_первичный_стоп_не_подтверждён_на_бирже,101,0.0004200000000000037,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183024_LQTY-USDT-SWAP_long.json,0.9760033182596988,0.2810099213936691,cancelled,0.2811,0.2801699213936691,0.2801699213936691,LQTY-USDT-SWAP,0.00700992,2.494546,8.345145,0.0,0.0,0.0,0.2810099213936691,0.0,1.0,0.7207999999994156,0.03205531174279484,HEALTHY,2248.6132900000007,8001.9,Ошибка: первичный стоп не подтверждён на бирже,698.365515780855,0.0008400000000000074,long,True,ACTIVE,Turtle 55,2026-03-21 18:32:06,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_183206_LQTY-USDT-SWAP_long_trade.json,20260321_183024_LQTY-USDT-SWAP_long,0.2810099213936691,1
,,0.0992,ошибка:_первичный_стоп_не_подтверждён_на_бирже,59,0.0001799999999999989,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_183018_ARB-USDT-SWAP_long.json,1.1111111111111498,0.1,cancelled,0.1,0.09964,0.09964,ARB-USDT-SWAP,0.001,1.0,2.777778,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,HEALTHY,2292.7,2292.7,Ошибка: первичный стоп не подтверждён на бирже,698.4181625470483,0.0035999999999999782,long,True,ACTIVE,Turtle 55,2026-03-21 18:31:18,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_183118_ARB-USDT-SWAP_long_trade.json,20260321_183018_ARB-USDT-SWAP_long,0.1,1
,,2692.8,stopout_cooldown,1368,5.305000000000041,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_180437_YFI-USDT-SWAP_short.json,0.3004334795250768,2665.4062003911195,cancel_error,2678.0,2672.56,2676.0162003911196,YFI-USDT-SWAP,38.49379961,1.4442,3.628068,6.40620039,0.240346,0.603789,2678.0,2.2655699999999843,1.0,-10.94778999999986,-0.4724908198619986,HEALTHY,2317.0376100000003,8693.0,ATR стоп 2.0N,698.7855482439365,0.0010610000000000081,short,True,ACTIVE,Turtle 55,2026-03-21 18:27:25,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_182725_YFI-USDT-SWAP_short_trade.json,20260321_180436_YFI-USDT-SWAP_short,2661.0,1
market_already_crossed_stop,,0.0953,stopout_cooldown,15,0.00010000000000000078,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_175533_1INCH-USDT-SWAP_short.json,3.0116480270059074,0.0944988351972994,cancel_error,0.0947,0.09469883519729941,0.09469883519729941,1INCH-USDT-SWAP,0.00140116,1.482732,7.005824,0.00169884,1.797731,8.494176,0.0947,0.0,1.0,-4.766599999990814,-0.2128754309834636,STOP_UNVERIFIED,2239.1499000000094,23695.0,ATR стоп 2.0N,698.9421402980852,0.00020000000000000155,short,False,ERROR,Turtle 20,2026-03-21 17:55:49,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_175549_1INCH-USDT-SWAP_short_trade.json,20260321_175533_1INCH-USDT-SWAP_short,0.0944988351972994,1
,,0.2786,stopout_cooldown,2335,0.0005949999999999928,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_171031_LQTY-USDT-SWAP_long.json,0.6921290827964571,0.2797118168042639,cancel_error,0.2789,0.27904,0.2785218168042639,LQTY-USDT-SWAP,0.00571182,2.042036,4.799846,0.00088818,0.317535,0.746372,0.2798,0.0,1.0,-6.214620000000996,-0.29023328851064945,HEALTHY,2141.2499000000007,7655.2,ATR стоп 2.0N,701.4219827462528,0.0011899999999999856,long,True,ACTIVE,Turtle 20,2026-03-21 17:49:27,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_174927_LQTY-USDT-SWAP_long_trade.json,20260321_171031_LQTY-USDT-SWAP_long,0.2789,1
