block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1524s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:50:18
cooldown после ATR-стопа ещё активен 1498s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:50:44
cooldown после ATR-стопа ещё активен 1778s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:51:11
cooldown после ATR-стопа ещё активен 1751s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:51:38
cooldown после ATR-стопа ещё активен 1441s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:51:41
cooldown после ATR-стопа ещё активен 1725s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:52:05
cooldown после ATR-стопа ещё активен 1414s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:52:08
cooldown после ATR-стопа ещё активен 1698s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:52:32
cooldown после ATR-стопа ещё активен 1387s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:52:35
cooldown после ATR-стопа ещё активен 1669s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:53:00
cooldown после ATR-стопа ещё активен 1358s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:53:04
cooldown после ATR-стопа ещё активен 1642s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:53:28
cooldown после ATR-стопа ещё активен 1330s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:53:31
cooldown после ATR-стопа ещё активен 1614s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:53:55
cooldown после ATR-стопа ещё активен 1304s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:53:58
cooldown после ATR-стопа ещё активен 1591s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:54:19
cooldown после ATR-стопа ещё активен 1279s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:54:22
cooldown после ATR-стопа ещё активен 1562s; цена отошла только на 0.43 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.09435,True,short,2026-03-21 11:54:47
cooldown после ATR-стопа ещё активен 1251s; цена отошла только на 0.49 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.426e-06,True,short,2026-03-21 11:54:50
cooldown после ATR-стопа ещё активен 1535s; цена отошла только на 0.85 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0943,True,short,2026-03-21 11:55:15
cooldown после ATR-стопа ещё активен 1223s; цена отошла только на 0.99 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.424e-06,True,short,2026-03-21 11:55:18
cooldown после ATR-стопа ещё активен 1502s; цена отошла только на 0.85 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0943,True,short,2026-03-21 11:55:47
cooldown после ATR-стопа ещё активен 1191s; цена отошла только на 0.99 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.424e-06,True,short,2026-03-21 11:55:50
cooldown после ATR-стопа ещё активен 1472s; цена отошла только на 0.85 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0943,True,short,2026-03-21 11:56:18
cooldown после ATR-стопа ещё активен 1161s; цена отошла только на 0.99 ATR,True,PEPE-USDT-SWAP,ATR стоп 2.0N,0.0,3.424e-06,True,short,2026-03-21 11:56:21
cooldown после ATR-стопа ещё активен 1456s; цена отошла только на 0.85 ATR,True,DOGE-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0943,True,short,2026-03-21 11:56:34
