atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
0.00735,0.0,0.0,1.096617,4.569,4.353741,0.408163,1.096617,4.601,4.569,minimal,4.56093987,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 20,5m,2026-03-21 20:20:23
0.000925,0.0,0.0,0.889972,0.4711,4.0,0.864865,0.889972,0.4748,0.4711,minimal,0.47027678,breakout_quality,True,MASK-USDT-SWAP,short,Turtle 20,5m,2026-03-21 20:20:25
0.0019,0.526316,0.5,0.526316,1.497,5.263158,0.526316,0.526316,1.507,1.497,minimal,1.496,breakout_quality,True,DOT-USDT-SWAP,short,Turtle 20,5m,2026-03-21 20:20:28
0.00735,0.0,0.0,0.259117,4.569,4.353741,0.408163,-0.259117,4.601,4.569,minimal,4.57090451,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 20,5m,2026-03-21 20:24:11
0.001685,1.839763,0.939394,1.036537,1.1948,7.655786,1.246291,1.036537,1.1948,1.1819,minimal,1.19654656,breakout_quality,True,AXS-USDT-SWAP,long,Turtle 55,5m,2026-03-21 20:30:50
9.15e-05,0.983607,1.0,0.605316,0.06394,7.540984,0.546448,0.605316,0.06463,0.06394,minimal,0.06388461,breakout_quality,True,CFX-USDT-SWAP,short,Turtle 20,5m,2026-03-21 20:35:51
0.003615,0.055325,1.0,3.920596,1.182,4.121715,9.239281,-3.920596,1.1969,1.182,minimal,1.19617296,breakout_quality,True,AXS-USDT-SWAP,short,Turtle 55,5m,2026-03-21 20:45:15
3e-08,0.294118,1.0,0.294118,2.971e-05,7.647059,0.294118,-0.294118,2.997e-05,2.971e-05,minimal,2.972e-05,breakout_quality,True,FLOKI-USDT-SWAP,short,Turtle 20,5m,2026-03-21 20:55:13
0.00814,0.22113,1.0,0.338868,1.1973,5.982801,5.687961,-0.338868,1.1973,1.1486,minimal,1.19454162,breakout_quality,True,AXS-USDT-SWAP,long,Turtle 55,5m,2026-03-21 21:00:24
0.00814,0.22113,1.0,0.050682,1.1973,5.982801,5.687961,-0.050682,1.1973,1.1486,minimal,1.19688745,breakout_quality,True,AXS-USDT-SWAP,long,Turtle 55,5m,2026-03-21 21:01:25
0.0,0.697674,1.0,0.091038,3.41e-06,5.116279,0.232558,0.091038,3.43e-06,3.41e-06,minimal,3.41e-06,breakout_quality,True,PEPE-USDT-SWAP,short,Turtle 20,5m,2026-03-21 21:10:18
0.03,0.333333,1.0,0.666667,55.74,5.666667,0.333333,0.666667,55.74,55.57,minimal,55.76,breakout_quality,True,LTC-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:10:22
0.012,1.666667,1.0,1.666667,19.22,5.0,0.833333,1.666667,19.22,19.16,minimal,19.24,breakout_quality,True,COMP-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:15:14
0.000115,0.869565,1.0,3.600397,0.1624,4.347826,0.869565,3.600397,0.1624,0.1619,minimal,0.16281405,breakout_quality,True,IMX-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:20:48
0.000115,0.869565,1.0,4.157855,0.1624,4.347826,0.869565,4.157855,0.1624,0.1619,minimal,0.16287815,breakout_quality,True,IMX-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:22:28
0.000865,1.040462,0.529412,0.565078,0.2885,14.104046,0.231214,0.565078,0.2885,0.2763,minimal,0.28898879,breakout_quality,True,LQTY-USDT-SWAP,long,Turtle 55,5m,2026-03-21 21:25:22
0.00163,1.411043,1.0,0.765463,1.3256,5.398773,1.165644,0.765463,1.3256,1.3168,minimal,1.32684771,breakout_quality,True,NEAR-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:25:25
0.011,2.727273,1.0,2.727273,19.26,10.0,1.818182,2.727273,19.26,19.15,minimal,19.29,breakout_quality,True,COMP-USDT-SWAP,long,Turtle 55,5m,2026-03-21 21:30:33
7.5e-05,2.666667,1.0,0.189395,0.095,4.0,1.333333,0.189395,0.095,0.0947,minimal,0.0950142,breakout_quality,True,1INCH-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:35:31
7.5e-05,2.666667,1.0,2.19939,0.095,4.0,1.333333,2.19939,0.095,0.0947,minimal,0.09516495,breakout_quality,True,1INCH-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:37:01
0.1135,0.528634,0.24,0.440529,89.72,3.259912,0.352423,0.440529,89.72,89.35,minimal,89.77,breakout_quality,True,SOL-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:40:26
9.45e-05,1.904762,1.0,0.846561,0.06414,5.925926,0.42328,0.846561,0.06414,0.06358,minimal,0.06422,breakout_quality,True,CFX-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:40:29
1.6e-05,1.875,1.0,1.960065,0.06168,8.125,1.875,1.960065,0.06168,0.06155,minimal,0.06171136,breakout_quality,True,MAGIC-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:45:19
5.7e-05,0.0,0.0,2.177502,0.05915,7.368421,1.22807,2.177502,0.05915,0.05873,minimal,0.05927412,breakout_quality,True,MINA-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:45:23
5.7e-05,0.0,0.0,1.246042,0.05915,7.368421,1.22807,1.246042,0.05915,0.05873,minimal,0.05922102,breakout_quality,True,MINA-USDT-SWAP,long,Turtle 20,5m,2026-03-21 21:47:18
0.0,1.298701,0.833333,0.519481,3.41e-06,10.909091,0.519481,0.519481,3.45e-06,3.41e-06,minimal,3.41e-06,breakout_quality,True,PEPE-USDT-SWAP,short,Turtle 55,5m,2026-03-21 21:55:11
0.123,1.869919,1.0,0.325271,111.55,2.845528,0.406504,-0.325271,111.9,111.55,minimal,111.59000838,breakout_quality,True,AAVE-USDT-SWAP,short,Turtle 20,5m,2026-03-21 21:56:46
3e-08,0.333333,1.0,0.0,2.97e-05,3.333333,0.333333,0.0,2.98e-05,2.97e-05,minimal,2.97e-05,breakout_quality,True,FLOKI-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:05:19
0.000105,0.952381,1.0,3.312991,0.0887,12.380952,1.904762,3.312991,0.09,0.0887,minimal,0.08835214,breakout_quality,True,ALGO-USDT-SWAP,short,Turtle 55,5m,2026-03-21 22:16:21
0.0024,0.833333,1.0,3.75,0.947,5.0,0.416667,3.75,0.959,0.947,minimal,0.938,breakout_quality,True,FIL-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:20:16
0.003,0.0,0.0,0.333333,3.104,7.0,0.666667,0.333333,3.125,3.104,minimal,3.103,breakout_quality,True,INJ-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:20:19
2.3e-05,1.73913,1.0,2.06061,0.06151,5.652174,2.173913,2.06061,0.06164,0.06151,minimal,0.06146261,breakout_quality,True,IOTA-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:25:58
0.0001,1.5,0.75,0.5,0.0939,3.0,0.5,0.5,0.0942,0.0939,minimal,0.09385,breakout_quality,True,DOGE-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:35:14
0.00026,2.692308,0.5,0.120952,0.2226,5.384615,0.384615,-0.120952,0.224,0.2226,minimal,0.22263145,breakout_quality,True,BAND-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:36:57
0.00565,0.530973,1.0,0.353859,9.476,4.070796,0.707965,0.353859,9.499,9.476,minimal,9.4740007,breakout_quality,True,AVAX-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:37:01
0.00026,2.692308,0.5,1.719472,0.2226,5.384615,0.384615,1.719472,0.224,0.2226,minimal,0.22215294,breakout_quality,True,BAND-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:38:20
0.00026,2.692308,0.5,0.860329,0.2226,5.384615,0.384615,0.860329,0.224,0.2226,minimal,0.22237631,breakout_quality,True,BAND-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:39:27
0.00026,2.692308,0.5,0.544171,0.2226,5.384615,0.384615,0.544171,0.224,0.2226,minimal,0.22245852,breakout_quality,True,BAND-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:40:00
