block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1780s; цена отошла только на 0.00 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.496,True,short,2026-03-21 20:23:09
cooldown после ATR-стопа ещё активен 1752s; цена отошла только на 0.00 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.496,True,short,2026-03-21 20:23:37
cooldown после ATR-стопа ещё активен 1727s; цена отошла только на 0.00 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.496,True,short,2026-03-21 20:24:02
cooldown после ATR-стопа ещё активен 1693s; цена отошла только на 0.00 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.496,True,short,2026-03-21 20:24:36
cooldown после ATR-стопа ещё активен 1663s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:25:06
cooldown после ATR-стопа ещё активен 1637s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:25:32
cooldown после ATR-стопа ещё активен 1608s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:26:01
cooldown после ATR-стопа ещё активен 1581s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:26:29
cooldown после ATR-стопа ещё активен 1552s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:26:57
cooldown после ATR-стопа ещё активен 1511s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:27:38
cooldown после ATR-стопа ещё активен 1489s; цена отошла только на 0.53 ATR,True,DOT-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,1.497,True,short,2026-03-21 20:28:01
