early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,0.0,ICP-USDT-SWAP,pre_close:ATR стоп 2.0N,1.136985,39.25,0.0,-0.22733098985012345,short,0,20260322_104730_ICP-USDT-SWAP_short,0
False,0.0,ICP-USDT-SWAP,pre_close:ATR стоп 2.0N,1.14217,39.25,0.0,-0.23246920292389364,short,0,20260322_104524_ICP-USDT-SWAP_short,0
False,1.326319,BTC-USDT-SWAP,STOP_TRIGGERED,1.434306,435.5,1.326319,-0.5467804982178152,long,0,20260322_053113_BTC-USDT-SWAP_long,1
False,0.139953,CFX-USDT-SWAP,pre_close:ATR стоп 2.0N,1.742857,35.25,0.139953,-0.2908598823144512,long,1,20260322_100638_CFX-USDT-SWAP_long,0
False,0.0,MAGIC-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,6.055745,50.5,0.0,-0.19564192466680286,long,0,20260322_100643_MAGIC-USDT-SWAP_long,0
False,0.384897,LTC-USDT-SWAP,closed_candle,0.714809,88.5,0.384897,-0.1589147674319166,short,1,20260322_083031_LTC-USDT-SWAP_short,3
False,0.522055,INJ-USDT-SWAP,closed_candle,1.028192,61.25,0.696517,0.1744620752679305,short,3,20260322_083026_INJ-USDT-SWAP_short,3
False,0.08794,AUCTION-USDT-SWAP,pre_close:ATR стоп 2.0N,0.954584,12.75,0.08794,-0.16315033674575008,short,1,20260322_093536_AUCTION-USDT-SWAP_short,1
False,1.066917,NEAR-USDT-SWAP,pre_close:Канальный выход 10 свечей,2.882911,228.0,1.210206,0.14328891983801648,long,1,20260322_053118_NEAR-USDT-SWAP_long,3
False,2.060706,LINK-USDT-SWAP,pre_close:Канальный выход 10 свечей,2.283739,207.25,2.060706,-0.2044683023811392,long,1,20260322_053127_LINK-USDT-SWAP_long,3
False,0.0,LDO-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.801736,35.0,0.0,-0.28249648442254893,short,0,20260322_084635_LDO-USDT-SWAP_short,0
False,0.085452,BCH-USDT-SWAP,pre_close:ATR стоп 2.0N,2.157659,83.5,0.085452,-0.4058961760307699,long,0,20260322_073547_BCH-USDT-SWAP_long,0
False,0.120867,XTZ-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.830118,21.0,0.120867,-0.2646674012687978,short,0,20260322_083039_XTZ-USDT-SWAP_short,0
False,0.04415,XAG-USDT-SWAP,pre_close:ATR стоп 2.0N,0.147167,101.0,0.04415,-0.09565153410344747,long,0,20260322_064146_XAG-USDT-SWAP_long,1
False,2.616238,MAGIC-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,9.157203,50.5,2.616238,-0.6376525880191305,long,0,20260322_072225_MAGIC-USDT-SWAP_long,3
False,0.0,IMX-USDT-SWAP,closed_candle,3.657834,70.25,0.333743,0.6361354272512533,long,0,20260322_070015_IMX-USDT-SWAP_long,0
False,0.502008,ENA-USDT-SWAP,pre_close:ATR стоп 2.0N,1.706827,23.0,0.502008,-0.5020080321285145,long,0,20260322_063431_ENA-USDT-SWAP_long,0
False,0.182499,LTC-USDT-SWAP,closed_candle,0.783774,88.5,0.182499,-0.27328991738845676,long,0,20260322_063449_LTC-USDT-SWAP_long,0
False,0.102067,XTZ-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,1.275836,21.0,0.102067,-0.33171727481500973,long,0,20260322_063454_XTZ-USDT-SWAP_long,0
False,4.534005,SAND-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,1.38539,4.0,4.534005,0.0,long,0,20260322_063436_SAND-USDT-SWAP_long,0
False,0.144594,LDO-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,1.576103,35.0,0.144594,-0.13071746759879108,long,0,20260322_063426_LDO-USDT-SWAP_long,0
False,0.215517,1INCH-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.862069,14.5,0.215517,0.0,long,0,20260322_063422_1INCH-USDT-SWAP_long,0
False,0.0,XTZ-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,1.340296,21.0,0.0,-0.3967937074550762,long,0,20260322_063016_XTZ-USDT-SWAP_long,0
False,0.136988,LPT-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,1.77927,16.5,0.138568,0.0015797681351673004,long,0,20260322_063007_LPT-USDT-SWAP_long,0
True,2.167324,ICP-USDT-SWAP,pre_close:ATR стоп 2.0N,0.750697,39.25,4.202946,2.0356221884733747,short,9,20260322_015915_ICP-USDT-SWAP_short,3
False,2.217248,SUI-USDT-SWAP,pre_close:ATR стоп 2.0N,2.308922,33.25,2.217248,-0.42959172796078127,long,1,20260322_053141_SUI-USDT-SWAP_long,0
False,4.683885,MINA-USDT-SWAP,closed_candle,0.981771,101.75,4.683885,-0.2147280219871954,long,0,20260322_060032_MINA-USDT-SWAP_long,0
False,2.590674,YGG-USDT-SWAP,pre_close:ATR стоп 2.0N,2.331606,4.5,2.590674,-0.6468305304013031,long,0,20260322_053104_YGG-USDT-SWAP_long,1
False,1.571268,CFX-USDT-SWAP,pre_close:ATR стоп 2.0N,1.507135,35.25,1.571268,-0.48100048100048365,long,0,20260322_053150_CFX-USDT-SWAP_long,0
False,0.959791,AUCTION-USDT-SWAP,pre_close:ATR стоп 2.0N,1.477024,12.75,0.959791,-0.9098344439580741,long,0,20260322_053145_AUCTION-USDT-SWAP_long,0
False,0.087193,TSLA-USDT-SWAP,force_replace_place_failed:initial_stop_verify_recover,3.99598,4.5,0.087193,-1.942037045651225,short,0,20260322_053136_TSLA-USDT-SWAP_short,0
False,1.579587,ETC-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,2.430134,0.0,1.579587,-0.12150668286755513,long,0,20260322_053131_ETC-USDT-SWAP_long,0
