avg_px,hybrid_stop_mode,inst_id,last_px,peak_pnl_pct,pnl_pct,position_age_sec,qty,reconciler_interval_sec,side,sync_status,system_name,trade_id,trend_hold_state,turtle_exit_period
0.1152022082331738,DONCHIAN_ACTIVE,OP-USDT-SWAP,0.1144,2.5750115885139624,2.440093127537392,0,99840.0,10,short,SYNC_OK,Turtle 20,20260322_202509_OP-USDT-SWAP_short,,10
0.9154368116912095,DONCHIAN_ACTIVE,SUI-USDT-SWAP,0.9154368116912095,0.9796644676503562,0.9796644676503562,0,8964.0,10,short,SYNC_OK,Turtle 55,20260322_210531_SUI-USDT-SWAP_short,,20
1.2800382623615663,DONCHIAN_ACTIVE,NEAR-USDT-SWAP,1.2800382623615663,1.077320344298938,1.077320344298938,0,641.1,10,short,SYNC_OK,Turtle 20,20260322_210537_NEAR-USDT-SWAP_short,,10
4.321598825210351,ATR_INITIAL,KSM-USDT-SWAP,4.321,0.0,-0.02784905350133477,0,6299.0,10,short,SYNC_OK,Turtle 55,20260322_213558_KSM-USDT-SWAP_short,,20
0.868,ATR_INITIAL,FIL-USDT-SWAP,0.867,0.3456221198156686,0.3456221198156686,0,31052.0,10,short,SYNC_OK,Turtle 55,20260322_213601_FIL-USDT-SWAP_short,,20
0.1568432447674419,ATR_INITIAL,XLM-USDT-SWAP,0.15698,0.0,-0.08719230003234942,0,172.0,10,short,SYNC_OK,Turtle 55,20260322_213604_XLM-USDT-SWAP_short,,20
0.0578044332331474,ATR_INITIAL,IOTA-USDT-SWAP,0.05777,0.36250647332988406,0.17870549655862175,0,4658.0,10,short,SYNC_OK,Turtle 55,20260322_213607_IOTA-USDT-SWAP_short,,20
0.5543001029230136,ATR_INITIAL,ETHFI-USDT-SWAP,0.5557,0.0,-0.7576565850904224,0,4858.0,10,short,SYNC_OK,Turtle 55,20260322_213610_ETHFI-USDT-SWAP_short,,20
2.371,DONCHIAN_ACTIVE,ICP-USDT-SWAP,2.369,0.2527379949452497,0.42176296921125683,0,105709.2,10,short,SYNC_OK,Turtle 55,20260322_213614_ICP-USDT-SWAP_short,,20
53.82,ATR_INITIAL,LTC-USDT-SWAP,53.83,0.0,-0.05574136008917508,0,46.5,10,short,SYNC_OK,Turtle 55,20260322_213617_LTC-USDT-SWAP_short,,20
86.685,DONCHIAN_ACTIVE,SOL-USDT-SWAP,86.8,0.10363887609396985,-0.39799273230660975,0,57.78,10,short,SYNC_OK,Turtle 20,20260322_213619_SOL-USDT-SWAP_short,,10
465.25,DONCHIAN_ACTIVE,BCH-USDT-SWAP,465.7,0.17160017160017405,-0.29016657710907384,0,103.84,10,short,SYNC_OK,Turtle 20,20260322_213626_BCH-USDT-SWAP_short,,10
106.5,ATR_INITIAL,AAVE-USDT-SWAP,106.5,0.0,0.0,0,220.5,10,short,SYNC_OK,Turtle 55,20260322_214305_AAVE-USDT-SWAP_short,,20
0.2526,ATR_INITIAL,ADA-USDT-SWAP,0.2526,0.0,0.0,0,92.9,10,short,SYNC_OK,Turtle 55,20260322_214307_ADA-USDT-SWAP_short,,20
