components,components_down,current_state,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'ok': True, 'latency_ms': 250.6, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 249.4, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 434.4, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 374.4, 'error_type': ''}}",[],,1.345,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,CONNECTED,2026-03-22 19:54:29
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 318.9, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 301.2, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 359.4, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 377.7, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-22 19:54:37
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 408.5, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 286.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 343.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 369.6, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-22 19:55:00
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 314.2, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 236.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 368.6, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 369.8, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-22 19:56:05
"{'public': {'ok': True, 'latency_ms': 321.7, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 297.7, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 331.1, 'error_type': ''}, 'market_data': {'ok': False, 'latency_ms': 18.5, 'error_type': 'ReadError'}}",['market_data'],,146.374,,,CONNECTIVITY_STATE_CHANGED,CONNECTED,market_data: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,,,,,,DEGRADED,2026-03-22 19:56:56
,['market_data'],,,,,CONNECTIVITY_INCIDENT_STARTED,,market_data: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,,,,DEGRADED,2026-03-22 19:56:56,,2026-03-22 19:56:56
"{'public': {'ok': True, 'latency_ms': 455.9, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 362.0, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 358.2, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 357.2, 'error_type': ''}}",[],,6.837,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-22 19:57:02
,[],,,6.877,2026-03-22 19:57:02,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-22 19:56:56,,2026-03-22 19:57:02
,,,,,,CONNECTIVITY_RECOVERY_COMPLETED,,,0,,,,,,2026-03-22 19:57:03
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 322.8, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 356.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 305.8, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 417.7, 'error_type': '', 'error': '', 'size_hint': 1}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-22 19:57:13
