block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1143s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:20:25
cooldown после ATR-стопа ещё активен 1122s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:20:46
cooldown после ATR-стопа ещё активен 1111s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:20:57
cooldown после ATR-стопа ещё активен 1095s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:21:12
cooldown после ATR-стопа ещё активен 1082s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:21:26
cooldown после ATR-стопа ещё активен 1067s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:21:41
cooldown после ATR-стопа ещё активен 1056s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:21:52
cooldown после ATR-стопа ещё активен 1041s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:22:07
cooldown после ATR-стопа ещё активен 1030s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:22:18
cooldown после ATR-стопа ещё активен 1013s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:22:35
cooldown после ATR-стопа ещё активен 1000s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:22:47
cooldown после ATR-стопа ещё активен 985s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:23:03
cooldown после ATR-стопа ещё активен 974s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:23:14
cooldown после ATR-стопа ещё активен 958s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:23:30
cooldown после ATR-стопа ещё активен 945s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:23:43
cooldown после ATR-стопа ещё активен 929s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:23:58
cooldown после ATR-стопа ещё активен 919s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:24:09
cooldown после ATR-стопа ещё активен 903s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:24:25
cooldown после ATR-стопа ещё активен 892s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:24:36
cooldown после ATR-стопа ещё активен 874s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:24:53
cooldown после ATR-стопа ещё активен 864s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:25:04
cooldown после ATR-стопа ещё активен 841s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:25:27
cooldown после ATR-стопа ещё активен 809s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:25:59
cooldown после ATR-стопа ещё активен 785s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:26:22
cooldown после ATR-стопа ещё активен 764s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:26:44
cooldown после ATR-стопа ещё активен 739s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:27:09
cooldown после ATR-стопа ещё активен 723s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:27:24
cooldown после ATR-стопа ещё активен 712s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:27:36
cooldown после ATR-стопа ещё активен 697s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:27:51
cooldown после ATR-стопа ещё активен 684s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:28:04
cooldown после ATR-стопа ещё активен 660s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:28:28
cooldown после ATR-стопа ещё активен 640s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:28:48
cooldown после ATR-стопа ещё активен 627s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:29:01
cooldown после ATR-стопа ещё активен 607s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:29:21
cooldown после ATR-стопа ещё активен 583s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:29:45
cooldown после ATR-стопа ещё активен 569s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:29:59
cooldown после ATR-стопа ещё активен 1791s; цена отошла только на 0.47 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.676,True,short,2026-03-22 20:40:17
cooldown после ATR-стопа ещё активен 1772s; цена отошла только на 0.47 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.676,True,short,2026-03-22 20:40:36
cooldown после ATR-стопа ещё активен 1761s; цена отошла только на 0.47 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.676,True,short,2026-03-22 20:40:47
cooldown после ATR-стопа ещё активен 1739s; цена отошла только на 0.47 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.676,True,short,2026-03-22 20:41:09
cooldown после ATR-стопа ещё активен 1722s; цена отошла только на 0.47 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.676,True,short,2026-03-22 20:41:26
