cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0938,False,,False,long,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0938,False,,False,short,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01403,False,,False,long,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01403,False,,False,short,5m,2026-03-23 20:44:34
,reentry_check,True,scan,ACT-USDT-SWAP,0.01403,False,0.0,,scan,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0876,False,,False,long,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0876,False,,False,short,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ARB-USDT-SWAP,0.0947,False,,False,long,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ARB-USDT-SWAP,0.0947,False,,False,short,5m,2026-03-23 20:44:34
,reentry_check,True,scan,ARB-USDT-SWAP,0.0947,False,0.0,,scan,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6643,False,,False,long,5m,2026-03-23 20:44:34
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6643,False,,False,short,5m,2026-03-23 20:44:34
,reentry_check,True,scan,ASTER-USDT-SWAP,0.6643,False,0.0,,scan,5m,2026-03-23 20:44:35
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.839,False,,False,long,5m,2026-03-23 20:44:37
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.839,False,,False,short,5m,2026-03-23 20:44:37
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0491,False,,False,long,5m,2026-03-23 20:44:39
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0491,False,,False,short,5m,2026-03-23 20:44:39
