cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0937,False,False,long,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0937,False,False,short,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,ACT-USDT-SWAP,0.0141,False,False,long,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,ACT-USDT-SWAP,0.0141,False,False,short,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0872,False,False,long,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0872,False,False,short,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6617,False,False,long,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6617,False,False,short,5m,2026-03-23 21:19:03
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0538,False,False,long,5m,2026-03-23 21:19:09
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0538,False,False,short,5m,2026-03-23 21:19:09
False,reentry_check,True,ok,BCH-USDT-SWAP,478.7,False,False,long,5m,2026-03-23 21:19:12
False,reentry_check,True,ok,BCH-USDT-SWAP,478.7,False,False,short,5m,2026-03-23 21:19:12
False,reentry_check,True,ok,BTC-USDT-SWAP,70953.5,False,False,long,5m,2026-03-23 21:19:20
False,reentry_check,True,ok,BTC-USDT-SWAP,70953.5,False,False,short,5m,2026-03-23 21:19:20
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06036,False,False,long,5m,2026-03-23 21:19:27
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06036,False,False,short,5m,2026-03-23 21:19:27
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2183,False,False,long,5m,2026-03-23 21:19:34
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2183,False,False,short,5m,2026-03-23 21:19:34
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.0949,False,False,long,5m,2026-03-23 21:19:36
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.0949,False,False,short,5m,2026-03-23 21:19:36
False,reentry_check,True,ok,ETC-USDT-SWAP,8.43,False,False,long,5m,2026-03-23 21:19:42
False,reentry_check,True,ok,ETC-USDT-SWAP,8.43,False,False,short,5m,2026-03-23 21:19:42
False,reentry_check,True,ok,ETH-USDT-SWAP,2150.14,False,False,long,5m,2026-03-23 21:19:43
False,reentry_check,True,ok,ETH-USDT-SWAP,2150.14,False,False,short,5m,2026-03-23 21:19:43
False,reentry_check,True,ok,GMT-USDT-SWAP,0.01057,False,False,long,5m,2026-03-23 21:19:50
False,reentry_check,True,ok,GMT-USDT-SWAP,0.01057,False,False,short,5m,2026-03-23 21:19:50
False,reentry_check,True,ok,ICP-USDT-SWAP,2.402,False,False,long,5m,2026-03-23 21:20:02
False,reentry_check,True,ok,ICP-USDT-SWAP,2.402,False,False,short,5m,2026-03-23 21:20:02
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1574,False,False,long,5m,2026-03-23 21:20:04
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1574,False,False,short,5m,2026-03-23 21:20:04
False,reentry_check,True,ok,LINK-USDT-SWAP,9.096,False,False,long,5m,2026-03-23 21:20:15
False,reentry_check,True,ok,LINK-USDT-SWAP,9.096,False,False,short,5m,2026-03-23 21:20:15
False,reentry_check,True,ok,LIT-USDT-SWAP,0.954,False,False,long,5m,2026-03-23 21:20:16
False,reentry_check,True,ok,LIT-USDT-SWAP,0.954,False,False,short,5m,2026-03-23 21:20:16
False,reentry_check,True,ok,LPT-USDT-SWAP,2.204,False,False,long,5m,2026-03-23 21:20:18
False,reentry_check,True,ok,LPT-USDT-SWAP,2.204,False,False,short,5m,2026-03-23 21:20:18
False,reentry_check,True,ok,LTC-USDT-SWAP,55.43,False,False,long,5m,2026-03-23 21:20:22
False,reentry_check,True,ok,LTC-USDT-SWAP,55.43,False,False,short,5m,2026-03-23 21:20:22
False,reentry_check,True,ok,MET-USDT-SWAP,0.1407,False,False,long,5m,2026-03-23 21:20:28
False,reentry_check,True,ok,MET-USDT-SWAP,0.1407,False,False,short,5m,2026-03-23 21:20:28
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.3028,False,False,long,5m,2026-03-23 21:20:34
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.3028,False,False,short,5m,2026-03-23 21:20:34
False,reentry_check,True,ok,NEO-USDT-SWAP,2.686,False,False,long,5m,2026-03-23 21:20:35
False,reentry_check,True,ok,NEO-USDT-SWAP,2.686,False,False,short,5m,2026-03-23 21:20:35
False,reentry_check,True,ok,OP-USDT-SWAP,0.11409,False,False,long,5m,2026-03-23 21:20:38
False,reentry_check,True,ok,OP-USDT-SWAP,0.11409,False,False,short,5m,2026-03-23 21:20:38
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.868,False,False,long,5m,2026-03-23 21:20:42
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.868,False,False,short,5m,2026-03-23 21:20:42
False,reentry_check,True,ok,SAND-USDT-SWAP,0.0801,False,False,long,5m,2026-03-23 21:20:48
False,reentry_check,True,ok,SAND-USDT-SWAP,0.0801,False,False,short,5m,2026-03-23 21:20:48
False,reentry_check,True,ok,TON-USDT-SWAP,1.294,False,False,long,5m,2026-03-23 21:21:04
False,reentry_check,True,ok,TON-USDT-SWAP,1.294,False,False,short,5m,2026-03-23 21:21:04
False,reentry_check,True,ok,XAG-USDT-SWAP,69.57,False,False,long,5m,2026-03-23 21:21:10
False,reentry_check,True,ok,XAG-USDT-SWAP,69.57,False,False,short,5m,2026-03-23 21:21:10
False,reentry_check,True,ok,XAU-USDT-SWAP,4427.5,False,False,long,5m,2026-03-23 21:21:11
False,reentry_check,True,ok,XAU-USDT-SWAP,4427.5,False,False,short,5m,2026-03-23 21:21:11
False,reentry_check,True,ok,XTZ-USDT-SWAP,0.3877,False,False,long,5m,2026-03-23 21:21:18
False,reentry_check,True,ok,XTZ-USDT-SWAP,0.3877,False,False,short,5m,2026-03-23 21:21:18
False,reentry_check,True,ok,YGG-USDT-SWAP,0.0384,False,False,long,5m,2026-03-23 21:21:22
False,reentry_check,True,ok,YGG-USDT-SWAP,0.0384,False,False,short,5m,2026-03-23 21:21:22
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0937,False,False,long,5m,2026-03-23 21:21:52
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0937,False,False,short,5m,2026-03-23 21:21:52
False,reentry_check,True,ok,AAVE-USDT-SWAP,110.32,False,False,long,5m,2026-03-23 21:21:56
False,reentry_check,True,ok,AAVE-USDT-SWAP,110.32,False,False,short,5m,2026-03-23 21:21:56
False,reentry_check,True,ok,ACT-USDT-SWAP,0.0141,False,False,long,5m,2026-03-23 21:21:57
False,reentry_check,True,ok,ACT-USDT-SWAP,0.0141,False,False,short,5m,2026-03-23 21:21:57
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0872,False,False,long,5m,2026-03-23 21:22:02
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0872,False,False,short,5m,2026-03-23 21:22:02
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6615,False,False,long,5m,2026-03-23 21:22:06
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6615,False,False,short,5m,2026-03-23 21:22:06
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.819,False,False,long,5m,2026-03-23 21:22:06
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.819,False,False,short,5m,2026-03-23 21:22:06
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0538,False,False,long,5m,2026-03-23 21:22:07
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0538,False,False,short,5m,2026-03-23 21:22:07
False,reentry_check,True,ok,BCH-USDT-SWAP,478.9,False,False,long,5m,2026-03-23 21:22:07
False,reentry_check,True,ok,BCH-USDT-SWAP,478.9,False,False,short,5m,2026-03-23 21:22:07
