components,components_down,current_state,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'ok': True, 'latency_ms': 327.7, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 324.3, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 436.6, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 404.0, 'error_type': ''}, 'ws_public': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}","['ws_public', 'ws_private']",,1.529,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-23 21:18:39
,"['ws_public', 'ws_private']",,,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-23 21:18:39,,2026-03-23 21:18:39
"{'public': {'ok': True, 'latency_ms': 439.1, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 374.5, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 358.0, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 402.1, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,7.287,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-23 21:18:47
,[],,,8.05,2026-03-23 21:18:47,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-23 21:18:39,,2026-03-23 21:18:47
,,,,,,CONNECTIVITY_RECOVERY_COMPLETED,,,0,,,,,,2026-03-23 21:18:47
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 387.6, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 421.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 405.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 406.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 98005}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 122}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-23 21:21:28
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 1030.5, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 397.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 443.2, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 306.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 186480}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 212}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-23 21:24:01
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 403.6, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 424.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 429.5, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 321.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 263364}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 293}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,,,,,2026-03-23 21:26:13
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 404.1, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 401.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 307.4, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 305.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 344472}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 393}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,1,,,,,,2026-03-23 21:28:33
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 438.2, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 428.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 405.5, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 315.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 432063}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 575}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,,,,,2026-03-23 21:30:58
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 383.4, 'error_type': '', 'error': '', 'size_hint': 144}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 406.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 405.3, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 314.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 435073}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 579}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,,,,,2026-03-23 21:31:03
