action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
position_opened,AUCTION-USDT-SWAP,0.0,4.808,6279.6,,,short,True,2026-03-23 21:28:30,20260323_212827_AUCTION-USDT-SWAP_short
OPEN,AUCTION-USDT-SWAP,0.0,4.808,6279.6,,Первичный вход,short,True,2026-03-23 21:28:30,20260323_212827_AUCTION-USDT-SWAP_short
position_opened,XAG-USDT-SWAP,0.0,69.97,4264.0,,,long,True,2026-03-23 21:30:50,20260323_213047_XAG-USDT-SWAP_long
OPEN,XAG-USDT-SWAP,0.0,69.97,4264.0,,Первичный вход,long,True,2026-03-23 21:30:50,20260323_213047_XAG-USDT-SWAP_long
position_opened,NEAR-USDT-SWAP,0.0,1.3106,225.0,,,long,True,2026-03-23 21:38:15,20260323_213811_NEAR-USDT-SWAP_long
OPEN,NEAR-USDT-SWAP,0.0,1.3106,225.0,,Первичный вход,long,True,2026-03-23 21:38:15,20260323_213811_NEAR-USDT-SWAP_long
position_opened,CFX-USDT-SWAP,0.0,0.06059,4810.1,,,long,True,2026-03-23 21:38:19,20260323_213815_CFX-USDT-SWAP_long
OPEN,CFX-USDT-SWAP,0.0,0.06059,4810.1,,Первичный вход,long,True,2026-03-23 21:38:19,20260323_213815_CFX-USDT-SWAP_long
position_opened,QTUM-USDT-SWAP,0.0,0.872,3303.0,,,long,True,2026-03-23 21:38:23,20260323_213820_QTUM-USDT-SWAP_long
OPEN,QTUM-USDT-SWAP,0.0,0.872,3303.0,,Первичный вход,long,True,2026-03-23 21:38:23,20260323_213820_QTUM-USDT-SWAP_long
position_opened,SAND-USDT-SWAP,0.0,0.0804,3557.0,,,long,True,2026-03-23 21:38:28,20260323_213824_SAND-USDT-SWAP_long
OPEN,SAND-USDT-SWAP,0.0,0.0804,3557.0,,Первичный вход,long,True,2026-03-23 21:38:28,20260323_213824_SAND-USDT-SWAP_long
position_opened,LPT-USDT-SWAP,0.0,2.214,12827.0,,,long,True,2026-03-23 21:38:32,20260323_213829_LPT-USDT-SWAP_long
OPEN,LPT-USDT-SWAP,0.0,2.214,12827.0,,Первичный вход,long,True,2026-03-23 21:38:32,20260323_213829_LPT-USDT-SWAP_long
