atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
0.0208,1.634615,1.0,0.192308,9.359,8.701923,0.240385,0.192308,9.54,9.359,minimal,9.355,breakout_quality,True,AVAX-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:43
1.65e-05,1.818182,1.0,3.636364,0.01042,16.969697,3.636364,3.636364,0.0107,0.01042,minimal,0.01036,breakout_quality,True,GMT-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:45
0.0259,1.544402,0.851064,0.579151,9.03,11.351351,0.46332,0.579151,9.324,9.03,minimal,9.015,breakout_quality,True,LINK-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:47
0.000205,1.95122,1.0,2.439024,0.1513,16.097561,1.95122,2.439024,0.1546,0.1513,minimal,0.1508,breakout_quality,True,IMX-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:49
0.000225,2.666667,1.0,3.111111,0.0954,9.333333,1.333333,3.111111,0.0975,0.0954,minimal,0.0947,breakout_quality,True,ARB-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:51
0.0002475,2.222222,0.916667,1.010101,0.0927,7.676768,1.212121,1.010101,0.0946,0.0927,minimal,0.09245,breakout_quality,True,DOGE-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:52
0.0015,2.666667,1.0,2.666667,0.906,12.666667,0.666667,2.666667,0.925,0.906,minimal,0.902,breakout_quality,True,FIL-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:55
0.00565,1.769912,1.0,1.415929,2.995,12.920354,0.530973,1.415929,3.068,2.995,minimal,2.987,breakout_quality,True,INJ-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:56
0.0041,1.707317,1.0,0.97561,2.347,12.195122,0.97561,0.97561,2.397,2.347,minimal,2.343,breakout_quality,True,ICP-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:46:58
0.00435,3.448276,1.0,1.83908,4.361,13.563218,1.83908,1.83908,4.42,4.361,minimal,4.353,breakout_quality,True,KSM-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:47:00
0.03,2.0,1.0,1.666667,19.09,3.333333,1.333333,1.666667,19.19,19.09,minimal,19.04,breakout_quality,True,COMP-USDT-SWAP,short,Turtle 20,5m,2026-03-24 20:47:02
0.6045,1.555004,1.0,1.257237,380.76,5.525227,1.257237,1.257237,384.1,380.76,minimal,380.0,breakout_quality,True,TSLA-USDT-SWAP,short,Turtle 20,5m,2026-03-24 20:47:04
0.062,2.903226,1.0,1.612903,55.45,4.677419,1.129032,1.612903,55.74,55.45,minimal,55.35,breakout_quality,True,LTC-USDT-SWAP,short,Turtle 20,5m,2026-03-24 20:47:05
0.2475,0.40404,0.769231,0.525253,88.7,4.929293,-0.525253,-0.525253,89.92,88.7,minimal,88.83,breakout_quality,True,SOL-USDT-SWAP,short,Turtle 20,5m,2026-03-24 20:50:06
0.00575,0.695652,0.571429,1.043478,4.675,10.956522,0.347826,1.043478,4.738,4.675,minimal,4.669,breakout_quality,True,AUCTION-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:53:29
6.25e-05,0.0,0.0,2.4,0.05978,7.52,2.4,2.4,0.06025,0.05978,minimal,0.05963,breakout_quality,True,MAGIC-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:56:20
6.25e-05,0.0,0.0,1.76,0.05978,7.52,2.4,-1.76,0.06025,0.05978,minimal,0.05989,breakout_quality,True,MAGIC-USDT-SWAP,short,Turtle 55,5m,2026-03-24 20:59:22
0.00425,1.411765,1.0,0.705882,4.381,7.529412,0.705882,0.705882,4.381,4.349,minimal,4.384,breakout_quality,True,KSM-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:36:42
0.001919,2.027097,1.0,0.54716,0.9376,4.846274,0.187598,-0.54716,0.9376,0.9283,minimal,0.93655,breakout_quality,True,SUI-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:41:57
0.00345,1.73913,1.0,0.57971,1.376,4.637681,0.289855,0.57971,1.376,1.36,minimal,1.378,breakout_quality,True,DOT-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:41:59
0.00309,1.71521,1.0,0.032362,1.291,5.339806,0.323625,0.032362,1.291,1.2745,minimal,1.2911,breakout_quality,True,NEAR-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:42:01
0.00023,2.173913,1.0,1.304348,0.1523,7.826087,2.173913,1.304348,0.1523,0.1505,minimal,0.1526,breakout_quality,True,IMX-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:42:04
0.0016,2.5,1.0,0.625,0.91,5.0,1.25,0.625,0.91,0.902,minimal,0.911,breakout_quality,True,FIL-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:42:06
0.276,1.811594,0.943396,0.289855,108.99,3.84058,1.521739,0.289855,108.99,107.93,minimal,109.07,breakout_quality,True,AAVE-USDT-SWAP,long,Turtle 20,5m,2026-03-24 21:45:01
