cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0934,False,,False,long,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0934,False,,False,short,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,AAVE-USDT-SWAP,108.88,False,,False,long,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,AAVE-USDT-SWAP,108.88,False,,False,short,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01366,False,,False,long,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01366,False,,False,short,5m,2026-03-24 22:03:16
,reentry_check,True,scan,ACT-USDT-SWAP,0.01366,False,0.0,,scan,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0859,False,,False,long,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0859,False,,False,short,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6611,False,,False,long,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6611,False,,False,short,5m,2026-03-24 22:03:16
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.693,False,,False,long,5m,2026-03-24 22:03:19
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.693,False,,False,short,5m,2026-03-24 22:03:19
False,reentry_check,True,ok,AVAX-USDT-SWAP,9.411,False,,False,long,5m,2026-03-24 22:03:21
False,reentry_check,True,ok,AVAX-USDT-SWAP,9.411,False,,False,short,5m,2026-03-24 22:03:21
False,reentry_check,True,ok,BCH-USDT-SWAP,473.1,False,,False,long,5m,2026-03-24 22:03:26
False,reentry_check,True,ok,BCH-USDT-SWAP,473.1,False,,False,short,5m,2026-03-24 22:03:26
False,reentry_check,True,ok,BNB-USDT-SWAP,630.4,False,,False,long,5m,2026-03-24 22:03:30
False,reentry_check,True,ok,BNB-USDT-SWAP,630.4,False,,False,short,5m,2026-03-24 22:03:30
False,reentry_check,True,ok,BTC-USDT-SWAP,69394.6,False,,False,long,5m,2026-03-24 22:03:34
False,reentry_check,True,ok,BTC-USDT-SWAP,69394.6,False,,False,short,5m,2026-03-24 22:03:34
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06116,False,,False,long,5m,2026-03-24 22:03:42
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06116,False,,False,short,5m,2026-03-24 22:03:42
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03563,False,,False,long,5m,2026-03-24 22:03:43
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03563,False,,False,short,5m,2026-03-24 22:03:43
False,reentry_check,True,ok,COMP-USDT-SWAP,19.19,False,,False,long,5m,2026-03-24 22:03:45
False,reentry_check,True,ok,COMP-USDT-SWAP,19.19,False,,False,short,5m,2026-03-24 22:03:45
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2202,False,,False,long,5m,2026-03-24 22:03:47
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2202,False,,False,short,5m,2026-03-24 22:03:47
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.09285,False,,False,long,5m,2026-03-24 22:03:48
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.09285,False,,False,short,5m,2026-03-24 22:03:48
False,reentry_check,True,ok,ETC-USDT-SWAP,8.48,False,,False,long,5m,2026-03-24 22:03:53
False,reentry_check,True,ok,ETC-USDT-SWAP,8.48,False,,False,short,5m,2026-03-24 22:03:53
False,reentry_check,True,ok,ETH-USDT-SWAP,2118.25,False,,False,long,5m,2026-03-24 22:03:54
False,reentry_check,True,ok,ETH-USDT-SWAP,2118.25,False,,False,short,5m,2026-03-24 22:03:54
False,reentry_check,True,ok,FIL-USDT-SWAP,0.909,False,,False,long,5m,2026-03-24 22:03:57
False,reentry_check,True,ok,FIL-USDT-SWAP,0.909,False,,False,short,5m,2026-03-24 22:03:57
False,reentry_check,True,ok,ICP-USDT-SWAP,2.352,False,,False,long,5m,2026-03-24 22:04:04
False,reentry_check,True,ok,ICP-USDT-SWAP,2.352,False,,False,short,5m,2026-03-24 22:04:04
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1522,False,,False,long,5m,2026-03-24 22:04:06
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1522,False,,False,short,5m,2026-03-24 22:04:06
False,reentry_check,True,ok,INJ-USDT-SWAP,3.0,False,,False,long,5m,2026-03-24 22:04:07
False,reentry_check,True,ok,INJ-USDT-SWAP,3.0,False,,False,short,5m,2026-03-24 22:04:07
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1516,False,,False,long,5m,2026-03-24 22:04:11
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1516,False,,False,short,5m,2026-03-24 22:04:11
False,reentry_check,True,ok,LDO-USDT-SWAP,0.2888,False,,False,long,5m,2026-03-24 22:04:14
False,reentry_check,True,ok,LDO-USDT-SWAP,0.2888,False,,False,short,5m,2026-03-24 22:04:14
False,reentry_check,True,ok,LINK-USDT-SWAP,9.068,False,,False,long,5m,2026-03-24 22:04:15
False,reentry_check,True,ok,LINK-USDT-SWAP,9.068,False,,False,short,5m,2026-03-24 22:04:15
False,reentry_check,True,ok,LIT-USDT-SWAP,0.978,False,,False,long,5m,2026-03-24 22:04:16
False,reentry_check,True,ok,LIT-USDT-SWAP,0.978,False,,False,short,5m,2026-03-24 22:04:16
False,reentry_check,True,ok,LTC-USDT-SWAP,55.63,False,,False,long,5m,2026-03-24 22:04:20
False,reentry_check,True,ok,LTC-USDT-SWAP,55.63,False,,False,short,5m,2026-03-24 22:04:20
False,reentry_check,True,ok,MAGIC-USDT-SWAP,0.06073,False,,False,long,5m,2026-03-24 22:04:21
False,reentry_check,True,ok,MAGIC-USDT-SWAP,0.06073,False,,False,short,5m,2026-03-24 22:04:21
,reentry_check,True,scan,MAGIC-USDT-SWAP,0.06073,False,0.0,,scan,5m,2026-03-24 22:04:21
False,reentry_check,True,ok,MET-USDT-SWAP,0.1338,False,,False,long,5m,2026-03-24 22:04:26
False,reentry_check,True,ok,MET-USDT-SWAP,0.1338,False,,False,short,5m,2026-03-24 22:04:26
False,reentry_check,True,ok,MINA-USDT-SWAP,0.05744,False,,False,long,5m,2026-03-24 22:04:26
False,reentry_check,True,ok,MINA-USDT-SWAP,0.05744,False,,False,short,5m,2026-03-24 22:04:26
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.2874,False,,False,long,5m,2026-03-24 22:04:30
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.2874,False,,False,short,5m,2026-03-24 22:04:30
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.902,False,,False,long,5m,2026-03-24 22:04:36
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.902,False,,False,short,5m,2026-03-24 22:04:36
False,reentry_check,True,ok,TON-USDT-SWAP,1.32,False,,False,long,5m,2026-03-24 22:04:54
False,reentry_check,True,ok,TON-USDT-SWAP,1.32,False,,False,short,5m,2026-03-24 22:04:54
False,reentry_check,True,ok,TSLA-USDT-SWAP,384.52,False,,False,long,5m,2026-03-24 22:04:57
False,reentry_check,True,ok,TSLA-USDT-SWAP,384.52,False,,False,short,5m,2026-03-24 22:04:57
False,reentry_check,True,ok,XAG-USDT-SWAP,69.36,False,,False,long,5m,2026-03-24 22:04:58
False,reentry_check,True,ok,XAG-USDT-SWAP,69.36,False,,False,short,5m,2026-03-24 22:04:58
False,reentry_check,True,ok,XRP-USDT-SWAP,1.3893,False,,False,long,5m,2026-03-24 22:05:02
False,reentry_check,True,ok,XRP-USDT-SWAP,1.3893,False,,False,short,5m,2026-03-24 22:05:02
False,reentry_check,True,ok,YGG-USDT-SWAP,0.0379,False,,False,long,5m,2026-03-24 22:05:07
False,reentry_check,True,ok,YGG-USDT-SWAP,0.0379,False,,False,short,5m,2026-03-24 22:05:07
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0935,False,,False,long,5m,2026-03-24 22:05:32
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0935,False,,False,short,5m,2026-03-24 22:05:32
False,reentry_check,True,ok,AAVE-USDT-SWAP,109.11,False,,False,long,5m,2026-03-24 22:05:35
False,reentry_check,True,ok,AAVE-USDT-SWAP,109.11,False,,False,short,5m,2026-03-24 22:05:35
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01368,False,,False,long,5m,2026-03-24 22:05:36
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01368,False,,False,short,5m,2026-03-24 22:05:36
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0859,False,,False,long,5m,2026-03-24 22:05:40
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0859,False,,False,short,5m,2026-03-24 22:05:40
False,reentry_check,True,ok,ARB-USDT-SWAP,0.096,False,,False,long,5m,2026-03-24 22:05:41
False,reentry_check,True,ok,ARB-USDT-SWAP,0.096,False,,False,short,5m,2026-03-24 22:05:41
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6611,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6611,False,,False,short,5m,2026-03-24 22:05:43
