time,event,inst_id,side,qty,price,atr,stop_price,system_name,note
2026-03-24 23:05:04,OPEN,CRV-USDT-SWAP,short,13562.0,0.2193,0.00041500000000000147,0.22013,Turtle 20,Первичный вход
2026-03-24 23:14:03,OPEN,MET-USDT-SWAP,short,2215.0,0.1327,0.0001099999999999976,0.13292,Turtle 55,Первичный вход
2026-03-24 23:14:07,OPEN,ICP-USDT-SWAP,long,122687.4,2.368,0.0035999999999999587,2.3608,Turtle 20,Первичный вход
2026-03-24 23:14:16,CLOSE,CRV-USDT-SWAP,short,13562.0,0.2202,0.00039500000000000093,0.22013,Turtle 20,Синхронизация: позиция отсутствует на бирже
2026-03-24 23:14:23,ADD,ICP-USDT-SWAP,long,122687.4,2.370996575850495,0.0035999999999999587,2.3608,Turtle 20,Добор до 2 юнитов
2026-03-24 23:17:22,OPEN,COMP-USDT-SWAP,long,1498.7,19.34,0.028999999999999738,19.282,Turtle 55,Первичный вход
2026-03-24 23:20:23,CLOSE,MET-USDT-SWAP,short,2215.0,0.133,0.00010499999999999815,0.13292,Turtle 55,Синхронизация: позиция отсутствует на бирже
2026-03-24 23:23:02,OPEN,NEAR-USDT-SWAP,long,222.7,1.3011,0.0023700000000000053,1.29636,Turtle 55,Первичный вход
2026-03-24 23:23:05,OPEN,ETC-USDT-SWAP,long,33.08,8.66,0.010499999999999865,8.639000000000001,Turtle 55,Первичный вход
2026-03-24 23:26:30,OPEN,QTUM-USDT-SWAP,long,3119.0,0.912,0.0017000000000000014,0.9086000000000001,Turtle 20,Первичный вход
2026-03-24 23:26:39,ADD,ICP-USDT-SWAP,long,122687.4,2.3784016997670507,0.004249999999999932,2.3835,Turtle 20,Добор до 3 юнитов
2026-03-24 23:26:51,ADD,COMP-USDT-SWAP,long,1498.7,19.35,0.02749999999999968,19.365000000000002,Turtle 55,Добор до 2 юнитов
2026-03-24 23:27:03,ADD,ETC-USDT-SWAP,long,33.08,8.679981862152358,0.015999999999999837,8.639000000000001,Turtle 55,Добор до 2 юнитов
2026-03-24 23:30:36,OPEN,AUCTION-USDT-SWAP,long,5902.3,4.727,0.005250000000000065,4.7165,Turtle 20,Первичный вход
2026-03-24 23:30:45,ADD,ICP-USDT-SWAP,long,122687.4,2.3784016997670507,0.0049499999999999215,2.3951,Turtle 20,Добор до 4 юнитов
2026-03-24 23:31:04,ADD,COMP-USDT-SWAP,long,1498.7,19.39,0.02749999999999968,19.375,Turtle 55,Добор до 3 юнитов
