2026-03-25 18:47:21,478 | INFO | system_events | logger_factory:configure_logging:169 | logging_configured version=v108 logs_dir=D:\GIT\okx-trading-bot\v10x\v108 деление программы на движки и разгруз main\logs
2026-03-25 18:47:22,669 | INFO | system_events | session_control_engine:_transition:23 | session_state=STARTING payload={}
2026-03-25 18:47:23,711 | INFO | system_events | session_control_engine:_transition:23 | session_state=RUNNING payload={}
2026-03-25 18:47:29,928 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-25 18:47:30,324 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/config "HTTP/2 200 OK"
2026-03-25 18:47:30,337 | WARNING | root | main_v107:_load_state:2594 | Failed to load state: trade_models.PositionState() argument after ** must be a mapping, not str
2026-03-25 18:47:30,623 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-25 18:47:30,752 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-25 18:47:30,806 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:31,004 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-25 18:47:31,221 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:31,443 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:31,598 | INFO | websocket | _logging:info:89 | Websocket connected
2026-03-25 18:47:31,769 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=2Z-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:31,779 | INFO | websocket | _logging:info:89 | Websocket connected
2026-03-25 18:47:31,807 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:32,061 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/positions?instType=SWAP "HTTP/2 200 OK"
2026-03-25 18:47:32,129 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:32,267 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BTC-USDT-SWAP&bar=5m&limit=64 "HTTP/2 200 OK"
2026-03-25 18:47:32,495 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BTC-USDT-SWAP&bar=5m&limit=64 "HTTP/2 200 OK"
