2026-03-25 19:12:10,950 | INFO | system_events | logger_factory:configure_logging:169 | logging_configured version=v109 logs_dir=D:\GIT\okx-trading-bot\v10x\v109 продолжение\logs
2026-03-25 19:12:14,982 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-25 19:12:15,374 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/config "HTTP/2 200 OK"
2026-03-25 19:12:15,410 | WARNING | root | main_v107:_load_state:2596 | Failed to load state: trade_models.PositionState() argument after ** must be a mapping, not str
2026-03-25 19:12:15,412 | INFO | engine.app | runtime_engine_bundle:attach:62 | runtime_engine_bundle_attached positions=0 closed=0
2026-03-25 19:12:15,721 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-25 19:12:15,723 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-25 19:12:15,757 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:15,970 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-25 19:12:16,005 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:16,285 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:16,423 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=2Z-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:16,612 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:16,660 | INFO | websocket | _logging:info:89 | Websocket connected
2026-03-25 19:12:16,732 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:16,867 | INFO | websocket | _logging:info:89 | Websocket connected
2026-03-25 19:12:16,880 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/positions?instType=SWAP "HTTP/2 200 OK"
2026-03-25 19:12:17,134 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BTC-USDT-SWAP&bar=5m&limit=64 "HTTP/2 200 OK"
2026-03-25 19:12:17,183 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=A-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:17,224 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BTC-USDT-SWAP&bar=5m&limit=64 "HTTP/2 200 OK"
2026-03-25 19:12:17,436 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=A-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:17,856 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AAVE-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:18,096 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AAVE-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:18,528 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ACT-USDT-SWAP "HTTP/2 200 OK"
