components,components_down,current_state,duration_prev_state_sec,event,from_state,last_error,open_positions,to_state,ts
"{'public': {'ok': True, 'latency_ms': 370.4, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 336.1, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 435.1, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 452.0, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,1.632,CONNECTIVITY_STATE_CHANGED,IDLE,,,CONNECTED,2026-03-25 19:27:50
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 501.3, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 408.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 416.2, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 343.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 90261}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 108}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,0,,2026-03-25 19:30:16
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 424.7, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 446.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 366.2, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 404.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 335199}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 610}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,8,,2026-03-25 19:37:02
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 440.4, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 454.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 411.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 366.7, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 468830}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 890}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,6,,2026-03-25 19:40:48
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 433.3, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 406.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 376.4, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 420.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 579564}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1126}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:43:56
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 417.0, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 405.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 437.4, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 403.2, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 582592}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1132}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:44:01
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 442.5, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 448.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 382.2, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 402.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 679389}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1348}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:46:48
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 433.1, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 434.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 370.6, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 362.2, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 772096}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1538}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:49:26
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 418.1, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 420.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 300.5, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 358.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 876917}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1754}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:52:25
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 411.2, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 403.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 362.4, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 362.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 984268}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1976}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:55:31
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 1005.7, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 451.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 365.7, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 365.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1091088}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 2198}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-25 19:58:35
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 400.6, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 410.2, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 361.6, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 403.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1210633}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 2481}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-25 20:02:00
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 444.7, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 416.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 371.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 405.7, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1312196}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 2685}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-25 20:04:52
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 408.6, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 435.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 308.6, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 360.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1412244}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 2893}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-25 20:07:41
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 416.3, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 429.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 305.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 358.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1554716}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 3214}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-25 20:11:45
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 532.4, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 436.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 354.7, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 355.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1682223}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 3480}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-25 20:15:24
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 431.0, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 430.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 376.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 364.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1811002}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 3752}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,2026-03-25 20:19:05
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 419.5, 'error_type': '', 'error': '', 'size_hint': 146}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 470.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 362.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 376.7, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1906601}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 3940}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,2026-03-25 20:21:43
