avg_pnl_pct,close_pending_events,entry_candidates,entry_rejections,inst_id,losses,market_risk_score,order_rejected_events,realized_pnl,stop_errors,stop_rejects,trades_count,wins
0.0,0,0,9,1INCH-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.057194,0,2,1,AAVE-USDT-SWAP,0,10.0,0,1.547,5,0,1,1
0.0,0,2,8,ACT-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,1,ADA-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,16,ALGO-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,16,ARB-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,2,2,ASTER-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,11,AUCTION-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,15,AVAX-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,19,BCH-USDT-SWAP,0,0.0,0,0,0,0,0,0
-0.477624,0,2,1,BNB-USDT-SWAP,1,30.0,0,-13.949,12,2,1,0
0.0,0,0,11,BTC-USDT-SWAP,0,0.0,0,0,0,0,0,0
-0.69196,0,2,0,CFX-USDT-SWAP,1,5.0,0,-19.16394,0,2,1,0
0.0,0,0,13,CHZ-USDT-SWAP,0,0.0,0,0,0,0,0,0
-0.304878,2,2,2,COMP-USDT-SWAP,1,9.0,0,-8.8116,3,0,1,0
0.0,0,2,3,CRV-USDT-SWAP,0,39.25,0,0,19,0,0,0
0.0,0,0,19,DOGE-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,15,DOT-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,13,ETC-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,3,ETH-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,19,ETHW-USDT-SWAP,0,0.0,0,0,0,0,0,0
-0.633248,0,2,1,FIL-USDT-SWAP,1,10.5,0,-18.1172,4,1,1,0
0.0,0,2,17,ICP-USDT-SWAP,0,0.0,0,0,0,0,0,0
-0.768511,0,2,1,IMX-USDT-SWAP,1,16.25,0,-43.4774,3,4,1,0
0.0,0,0,20,INJ-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,1,IOTA-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,2,1,JUP-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,22,KAITO-USDT-SWAP,0,0.0,0,0,0,0,0,0
-0.180099,1,2,5,KSM-USDT-SWAP,1,1.5,0,-4.984,0,0,1,0
0.0,0,0,11,LDO-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,21,LINK-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,3,LIT-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,1,LQTY-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,2,LRC-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,15,LTC-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,4,13,MET-USDT-SWAP,0,10.0,0,0.0,5,0,1,0
0.0,0,0,17,NEAR-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,12,OP-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,2,1,QTUM-USDT-SWAP,0,22.25,0,0,11,0,0,0
0.0,0,0,4,SAND-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,16,SOL-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,8,SUI-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.049407,1,2,4,SUSHI-USDT-SWAP,0,1.5,0,1.3521,0,0,1,1
0.0,0,0,7,THETA-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,20,TON-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,10,TSLA-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,20,XAG-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,9,XAU-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,2,XLM-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,7,XRP-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,19,XSR-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,1,XTZ-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,20,YB-USDT-SWAP,0,0.0,0,0,0,0,0,0
0.0,0,0,21,YGG-USDT-SWAP,0,0.0,0,0,0,0,0,0
