cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,long,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0966,False,,False,short,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,AAVE-USDT-SWAP,114.41,False,,False,long,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,AAVE-USDT-SWAP,114.41,False,,False,short,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01365,False,,False,long,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01365,False,,False,short,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0869,False,,False,long,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0869,False,,False,short,5m,2026-03-25 19:28:06
,reentry_check,True,scan,ALGO-USDT-SWAP,0.0869,False,0.0,,scan,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6634,False,,False,long,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6634,False,,False,short,5m,2026-03-25 19:28:06
False,reentry_check,True,ok,BCH-USDT-SWAP,477.3,False,,False,long,5m,2026-03-25 19:28:13
False,reentry_check,True,ok,BCH-USDT-SWAP,477.3,False,,False,short,5m,2026-03-25 19:28:13
False,reentry_check,True,ok,BNB-USDT-SWAP,646.8,False,,False,long,5m,2026-03-25 19:28:17
False,reentry_check,True,ok,BNB-USDT-SWAP,646.8,False,,False,short,5m,2026-03-25 19:28:17
False,reentry_check,True,ok,COMP-USDT-SWAP,19.61,False,,False,long,5m,2026-03-25 19:28:32
False,reentry_check,True,ok,COMP-USDT-SWAP,19.61,False,,False,short,5m,2026-03-25 19:28:32
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2331,False,,False,long,5m,2026-03-25 19:28:34
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2331,False,,False,short,5m,2026-03-25 19:28:34
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.09615,False,,False,long,5m,2026-03-25 19:28:36
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.09615,False,,False,short,5m,2026-03-25 19:28:36
False,reentry_check,True,ok,ETHW-USDT-SWAP,0.2826,False,,False,long,5m,2026-03-25 19:28:45
False,reentry_check,True,ok,ETHW-USDT-SWAP,0.2826,False,,False,short,5m,2026-03-25 19:28:45
False,reentry_check,True,ok,FIL-USDT-SWAP,0.928,False,,False,long,5m,2026-03-25 19:28:46
False,reentry_check,True,ok,FIL-USDT-SWAP,0.928,False,,False,short,5m,2026-03-25 19:28:46
False,reentry_check,True,ok,ICP-USDT-SWAP,2.388,False,,False,long,5m,2026-03-25 19:28:54
False,reentry_check,True,ok,ICP-USDT-SWAP,2.388,False,,False,short,5m,2026-03-25 19:28:54
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1526,False,,False,long,5m,2026-03-25 19:28:55
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1526,False,,False,short,5m,2026-03-25 19:28:55
False,reentry_check,True,ok,INJ-USDT-SWAP,3.08,False,,False,long,5m,2026-03-25 19:28:56
False,reentry_check,True,ok,INJ-USDT-SWAP,3.08,False,,False,short,5m,2026-03-25 19:28:56
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1559,False,,False,long,5m,2026-03-25 19:28:59
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1559,False,,False,short,5m,2026-03-25 19:28:59
False,reentry_check,True,ok,KAITO-USDT-SWAP,0.4065,False,,False,long,5m,2026-03-25 19:29:01
False,reentry_check,True,ok,KAITO-USDT-SWAP,0.4065,False,,False,short,5m,2026-03-25 19:29:01
False,reentry_check,True,ok,KSM-USDT-SWAP,4.419,False,,False,long,5m,2026-03-25 19:29:04
False,reentry_check,True,ok,KSM-USDT-SWAP,4.419,False,,False,short,5m,2026-03-25 19:29:04
False,reentry_check,True,ok,LINK-USDT-SWAP,9.385,False,,False,long,5m,2026-03-25 19:29:08
False,reentry_check,True,ok,LINK-USDT-SWAP,9.385,False,,False,short,5m,2026-03-25 19:29:08
False,reentry_check,True,ok,LIT-USDT-SWAP,0.994,False,,False,long,5m,2026-03-25 19:29:10
False,reentry_check,True,ok,LIT-USDT-SWAP,0.994,False,,False,short,5m,2026-03-25 19:29:10
False,reentry_check,True,ok,LTC-USDT-SWAP,56.05,False,,False,long,5m,2026-03-25 19:29:15
False,reentry_check,True,ok,LTC-USDT-SWAP,56.05,False,,False,short,5m,2026-03-25 19:29:15
False,reentry_check,True,ok,MET-USDT-SWAP,0.1364,False,,False,long,5m,2026-03-25 19:29:21
False,reentry_check,True,ok,MET-USDT-SWAP,0.1364,False,,False,short,5m,2026-03-25 19:29:21
False,reentry_check,True,ok,OP-USDT-SWAP,0.113,False,,False,long,5m,2026-03-25 19:29:30
False,reentry_check,True,ok,OP-USDT-SWAP,0.113,False,,False,short,5m,2026-03-25 19:29:30
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.909,False,,False,long,5m,2026-03-25 19:29:34
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.909,False,,False,short,5m,2026-03-25 19:29:34
False,reentry_check,True,ok,SAND-USDT-SWAP,0.0819,False,,False,long,5m,2026-03-25 19:29:39
False,reentry_check,True,ok,SAND-USDT-SWAP,0.0819,False,,False,short,5m,2026-03-25 19:29:39
False,reentry_check,True,ok,SOL-USDT-SWAP,91.89,False,,False,long,5m,2026-03-25 19:29:44
