details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-25 19:28:06
"{""ts"": ""2026-03-25 19:28:06"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 109, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 109, ""trade_ready_count"": 5, ""scanner_total"": 109, ""scanner_scanned"": 12, ""scanner_ready"": 12, ""scanner_pending"": 97, ""scanner_failed"": 0, ""scanner_allowed"": 9, ""scanner_blocked"": 3, ""scanner_dead"": 3, ""scanner_saw"": 0, ""scanner_ripping"": 0, ""scanner_status_text"": ""SCANNING"", ""scanner_safe"": 9, ""scanner_caution"": 0, ""scanner_risky"": 3, ""scanner_blacklist"": 3, ""scanner_exec_watch"": 0, ""scanner_admitted"": 9, ""signal_funnel"": {""cycle_id"": 1, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-25 19:28:06
SYNC confirmed close after exchange absence,close_pending_exchange,COMP-USDT-SWAP,sync_confirmed_close_after_exchange_absence,2026-03-25 19:37:07
SYNC confirmed close after stop fault: MISSING,close_pending_exchange,SUSHI-USDT-SWAP,sync_confirmed_close_after_stop_fault:_missing,2026-03-25 19:37:07
SYNC confirmed close after stop fault: MISSING,close_pending_exchange,COMP-USDT-SWAP,sync_confirmed_close_after_stop_fault:_missing,2026-03-25 19:40:53
,filter_diagnostics,,unknown,2026-03-25 19:43:22
"{""ts"": ""2026-03-25 19:43:22"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 109, ""blacklist_count"": 2, ""blocked_count"": 2, ""temp_blocked_count"": 3, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 5, ""execution_watchlist_count"": 0, ""open_positions_count"": 6, ""available_after_bans_count"": 104, ""trade_ready_count"": 18, ""scanner_total"": 109, ""scanner_scanned"": 109, ""scanner_ready"": 109, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 64, ""scanner_blocked"": 44, ""scanner_dead"": 18, ""scanner_saw"": 1, ""scanner_ripping"": 25, ""scanner_status_text"": ""READY"", ""scanner_safe"": 64, ""scanner_caution"": 0, ""scanner_risky"": 44, ""scanner_blacklist"": 43, ""scanner_exec_watch"": 25, ""scanner_admitted"": 64, ""signal_funnel"": {""cycle_id"": 4, ""instruments_scanned"": 27, ""prefilter_skipped"": 82, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 26, ""other_rejected"": 0, ""candidates"": 1, ""ranked_candidates"": 1, ""orders_sent"": 1, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 1}}",filter_diagnostics,,,2026-03-25 19:43:22
,filter_diagnostics,,unknown,2026-03-25 19:58:40
"{""ts"": ""2026-03-25 19:58:40"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 109, ""blacklist_count"": 3, ""blocked_count"": 3, ""temp_blocked_count"": 4, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 7, ""execution_watchlist_count"": 0, ""open_positions_count"": 5, ""available_after_bans_count"": 102, ""trade_ready_count"": 13, ""scanner_total"": 109, ""scanner_scanned"": 109, ""scanner_ready"": 109, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 64, ""scanner_blocked"": 45, ""scanner_dead"": 18, ""scanner_saw"": 1, ""scanner_ripping"": 26, ""scanner_status_text"": ""READY"", ""scanner_safe"": 64, ""scanner_caution"": 0, ""scanner_risky"": 45, ""scanner_blacklist"": 44, ""scanner_exec_watch"": 26, ""scanner_admitted"": 64, ""signal_funnel"": {""cycle_id"": 10, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-25 19:58:40
SYNC confirmed close after stop fault: MISSING,close_pending_exchange,KSM-USDT-SWAP,sync_confirmed_close_after_stop_fault:_missing,2026-03-25 20:11:50
