2026-03-25 19:27:47,455 | INFO | root | okx_gateway:refresh_instruments:102 | Loaded 109 swap instruments
2026-03-25 19:31:51,749 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for PIGGY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-25 19:32:48,049 | INFO | root | okx_gateway:place_market_order:486 | Placing order JUP-USDT-SWAP buy qty=1860.0
2026-03-25 19:32:48,853 | INFO | root | okx_gateway:place_market_order:486 | Placing order BNB-USDT-SWAP buy qty=450.0
2026-03-25 19:32:51,586 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop BNB-USDT-SWAP long payload={'instId': 'BNB-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456371586', 'slTriggerPx': '646.5', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:32:52,376 | INFO | root | okx_gateway:place_market_order:486 | Placing order COMP-USDT-SWAP buy qty=1468.6
2026-03-25 19:32:55,054 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456375054', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:32:55,766 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456375766', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:32:56,584 | INFO | root | okx_gateway:place_market_order:486 | Placing order FIL-USDT-SWAP buy qty=30503.0
2026-03-25 19:32:59,172 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456379172', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:32:59,932 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456379932', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:00,715 | INFO | root | okx_gateway:place_market_order:486 | Placing order IMX-USDT-SWAP buy qty=18358.0
2026-03-25 19:33:03,845 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop IMX-USDT-SWAP long payload={'instId': 'IMX-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456383845', 'slTriggerPx': '0.1531', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:04,663 | INFO | root | okx_gateway:place_market_order:486 | Placing order QTUM-USDT-SWAP buy qty=3050.0
2026-03-25 19:33:07,784 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop QTUM-USDT-SWAP long payload={'instId': 'QTUM-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456387784', 'slTriggerPx': '0.908', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:09,006 | INFO | root | okx_gateway:place_market_order:486 | Placing order CFX-USDT-SWAP buy qty=4438.2
2026-03-25 19:33:12,116 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop CFX-USDT-SWAP long payload={'instId': 'CFX-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456392116', 'slTriggerPx': '0.06217', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:12,882 | INFO | root | okx_gateway:place_market_order:486 | Placing order SUSHI-USDT-SWAP buy qty=13521.0
2026-03-25 19:33:16,148 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop SUSHI-USDT-SWAP long payload={'instId': 'SUSHI-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456396148', 'slTriggerPx': '0.2019', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:16,935 | INFO | root | okx_gateway:place_market_order:486 | Placing order AAVE-USDT-SWAP buy qty=234.3
2026-03-25 19:33:20,025 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456400025', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:20,790 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456400790', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:47,962 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456427962', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:48,724 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456428724', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:56,183 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456436183', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:33:56,941 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456436941', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:34:13,052 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop COMP-USDT-SWAP long payload={'instId': 'COMP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456453052', 'slTriggerPx': '19.63', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:34:46,187 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456486187', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:34:46,946 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456486946', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:34:54,389 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456494389', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
