components,components_down,current_state,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'ok': True, 'latency_ms': 367.4, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 301.5, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 399.8, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 312.5, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}",['ws_private'],,1.418,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-26 20:47:57
,['ws_private'],,,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-26 20:47:57,,2026-03-26 20:47:57
"{'public': {'ok': True, 'latency_ms': 359.7, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 425.3, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 396.7, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 312.3, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,7.118,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-26 20:48:04
,[],,,7.387,2026-03-26 20:48:04,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-26 20:47:57,,2026-03-26 20:48:04
,,,,,,CONNECTIVITY_RECOVERY_COMPLETED,,,0,,,,,,2026-03-26 20:48:04
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 413.1, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 313.2, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 364.8, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 362.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 83890}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 165}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,1,,,,,,2026-03-26 20:50:24
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 405.6, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 426.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 365.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 372.2, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 175097}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 365}}",[],CONNECTED,,,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,,,,,2026-03-26 20:53:06
"{'public': {'ok': True, 'latency_ms': 380.8, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 365.0, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 409.3, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 365.8, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}",['ws_private'],,1.578,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-26 20:56:44
,['ws_private'],,,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-26 20:56:44,,2026-03-26 20:56:44
"{'public': {'ok': True, 'latency_ms': 438.8, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 415.7, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 416.5, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 375.3, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,9.297,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-26 20:56:54
