block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1679s; цена отошла только на 0.04 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.10901,True,long,2026-03-27 01:27:34
cooldown после ATR-стопа ещё активен 1434s; цена отошла только на 0.00 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.109,True,long,2026-03-27 01:31:38
cooldown после ATR-стопа ещё активен 1197s; цена отошла только на 0.00 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.109,True,long,2026-03-27 01:35:35
cooldown после ATR-стопа ещё активен 953s; цена отошла только на 0.00 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.109,True,long,2026-03-27 01:39:39
cooldown после ATR-стопа ещё активен 724s; цена отошла только на 0.42 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.1089,True,long,2026-03-27 01:43:28
cooldown после ATR-стопа ещё активен 501s; цена отошла только на 0.42 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.1091,True,long,2026-03-27 01:47:11
cooldown после ATR-стопа ещё активен 44s; цена отошла только на 0.42 ATR,True,OP-USDT-SWAP,Канальный выход 10 свечей,0.0,0.1091,True,long,2026-03-27 01:54:48
cooldown после ATR-стопа ещё активен 1384s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,Канальный выход 20 свечей,0.0,0.2722,True,long,2026-03-27 02:02:47
cooldown после ATR-стопа ещё активен 916s; цена отошла только на 0.54 ATR,True,LQTY-USDT-SWAP,Канальный выход 20 свечей,0.0,0.2725,True,long,2026-03-27 02:10:35
cooldown после ATR-стопа ещё активен 677s; цена отошла только на 0.54 ATR,True,LQTY-USDT-SWAP,Канальный выход 20 свечей,0.0,0.2725,True,long,2026-03-27 02:14:34
cooldown после ATR-стопа ещё активен 443s; цена отошла только на 0.54 ATR,True,LQTY-USDT-SWAP,Канальный выход 20 свечей,0.0,0.2725,True,long,2026-03-27 02:18:28
cooldown после ATR-стопа ещё активен 194s; цена отошла только на 0.36 ATR,True,LQTY-USDT-SWAP,Канальный выход 20 свечей,0.0,0.2724,True,long,2026-03-27 02:22:37
cooldown после ATR-стопа ещё активен 1534s; цена отошла только на 0.00 ATR,True,YGG-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0368,True,long,2026-03-27 06:37:41
cooldown после ATR-стопа ещё активен 1255s; цена отошла только на 0.00 ATR,True,YGG-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0368,True,long,2026-03-27 06:42:21
cooldown после ATR-стопа ещё активен 972s; цена отошла только на 0.00 ATR,True,YGG-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0368,True,long,2026-03-27 06:47:04
cooldown после ATR-стопа ещё активен 690s; цена отошла только на 0.00 ATR,True,YGG-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0368,True,long,2026-03-27 06:51:46
cooldown после ATR-стопа ещё активен 517s; цена отошла только на 0.00 ATR,True,KSM-USDT-SWAP,Канальный выход 20 свечей,0.0,4.302,True,long,2026-03-27 06:55:17
cooldown после ATR-стопа ещё активен 418s; цена отошла только на 0.00 ATR,True,YGG-USDT-SWAP,Канальный выход 10 свечей,0.0,0.0368,True,long,2026-03-27 06:56:17
cooldown после ATR-стопа ещё активен 264s; цена отошла только на 0.00 ATR,True,KSM-USDT-SWAP,Канальный выход 20 свечей,0.0,4.302,True,long,2026-03-27 06:59:30
