cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0914,False,,,,False,,long,5m,2026-03-26 23:16:57
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0914,False,,,,False,,short,5m,2026-03-26 23:16:57
,,,reentry_check,True,scan,1INCH-USDT-SWAP,,,0.0914,False,0.0,,,,,scan,5m,2026-03-26 23:16:57
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0842,False,,,,False,,long,5m,2026-03-26 23:16:57
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0842,False,,,,False,,short,5m,2026-03-26 23:16:57
,,,reentry_check,True,scan,ALGO-USDT-SWAP,,,0.0842,False,0.0,,,,,scan,5m,2026-03-26 23:16:57
False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.445,False,,,,False,,long,5m,2026-03-26 23:17:01
False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.445,False,,,,False,,short,5m,2026-03-26 23:17:01
,,,reentry_check,True,scan,ATOM-USDT-SWAP,,,1.445,False,0.0,,,,,scan,5m,2026-03-26 23:17:01
False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.538,False,,,,False,,long,5m,2026-03-26 23:17:02
False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.538,False,,,,False,,short,5m,2026-03-26 23:17:02
,,,reentry_check,True,scan,AUCTION-USDT-SWAP,,,4.538,False,0.0,,,,,scan,5m,2026-03-26 23:17:02
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68682.0,False,,,,False,,long,5m,2026-03-26 23:17:15
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68682.0,False,,,,False,,short,5m,2026-03-26 23:17:15
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.875,False,,,,False,,long,5m,2026-03-26 23:17:38
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.875,False,,,,False,,short,5m,2026-03-26 23:17:38
,,,reentry_check,True,scan,FIL-USDT-SWAP,,,0.875,False,0.0,,,,,scan,5m,2026-03-26 23:17:38
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.396,False,,,,False,,long,5m,2026-03-26 23:17:54
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.396,False,,,,False,,short,5m,2026-03-26 23:17:54
,,,reentry_check,True,scan,KAITO-USDT-SWAP,,,0.396,False,0.0,,,,,scan,5m,2026-03-26 23:17:54
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.269,False,,,,False,,long,5m,2026-03-26 23:17:55
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.269,False,,,,False,,short,5m,2026-03-26 23:17:55
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.284,False,,,,False,,long,5m,2026-03-26 23:17:57
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.284,False,,,,False,,short,5m,2026-03-26 23:17:57
,,,reentry_check,True,scan,LDO-USDT-SWAP,,,0.284,False,0.0,,,,,scan,5m,2026-03-26 23:17:57
False,,,reentry_check,True,ok,LRC-USDT-SWAP,,,0.02305,False,,,,False,,long,5m,2026-03-26 23:18:04
False,,,reentry_check,True,ok,LRC-USDT-SWAP,,,0.02305,False,,,,False,,short,5m,2026-03-26 23:18:04
False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1345,False,,,,False,,long,5m,2026-03-26 23:18:10
False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1345,False,,,,False,,short,5m,2026-03-26 23:18:10
,,,reentry_check,True,scan,MET-USDT-SWAP,,,0.1345,False,0.0,,,,,scan,5m,2026-03-26 23:18:10
False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.2236,False,,,,False,,long,5m,2026-03-26 23:18:14
False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.2236,False,,,,False,,short,5m,2026-03-26 23:18:14
,,,reentry_check,True,scan,NEAR-USDT-SWAP,,,1.2236,False,0.0,,,,,scan,5m,2026-03-26 23:18:14
False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,3.153,False,,,,False,,long,5m,2026-03-26 23:18:15
False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,3.153,False,,,,False,,short,5m,2026-03-26 23:18:15
False,,,reentry_check,True,ok,QTUM-USDT-SWAP,,,0.837,False,,,,False,,long,5m,2026-03-26 23:18:21
False,,,reentry_check,True,ok,QTUM-USDT-SWAP,,,0.837,False,,,,False,,short,5m,2026-03-26 23:18:21
,,,reentry_check,True,scan,QTUM-USDT-SWAP,,,0.837,False,0.0,,,,,scan,5m,2026-03-26 23:18:21
False,,,reentry_check,True,ok,SUSHI-USDT-SWAP,,,0.1936,False,,,,False,,long,5m,2026-03-26 23:18:37
False,,,reentry_check,True,ok,SUSHI-USDT-SWAP,,,0.1936,False,,,,False,,short,5m,2026-03-26 23:18:37
False,,,reentry_check,True,ok,XTZ-USDT-SWAP,,,0.371,False,,,,False,,long,5m,2026-03-26 23:18:55
False,,,reentry_check,True,ok,XTZ-USDT-SWAP,,,0.371,False,,,,False,,short,5m,2026-03-26 23:18:55
,,,reentry_check,True,scan,XTZ-USDT-SWAP,,,0.371,False,0.0,,,,,scan,5m,2026-03-26 23:18:56
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,106.06,False,,,,False,,long,5m,2026-03-26 23:24:04
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,106.06,False,,,,False,,short,5m,2026-03-26 23:24:04
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0842,False,,,,False,,long,5m,2026-03-26 23:24:04
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0842,False,,,,False,,short,5m,2026-03-26 23:24:04
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.666,False,,,,False,,long,5m,2026-03-26 23:24:06
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.666,False,,,,False,,short,5m,2026-03-26 23:24:06
False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.442,False,,,,False,,long,5m,2026-03-26 23:24:07
False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.442,False,,,,False,,short,5m,2026-03-26 23:24:07
False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.092,False,,,,False,,long,5m,2026-03-26 23:24:34
False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.092,False,,,,False,,short,5m,2026-03-26 23:24:34
False,,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.308,False,,,,False,,long,5m,2026-03-26 23:24:35
False,,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.308,False,,,,False,,short,5m,2026-03-26 23:24:35
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.875,False,,,,False,,long,5m,2026-03-26 23:24:46
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.875,False,,,,False,,short,5m,2026-03-26 23:24:46
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.269,False,,,,False,,long,5m,2026-03-26 23:25:03
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.269,False,,,,False,,short,5m,2026-03-26 23:25:03
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.284,False,,,,False,,long,5m,2026-03-26 23:25:04
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.284,False,,,,False,,short,5m,2026-03-26 23:25:04
False,,,reentry_check,True,ok,LRC-USDT-SWAP,,,0.02305,False,,,,False,,long,5m,2026-03-26 23:25:11
False,,,reentry_check,True,ok,LRC-USDT-SWAP,,,0.02305,False,,,,False,,short,5m,2026-03-26 23:25:11
False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1381,False,,,,False,,long,5m,2026-03-26 23:25:18
False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1381,False,,,,False,,short,5m,2026-03-26 23:25:18
False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.2289,False,,,,False,,long,5m,2026-03-26 23:25:21
False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.2289,False,,,,False,,short,5m,2026-03-26 23:25:21
False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,3.153,False,,,,False,,long,5m,2026-03-26 23:25:23
False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,3.153,False,,,,False,,short,5m,2026-03-26 23:25:23
False,,,reentry_check,True,ok,OP-USDT-SWAP,,,0.10854,False,,,,False,,long,5m,2026-03-26 23:25:25
False,,,reentry_check,True,ok,OP-USDT-SWAP,,,0.10854,False,,,,False,,short,5m,2026-03-26 23:25:25
False,,,reentry_check,True,ok,QTUM-USDT-SWAP,,,0.837,False,,,,False,,long,5m,2026-03-26 23:25:29
False,,,reentry_check,True,ok,QTUM-USDT-SWAP,,,0.837,False,,,,False,,short,5m,2026-03-26 23:25:29
False,,,reentry_check,True,ok,ROBO-USDT-SWAP,,,0.02481,False,,,,False,,long,5m,2026-03-26 23:25:34
False,,,reentry_check,True,ok,ROBO-USDT-SWAP,,,0.02481,False,,,,False,,short,5m,2026-03-26 23:25:34
False,,,reentry_check,True,ok,XTZ-USDT-SWAP,,,0.3716,False,,,,False,,long,5m,2026-03-26 23:26:00
False,,,reentry_check,True,ok,XTZ-USDT-SWAP,,,0.3716,False,,,,False,,short,5m,2026-03-26 23:26:00
,,,reentry_check,True,scan,XTZ-USDT-SWAP,,,0.3716,False,0.0,,,,,scan,5m,2026-03-26 23:26:00
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.58,False,,,,False,,long,5m,2026-03-26 23:30:52
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.58,False,,,,False,,short,5m,2026-03-26 23:30:52
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0842,False,,,,False,,long,5m,2026-03-26 23:30:52
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0842,False,,,,False,,short,5m,2026-03-26 23:30:52
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6662,False,,,,False,,long,5m,2026-03-26 23:30:55
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6662,False,,,,False,,short,5m,2026-03-26 23:30:55
False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.442,False,,,,False,,long,5m,2026-03-26 23:30:57
False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.442,False,,,,False,,short,5m,2026-03-26 23:30:57
False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.536,False,,,,False,,long,5m,2026-03-26 23:30:58
