early_exit_flag,exit_reason,hybrid_stop_mode,inst_id,realized_r,retained_r_share,side,system_name,trade_id,trend_hold_state,trend_move_r,units
False,канальный_выход_10_свечей,DONCHIAN_ACTIVE,ETC-USDT-SWAP,-1.30398,-1.08665,short,Turtle 20,20260327_040802_ETC-USDT-SWAP_short,TREND_HOLD,1.2,4
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,XLM-USDT-SWAP,-0.152253,-0.357209,short,Turtle 20,20260327_061333_XLM-USDT-SWAP_short,TREND_ACTIVE,0.42623,2
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,MINA-USDT-SWAP,-1.200647,-7.718423,long,Turtle 20,20260327_042155_MINA-USDT-SWAP_long,INITIAL_RISK,0.155556,1
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,IMX-USDT-SWAP,-0.360364,-0.978131,long,Turtle 55,20260327_061827_IMX-USDT-SWAP_long,TREND_ACTIVE,0.368421,4
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,LDO-USDT-SWAP,-0.561231,-1.275525,short,Turtle 20,20260327_061830_LDO-USDT-SWAP_short,TREND_ACTIVE,0.44,2
False,канальный_выход_20_свечей,DONCHIAN_ACTIVE,KSM-USDT-SWAP,0.080323,0.107097,long,Turtle 55,20260327_042150_KSM-USDT-SWAP_long,TREND_ACTIVE,0.75,4
False,канальный_выход_10_свечей,DONCHIAN_ACTIVE,YGG-USDT-SWAP,0.558188,0.693506,long,Turtle 20,20260327_014759_YGG-USDT-SWAP_long,TREND_ACTIVE,0.804878,4
False,rotation_block,ATR_INITIAL,LINK-USDT-SWAP,-0.474518,-1.948019,long,Turtle 55,20260327_053933_LINK-USDT-SWAP_long,INITIAL_RISK,0.24359,1
False,sync_confirmed_close_after_stop_fault:_pending_recheck,DONCHIAN_ACTIVE,NEO-USDT-SWAP,-19.913111,-25.602202,short,Turtle 20,20260327_042414_NEO-USDT-SWAP_short,TREND_ACTIVE,0.777789,1
False,канальный_выход_10_свечей,DONCHIAN_ACTIVE,CFX-USDT-SWAP,-0.091655,-0.099293,long,Turtle 20,20260327_041717_CFX-USDT-SWAP_long,TREND_ACTIVE,0.923077,4
