2026-03-27 00:24:07,913 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CATI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 00:29:31,345 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SUSHI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 00:29:38,922 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XAG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 00:59:27,459 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:07:14,497 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for PIGGY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:27:41,770 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ROBO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:31:21,398 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:34:18,888 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ASTER-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:36:04,512 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for TSLA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:50:27,090 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for H-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 01:59:42,760 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
