details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-28 17:10:32
"{""ts"": ""2026-03-28 17:10:32"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 108, ""trade_ready_count"": 3, ""scanner_total"": 108, ""scanner_scanned"": 10, ""scanner_ready"": 10, ""scanner_pending"": 98, ""scanner_failed"": 0, ""scanner_allowed"": 4, ""scanner_blocked"": 6, ""scanner_dead"": 1, ""scanner_saw"": 0, ""scanner_ripping"": 5, ""scanner_status_text"": ""SCANNING"", ""scanner_safe"": 4, ""scanner_caution"": 0, ""scanner_risky"": 6, ""scanner_blacklist"": 6, ""scanner_exec_watch"": 5, ""scanner_admitted"": 4, ""signal_funnel"": {""cycle_id"": 2, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 17:10:32
,filter_diagnostics,,unknown,2026-03-28 17:26:37
"{""ts"": ""2026-03-28 17:26:37"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 1, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 107, ""trade_ready_count"": 13, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 47, ""scanner_blocked"": 61, ""scanner_dead"": 16, ""scanner_saw"": 0, ""scanner_ripping"": 45, ""scanner_status_text"": ""READY"", ""scanner_safe"": 47, ""scanner_caution"": 0, ""scanner_risky"": 61, ""scanner_blacklist"": 61, ""scanner_exec_watch"": 45, ""scanner_admitted"": 47, ""signal_funnel"": {""cycle_id"": 9, ""instruments_scanned"": 23, ""prefilter_skipped"": 85, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 24, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 17:26:37
,filter_diagnostics,,unknown,2026-03-28 17:41:59
"{""ts"": ""2026-03-28 17:41:59"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 1, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 107, ""trade_ready_count"": 14, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 2, ""scanner_allowed"": 43, ""scanner_blocked"": 63, ""scanner_dead"": 15, ""scanner_saw"": 0, ""scanner_ripping"": 48, ""scanner_status_text"": ""READY"", ""scanner_safe"": 43, ""scanner_caution"": 0, ""scanner_risky"": 63, ""scanner_blacklist"": 63, ""scanner_exec_watch"": 48, ""scanner_admitted"": 43, ""signal_funnel"": {""cycle_id"": 16, ""instruments_scanned"": 18, ""prefilter_skipped"": 90, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 18, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 17:41:59
,filter_diagnostics,,unknown,2026-03-28 17:57:19
"{""ts"": ""2026-03-28 17:57:19"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 1, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 107, ""trade_ready_count"": 15, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 49, ""scanner_blocked"": 58, ""scanner_dead"": 15, ""scanner_saw"": 0, ""scanner_ripping"": 43, ""scanner_status_text"": ""READY"", ""scanner_safe"": 49, ""scanner_caution"": 0, ""scanner_risky"": 58, ""scanner_blacklist"": 58, ""scanner_exec_watch"": 43, ""scanner_admitted"": 49, ""signal_funnel"": {""cycle_id"": 22, ""instruments_scanned"": 21, ""prefilter_skipped"": 87, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 22, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 17:57:19
,filter_diagnostics,,unknown,2026-03-28 18:13:12
"{""ts"": ""2026-03-28 18:13:12"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 2, ""blocked_count"": 2, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 2, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 106, ""trade_ready_count"": 18, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 45, ""scanner_blocked"": 62, ""scanner_dead"": 15, ""scanner_saw"": 0, ""scanner_ripping"": 47, ""scanner_status_text"": ""READY"", ""scanner_safe"": 45, ""scanner_caution"": 0, ""scanner_risky"": 62, ""scanner_blacklist"": 62, ""scanner_exec_watch"": 47, ""scanner_admitted"": 45, ""signal_funnel"": {""cycle_id"": 30, ""instruments_scanned"": 20, ""prefilter_skipped"": 88, ""warmup_rejected"": 1, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 19, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 18:13:12
