breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,98.12,False,,,,False,,long,5m,2026-03-28 20:33:25
,False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,98.12,False,,,,False,,short,5m,2026-03-28 20:33:25
,False,,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01224,False,,,,False,,long,5m,2026-03-28 20:33:25
,False,,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01224,False,,,,False,,short,5m,2026-03-28 20:33:25
,False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0919,False,,,,False,,long,5m,2026-03-28 20:33:25
,False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0919,False,,,,False,,short,5m,2026-03-28 20:33:25
,False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.459,False,,,,False,,long,5m,2026-03-28 20:33:29
,False,,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.459,False,,,,False,,short,5m,2026-03-28 20:33:29
,False,,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.05714,False,,,,False,,long,5m,2026-03-28 20:33:43
,False,,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.05714,False,,,,False,,short,5m,2026-03-28 20:33:43
,False,,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03936,False,,,,False,,long,5m,2026-03-28 20:33:45
,False,,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03936,False,,,,False,,short,5m,2026-03-28 20:33:45
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.53,False,,,,False,,long,5m,2026-03-28 20:33:47
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.53,False,,,,False,,short,5m,2026-03-28 20:33:47
,,,,reentry_check,True,scan,COMP-USDT-SWAP,,,18.53,False,0.0,,,,,scan,5m,2026-03-28 20:33:47
,False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0927,False,,,,False,,long,5m,2026-03-28 20:33:50
,False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0927,False,,,,False,,short,5m,2026-03-28 20:33:50
,,,,reentry_check,True,scan,DOGE-USDT-SWAP,,,0.0927,False,0.0,,,,,scan,5m,2026-03-28 20:33:50
