2026-03-28 17:16:30,289 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BNB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:17:05,746 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for NEAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:19:19,139 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SUSHI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:19:26,015 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XAU-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:22:21,754 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:31:06,445 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for JUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:41:16,724 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for RAVE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:41:22,660 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SHIB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:48:26,466 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:51:37,211 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for NEAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 17:55:38,566 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ATOM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 18:02:03,262 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 18:11:43,134 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ATOM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 18:49:25,229 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for JUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:09:10,928 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for H-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:10:28,856 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YGG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:12:59,537 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BOME-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:14:48,785 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XRP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:28:12,517 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AVAX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:35:28,268 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SUI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:38:59,966 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MAJOR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:40:41,501 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CATI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 19:41:18,362 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for IOTA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:03:23,424 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CELO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:07:29,261 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BLUAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:10:39,013 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:12:27,650 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AVAX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:12:38,559 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CATI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:17:47,335 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:18:45,453 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SOL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:50:38,418 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MASK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:56:10,209 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YGG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:57:06,413 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AVAX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:04:03,460 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for STRK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:12:01,166 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ADA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:17:31,214 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ARB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:24:20,425 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:44:10,660 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:45:03,715 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZETA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:58:56,267 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:59:21,140 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:13:41,386 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MINA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:29:21,017 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SKY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:35:54,703 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XAG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:48:55,811 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETHW-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:53:01,260 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MAGIC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:55:40,078 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for COMP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 23:04:02,068 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XPL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 23:06:07,312 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 23:24:56,908 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for PEPE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:02:47,945 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SOL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:15:24,391 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:30:41,210 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZIL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:32:33,270 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:48:39,044 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BTC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:48:52,780 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AAVE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:53:32,034 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for IOTA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:01:28,814 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LRC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:13:19,288 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HMSTR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:14:22,725 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XSR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:17:44,732 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for OP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
