components,components_down,current_state,duration_prev_state_sec,event,from_state,last_error,open_positions,to_state,ts
"{'public': {'ok': True, 'latency_ms': 362.8, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 363.4, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 410.8, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 372.0, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],,1.546,CONNECTIVITY_STATE_CHANGED,IDLE,,,CONNECTED,2026-03-29 13:04:33
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 414.0, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 366.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 363.0, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 361.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 88728}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 125}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,2026-03-29 13:07:09
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 420.9, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 378.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 359.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 360.6, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 178208}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 330}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,2,,2026-03-29 13:09:47
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 414.4, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 358.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 458.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 651.4, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 266798}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 529}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,3,,2026-03-29 13:12:23
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 418.7, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 365.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 360.6, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 355.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 368228}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 788}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-29 13:15:23
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 411.9, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 356.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 408.9, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 358.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 475541}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1026}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,4,,2026-03-29 13:18:33
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 422.1, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 360.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 376.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 369.0, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 571029}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1232}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-29 13:21:22
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 415.6, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 421.3, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 419.0, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 367.9, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 674080}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1469}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-29 13:24:23
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 408.8, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 354.8, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 355.2, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 369.5, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 770185}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1675}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-29 13:27:13
"{'public': {'name': 'public', 'ok': True, 'latency_ms': 524.0, 'error_type': '', 'error': '', 'size_hint': 147}, 'private': {'name': 'private', 'ok': True, 'latency_ms': 421.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'trade': {'name': 'trade', 'ok': True, 'latency_ms': 431.1, 'error_type': '', 'error': '', 'size_hint': 0}, 'market_data': {'name': 'market_data', 'ok': True, 'latency_ms': 379.1, 'error_type': '', 'error': '', 'size_hint': 1}, 'ws_public': {'name': 'ws_public', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 870714}, 'ws_private': {'name': 'ws_private', 'ok': True, 'latency_ms': 0.0, 'error_type': '', 'error': '', 'size_hint': 1899}}",[],CONNECTED,,CONNECTIVITY_HEARTBEAT_SUMMARY,,,5,,2026-03-29 13:30:10
