2026-03-29 14:13:34,665 | INFO | root | okx_gateway:refresh_instruments:141 | Loaded 108 swap instruments
2026-03-29 14:14:07,647 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for DOT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:23:31,838 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to LQTY-USDT-SWAP (isolated)
2026-03-29 14:23:32,217 | INFO | root | okx_gateway:place_market_order:639 | Placing order LQTY-USDT-SWAP buy qty=10565.0 attached_stop=True attached_stop_px=0.2656
2026-03-29 14:23:34,140 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to THETA-USDT-SWAP (isolated)
2026-03-29 14:23:34,506 | INFO | root | okx_gateway:place_market_order:639 | Placing order THETA-USDT-SWAP buy qty=1869.0 attached_stop=True attached_stop_px=0.1499
2026-03-29 14:27:50,606 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for AXS-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:31:34,115 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop LQTY-USDT-SWAP algo=3431981250939019264 payload=[{'instId': 'LQTY-USDT-SWAP', 'algoId': '3431981250939019264', 'newSlTriggerPx': '0.2688', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 14:31:39,807 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop LQTY-USDT-SWAP long payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP783899807', 'slTriggerPx': '0.2688', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 14:31:43,790 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop THETA-USDT-SWAP algo=3431981325496967168 payload=[{'instId': 'THETA-USDT-SWAP', 'algoId': '3431981325496967168', 'newSlTriggerPx': '0.1509', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 14:31:49,851 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop THETA-USDT-SWAP long payload={'instId': 'THETA-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP783909851', 'slTriggerPx': '0.1509', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 14:37:46,067 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for FLOKI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:38:55,072 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for BNB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:48:21,758 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for BLUAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:49:38,778 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for A-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:53:46,368 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for LQTY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:54:14,942 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for FIL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:55:21,894 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for ASP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 14:55:44,087 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for ASTER-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:56:06,282 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for ATOM-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:56:28,474 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for AUCTION-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:56:50,667 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for AVAX-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:57:12,858 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for AXS-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:57:35,050 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for BAND-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:57:57,245 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for BCH-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:58:19,440 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for BIO-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:58:41,632 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for BLUAI-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:58:52,732 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for BNB-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:59:03,831 | ERROR | root | market_data_cache:_run:146 | Market-data worker fetch failed for BOME-USDT-SWAP: [Errno 11001] getaddrinfo failed
2026-03-29 14:59:13,408 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop LQTY-USDT-SWAP algo=3431997607684431872 payload=[{'instId': 'LQTY-USDT-SWAP', 'algoId': '3431997607684431872', 'newSlTriggerPx': '0.2689', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 14:59:19,116 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop LQTY-USDT-SWAP long payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP785559116', 'slTriggerPx': '0.2689', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:00:10,178 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
