action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
position_opened,LIT-USDT-SWAP,0.0,0.846,335.0,,,short,True,2026-03-29 16:15:33,20260329_161532_LIT-USDT-SWAP_short
OPEN,LIT-USDT-SWAP,0.0,0.846,335.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 16:15:33,20260329_161532_LIT-USDT-SWAP_short
position_opened,INJ-USDT-SWAP,0.0,2.791,10111.0,,,short,True,2026-03-29 16:15:34,20260329_161534_INJ-USDT-SWAP_short
OPEN,INJ-USDT-SWAP,0.0,2.791,10111.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 16:15:34,20260329_161534_INJ-USDT-SWAP_short
position_opened,MAGIC-USDT-SWAP,0.0,0.05579,50228.0,,,short,True,2026-03-29 16:15:36,20260329_161536_MAGIC-USDT-SWAP_short
OPEN,MAGIC-USDT-SWAP,0.0,0.05579,50228.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 16:15:36,20260329_161536_MAGIC-USDT-SWAP_short
position_closed,MAGIC-USDT-SWAP,0.0,0.0,50228.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 16:29:27,20260329_161536_MAGIC-USDT-SWAP_short
CLOSE,MAGIC-USDT-SWAP,0.0,0.05616,50228.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 16:29:27,20260329_161536_MAGIC-USDT-SWAP_short
close_pending_exchange,LIT-USDT-SWAP,0.0,0.851,335.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 16:32:11,20260329_161532_LIT-USDT-SWAP_short
position_closed,LIT-USDT-SWAP,0.0,0.0,335.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 16:32:14,20260329_161532_LIT-USDT-SWAP_short
CLOSE,LIT-USDT-SWAP,0.0,0.854,335.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 16:32:14,20260329_161532_LIT-USDT-SWAP_short
position_opened,THETA-USDT-SWAP,0.0,0.1495,1886.0,,,short,True,2026-03-29 17:06:41,20260329_170641_THETA-USDT-SWAP_short
OPEN,THETA-USDT-SWAP,0.0,0.1495,1886.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 17:06:41,20260329_170641_THETA-USDT-SWAP_short
close_pending_exchange,THETA-USDT-SWAP,0.0,0.1495,1886.0,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 17:06:44,20260329_170641_THETA-USDT-SWAP_short
position_opened,LTC-USDT-SWAP,0.0,53.54,51.9,,,short,True,2026-03-29 17:08:36,20260329_170836_LTC-USDT-SWAP_short
OPEN,LTC-USDT-SWAP,0.0,53.54,51.9,,Первичный вход + bootstrap-stop,short,True,2026-03-29 17:08:36,20260329_170836_LTC-USDT-SWAP_short
close_pending_exchange,LTC-USDT-SWAP,0.0,53.54,51.9,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 17:08:39,20260329_170836_LTC-USDT-SWAP_short
position_opened,ATOM-USDT-SWAP,0.0,1.636,1687.0,,,short,True,2026-03-29 17:10:27,20260329_171027_ATOM-USDT-SWAP_short
OPEN,ATOM-USDT-SWAP,0.0,1.636,1687.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 17:10:27,20260329_171027_ATOM-USDT-SWAP_short
close_pending_exchange,ATOM-USDT-SWAP,0.0,1.636,1687.0,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 17:10:30,20260329_171027_ATOM-USDT-SWAP_short
position_opened,MET-USDT-SWAP,0.0,0.135,2059.0,,,short,True,2026-03-29 17:12:44,20260329_171243_MET-USDT-SWAP_short
OPEN,MET-USDT-SWAP,0.0,0.135,2059.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 17:12:44,20260329_171243_MET-USDT-SWAP_short
close_pending_exchange,INJ-USDT-SWAP,0.0,2.789,20222.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 17:12:47,20260329_161534_INJ-USDT-SWAP_short
close_pending_exchange,MET-USDT-SWAP,0.0,0.135,2059.0,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 17:12:47,20260329_171243_MET-USDT-SWAP_short
position_closed,INJ-USDT-SWAP,0.0,0.0,20222.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:12:56,20260329_161534_INJ-USDT-SWAP_short
CLOSE,INJ-USDT-SWAP,0.0,2.801,20222.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:12:56,20260329_161534_INJ-USDT-SWAP_short
position_opened,MAGIC-USDT-SWAP,0.0,0.05605,49265.0,,,short,True,2026-03-29 17:15:35,20260329_171535_MAGIC-USDT-SWAP_short
OPEN,MAGIC-USDT-SWAP,0.0,0.05605,49265.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 17:15:35,20260329_171535_MAGIC-USDT-SWAP_short
close_pending_exchange,MAGIC-USDT-SWAP,0.0,0.05605,49265.0,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 17:15:38,20260329_171535_MAGIC-USDT-SWAP_short
position_opened,COMP-USDT-SWAP,0.0,17.96,1505.1,,,short,True,2026-03-29 17:33:08,20260329_173308_COMP-USDT-SWAP_short
OPEN,COMP-USDT-SWAP,0.0,17.96,1505.1,,Первичный вход + bootstrap-stop,short,True,2026-03-29 17:33:08,20260329_173308_COMP-USDT-SWAP_short
close_pending_exchange,COMP-USDT-SWAP,0.0,17.96,1505.1,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 17:33:11,20260329_173308_COMP-USDT-SWAP_short
