duration_sec,early_exit_flag,early_exit_gap_pct,entry_quality,entry_type,exit_efficiency,exit_reason,inst_id,last_stop_move_reason,mae_pct,mae_r,market_risk_score,mfe_pct,mfe_r,pyramid_effect_label,pyramid_effect_score,realized_pnl,realized_pnl_pct,side,stop_efficiency,stop_errors_for_symbol,stop_move_count,stop_rejects_for_symbol,trade_id,trend_capture_ratio,trend_strength_r,unit_add_count,units
927,False,0.331283,weak,Turtle 20,0.0,синхронизация:_позиция_отсутствует_на_бирже,LINK-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,0.627071,0.929825,9.25,0.331283,0.491228,no_pyramid,-1.123994,-6.320730000000043,-1.1239943208708074,long,-1.635711,2,1,0,20260329_192303_LINK-USDT-SWAP_long,-3.392852,0.491228,0,1
1528,False,0.870532,normal,Turtle 20,-10.0,sync_confirmed_close_after_stop_fault:_pending_recheck,IOTA-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,0.481571,0.928571,5.25,0.870532,1.678571,no_pyramid,-0.926097,-5.104000000000147,-0.9260974254491837,long,-0.238297,0,3,0,20260329_191016_IOTA-USDT-SWAP_long,-1.063829,1.678571,0,1
1057,False,0.065423,weak,Turtle 20,0.170732,sync_confirmed_close_after_stop_fault:_pending_recheck,ETHFI-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.602879,1.651685,6.5,0.447061,0.460674,helped,0.127213,4.1796999999995395,0.3816377712353739,long,0.912195,0,2,0,20260329_190720_ETHFI-USDT-SWAP_long,0.853659,0.460674,2,3
2956,False,0.0,weak,Turtle 20,0.605185,синхронизация:_позиция_отсутствует_на_бирже,LQTY-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.681853,1.096419,10.75,0.536684,0.34987,helped,0.301099,26.32626999999615,1.204394150988561,long,1.746484,2,6,0,20260329_183353_LQTY-USDT-SWAP_long,2.24414,0.34987,3,4
2823,False,0.12162,weak,Turtle 55,-3.857143,синхронизация:_позиция_отсутствует_на_бирже,LTC-USDT-SWAP,STOP_STRATEGY_RECALC,0.851343,0.850467,12.0,0.12162,0.121495,hurt,-0.63149,-13.904999999999795,-1.262980634296922,short,-5.830788,2,4,0,20260329_183349_LTC-USDT-SWAP_short,-10.384646,0.121495,1,2
2211,False,0.095159,weak,Turtle 55,-4.5,синхронизация:_позиция_отсутствует_на_бирже,LINK-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.046747,0.709677,9.25,0.095159,0.064516,no_pyramid,-1.070536,-5.942880000000225,-1.0705364577138503,short,-6.349986,2,2,0,20260329_183347_LINK-USDT-SWAP_short,-11.249976,0.064516,0,1
2373,False,0.061357,weak,Turtle 55,0.0,синхронизация:_позиция_отсутствует_на_бирже,SOL-USDT-SWAP,STOP_STRATEGY_RECALC,1.178059,0.70073,5.5,0.061357,0.036496,no_pyramid,-2.024788,-11.40149999999994,-2.0247883175849695,short,-19.400071,1,2,0,20260329_183054_SOL-USDT-SWAP_short,-33.000119,0.036496,0,1
6454,False,0.293757,weak,Turtle 55,-1.973034,синхронизация:_позиция_отсутствует_на_бирже,MET-USDT-SWAP,STOP_STRATEGY_RECALC,1.567823,0.404476,8.25,0.293757,0.075785,hurt,-0.470515,-41.63299999998156,-1.8820586239576746,short,-3.444113,1,7,0,20260329_171243_MET-USDT-SWAP_short,-6.406855,0.075785,3,4
1410,False,0.375816,weak,Turtle 20,-2.896683,синхронизация:_позиция_отсутствует_на_бирже,NEAR-USDT-SWAP,STOP_STRATEGY_RECALC,0.619042,0.922638,4.0,0.375816,0.560127,hurt,-0.233119,-20.410899999997568,-0.932474644135331,short,-1.08872,1,2,0,20260329_183351_NEAR-USDT-SWAP_short,-2.4812,0.560127,3,4
1555,False,0.057067,weak,Turtle 20,0.0,синхронизация:_позиция_отсутствует_на_бирже,XTZ-USDT-SWAP,STOP_STRATEGY_RECALC,1.086982,1.275343,3.75,0.057067,0.066955,hurt,-1.104054,-24.689599999995426,-2.208107278153565,short,-22.815946,1,1,0,20260329_183056_XTZ-USDT-SWAP_short,-38.693243,0.066955,1,2
