early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,0.331283,LINK-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,0.627071,9.25,0.331283,-1.1239943208708074,long,1,20260329_192303_LINK-USDT-SWAP_long,0
False,0.870532,IOTA-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,0.481571,5.25,0.870532,-0.9260974254491837,long,3,20260329_191016_IOTA-USDT-SWAP_long,0
False,0.065423,ETHFI-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.602879,6.5,0.447061,0.3816377712353739,long,2,20260329_190720_ETHFI-USDT-SWAP_long,2
False,0.0,LQTY-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.681853,10.75,0.536684,1.204394150988561,long,6,20260329_183353_LQTY-USDT-SWAP_long,3
False,0.12162,LTC-USDT-SWAP,STOP_STRATEGY_RECALC,0.851343,12.0,0.12162,-1.262980634296922,short,4,20260329_183349_LTC-USDT-SWAP_short,1
False,0.095159,LINK-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.046747,9.25,0.095159,-1.0705364577138503,short,2,20260329_183347_LINK-USDT-SWAP_short,0
False,0.061357,SOL-USDT-SWAP,STOP_STRATEGY_RECALC,1.178059,5.5,0.061357,-2.0247883175849695,short,2,20260329_183054_SOL-USDT-SWAP_short,0
False,0.293757,MET-USDT-SWAP,STOP_STRATEGY_RECALC,1.567823,8.25,0.293757,-1.8820586239576746,short,7,20260329_171243_MET-USDT-SWAP_short,3
False,0.375816,NEAR-USDT-SWAP,STOP_STRATEGY_RECALC,0.619042,4.0,0.375816,-0.932474644135331,short,2,20260329_183351_NEAR-USDT-SWAP_short,3
False,0.057067,XTZ-USDT-SWAP,STOP_STRATEGY_RECALC,1.086982,3.75,0.057067,-2.208107278153565,short,1,20260329_183056_XTZ-USDT-SWAP_short,1
False,0.599201,THETA-USDT-SWAP,STOP_STRATEGY_RECALC,0.599201,10.5,0.599201,-0.3328894806923735,long,1,20260329_180654_THETA-USDT-SWAP_long,0
False,0.223048,LQTY-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.152416,10.75,0.223048,-1.4869888475836854,long,3,20260329_173557_LQTY-USDT-SWAP_long,0
False,0.008125,ATOM-USDT-SWAP,STOP_STRATEGY_RECALC,1.032182,5.5,0.008125,-2.407154428605458,short,2,20260329_171027_ATOM-USDT-SWAP_short,0
False,0.056012,LTC-USDT-SWAP,STOP_STRATEGY_RECALC,0.709485,12.0,0.056012,-0.8401792382374562,short,4,20260329_170836_LTC-USDT-SWAP_short,0
False,0.250057,AUCTION-USDT-SWAP,atr_update,0.795635,5.0,0.250057,-1.3639463514435615,long,2,20260329_174127_AUCTION-USDT-SWAP_long,0
False,0.0,THETA-USDT-SWAP,STOP_STRATEGY_RECALC,1.339585,10.5,0.0,-2.679169457468262,short,3,20260329_170641_THETA-USDT-SWAP_short,0
False,0.055679,COMP-USDT-SWAP,STOP_STRATEGY_RECALC,1.224944,5.25,0.055679,-1.113585746102426,short,1,20260329_173308_COMP-USDT-SWAP_short,0
False,0.240541,MAGIC-USDT-SWAP,manage_cycle_reconcile,1.172584,9.25,0.240541,-1.5698807175979317,short,2,20260329_171535_MAGIC-USDT-SWAP_short,2
False,0.017924,INJ-USDT-SWAP,STOP_HEALTH_SOFT_MISSING,1.093386,4.0,0.017924,-2.0613013084782734,short,2,20260329_161534_INJ-USDT-SWAP_short,1
False,0.102816,LIT-USDT-SWAP,manage_cycle_reconcile,1.554247,5.25,0.102816,-5.404001681794524,short,1,20260329_161532_LIT-USDT-SWAP_short,0
False,0.0,MAGIC-USDT-SWAP,manage_cycle_reconcile,1.989604,9.25,0.0,-3.316006452769334,short,1,20260329_161536_MAGIC-USDT-SWAP_short,0
