2026-03-29 16:17:19,546 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for QTUM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 16:36:03,962 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BRETT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 16:39:27,165 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for H-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 16:41:05,146 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AAVE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 16:43:57,173 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ALGO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 17:06:19,943 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SUI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 17:07:16,965 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CHZ-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 17:29:29,830 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CHZ-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 17:46:11,376 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XPL-USDT-SWAP: The read operation timed out
2026-03-29 17:46:21,396 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XRP-USDT-SWAP: timed out
2026-03-29 17:46:31,404 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XSR-USDT-SWAP: timed out
2026-03-29 17:46:41,422 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XTZ-USDT-SWAP: timed out
2026-03-29 18:16:40,132 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ROBO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 18:21:04,740 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 18:41:18,362 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XPL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 18:48:40,932 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BTC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:01:48,175 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for IMX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:04:28,624 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XRP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:10:00,940 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for TRIA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:23:52,544 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for COAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:26:13,873 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MASK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:31:32,548 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETHW-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:37:09,672 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for JUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:38:47,117 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ASP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:40:32,025 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SPK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:42:01,813 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for FLOKI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 19:52:46,740 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MASK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
