block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
reentry cooldown active 616s,True,XLM-USDT-SWAP,,0.0,0.16361,False,short,2026-03-30 02:00:09
same-price reentry blocked 5354s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:04:50
same-price reentry blocked 5266s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:06:19
same-price reentry blocked 5393s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:06:19
same-price reentry blocked 5169s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:07:56
same-price reentry blocked 5296s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:07:56
same-price reentry blocked 5132s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:08:33
same-price reentry blocked 5258s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:08:33
same-price reentry blocked 5101s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:09:04
same-price reentry blocked 5228s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:09:04
same-price reentry blocked 5065s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:09:40
same-price reentry blocked 5192s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:09:40
same-price reentry blocked 5037s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:10:08
same-price reentry blocked 5164s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:10:08
same-price reentry blocked 4995s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:10:50
same-price reentry blocked 5122s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:10:50
same-price reentry blocked 4953s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:11:32
same-price reentry blocked 5079s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:11:32
same-price reentry blocked 4921s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:12:04
same-price reentry blocked 5048s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:12:04
same-price reentry blocked 4882s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:12:43
same-price reentry blocked 5009s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:12:43
same-price reentry blocked 4836s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:13:28
same-price reentry blocked 4963s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:13:28
same-price reentry blocked 4803s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:14:02
same-price reentry blocked 4929s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:14:02
same-price reentry blocked 4760s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:14:45
same-price reentry blocked 4887s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:14:45
same-price reentry blocked 4719s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:15:26
same-price reentry blocked 4845s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:15:26
same-price reentry blocked 4687s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:15:58
same-price reentry blocked 4814s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:15:58
same-price reentry blocked 4650s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:16:34
same-price reentry blocked 4777s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:16:34
same-price reentry blocked 4621s (0.00 ATR),True,GMT-USDT-SWAP,,0.0,0.00656,False,short,2026-03-30 02:17:04
