inst_id,pyramid_restored,restored_fields,side,stop_restored,system_name,timestamp,trade_id,units_restored
AUCTION-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 01:01:25,20260329_233048_AUCTION-USDT-SWAP_long,2
PEPE-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 01:01:25,20260329_233012_PEPE-USDT-SWAP_long,2
CRV-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 01:02:11,20260330_010121_CRV-USDT-SWAP_long,2
LDO-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 01:31:39,20260329_233013_LDO-USDT-SWAP_long,2
HBAR-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 20,2026-03-30 02:02:03,20260330_013021_HBAR-USDT-SWAP_short,2
AVAX-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:02:03,20260330_000045_AVAX-USDT-SWAP_short,1
ETHW-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:05:17,20260330_020200_ETHW-USDT-SWAP_short,1
IOTA-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 20,2026-03-30 02:06:35,20260330_020509_IOTA-USDT-SWAP_short,2
LIT-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:06:35,20260330_020146_LIT-USDT-SWAP_short,2
ICP-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:06:35,20260330_020144_ICP-USDT-SWAP_short,2
FLOKI-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:06:35,20260330_020138_FLOKI-USDT-SWAP_short,2
ATOM-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:06:35,20260330_020132_ATOM-USDT-SWAP_short,2
DOT-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:06:35,20260330_020124_DOT-USDT-SWAP_short,2
COMP-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 55,2026-03-30 02:32:00,20260330_020141_COMP-USDT-SWAP_short,2
AVAX-USDT-SWAP,True,"system_name,base_unit_qty,sync_restored_context",long,True,Turtle 20,2026-03-30 03:54:10,20260330_035410_AVAX-USDT-SWAP_long,1
GMT-USDT-SWAP,True,"system_name,base_unit_qty,sync_restored_context",short,True,Turtle 20,2026-03-30 04:13:26,20260330_041326_GMT-USDT-SWAP_short,1
CELO-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 04:30:30,20260330_043027_CELO-USDT-SWAP_long,1
ZIL-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 04:33:22,20260330_033006_ZIL-USDT-SWAP_long,2
INJ-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 05:02:07,20260330_043023_INJ-USDT-SWAP_long,2
OP-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 05:02:07,20260330_033127_OP-USDT-SWAP_long,2
SHIB-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 05:02:07,20260330_033122_SHIB-USDT-SWAP_long,2
1INCH-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 05:02:07,20260330_033119_1INCH-USDT-SWAP_long,2
ZBCN-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 05:02:07,20260330_033009_ZBCN-USDT-SWAP_long,2
COMP-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 06:02:48,20260330_050159_COMP-USDT-SWAP_long,2
ARB-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 06:02:48,20260330_050155_ARB-USDT-SWAP_long,2
MINA-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 55,2026-03-30 06:02:48,20260330_033113_MINA-USDT-SWAP_long,2
KSM-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 06:30:43,20260330_060244_KSM-USDT-SWAP_long,2
AUCTION-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 06:30:43,20260330_043318_AUCTION-USDT-SWAP_long,2
ETHFI-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 06:32:01,20260330_033117_ETHFI-USDT-SWAP_long,2
CELO-USDT-SWAP,True,"system_name,base_unit_qty,sync_restored_context",long,True,Turtle 20,2026-03-30 07:34:00,20260330_073400_CELO-USDT-SWAP_long,1
IMX-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 08:04:08,20260330_073750_IMX-USDT-SWAP_long,2
BNB-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 55,2026-03-30 08:33:14,20260330_060240_BNB-USDT-SWAP_long,2
FLOKI-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 55,2026-03-30 11:01:56,20260330_103059_FLOKI-USDT-SWAP_long,2
LPT-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 11:33:13,20260330_103103_LPT-USDT-SWAP_long,2
LDO-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 55,2026-03-30 12:03:03,20260330_101136_LDO-USDT-SWAP_long,2
YFI-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 55,2026-03-30 14:01:56,20260330_133115_YFI-USDT-SWAP_long,2
XAG-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 15:02:37,20260330_120258_XAG-USDT-SWAP_long,2
TSLA-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 55,2026-03-30 16:00:35,20260330_160026_TSLA-USDT-SWAP_long,1
CELO-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 16:32:47,20260330_160400_CELO-USDT-SWAP_long,2
MASK-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 16:32:47,20260330_160030_MASK-USDT-SWAP_long,2
YFI-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 16:53:01,20260330_165111_YFI-USDT-SWAP_long,2
COMP-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 20,2026-03-30 17:01:47,20260330_163242_COMP-USDT-SWAP_short,2
LIT-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 20,2026-03-30 17:31:23,20260330_170142_LIT-USDT-SWAP_short,2
BCH-USDT-SWAP,False,exchange_stop_full_position,long,False,Turtle 20,2026-03-30 18:32:26,20260330_180047_BCH-USDT-SWAP_long,2
NEAR-USDT-SWAP,False,exchange_stop_full_position,short,False,Turtle 20,2026-03-30 19:02:56,20260330_173119_NEAR-USDT-SWAP_short,2
