early_exit_flag,early_exit_gap_pct,exit_efficiency,exit_reason,hybrid_stop_mode,inst_id,mfe_pct,realized_pnl_pct,realized_r,side,system_name,trade_id,trend_capture_ratio,trend_move_r,trend_strength_r,turtle_exit_period,units
False,4.637429,-0.932773,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ZBCN-USDT-SWAP,4.637429,-2.409900130264872,-0.513889,short,Turtle 20,20260330_180045_ZBCN-USDT-SWAP_short,-0.519663,0.988889,0.988889,10,1
False,0.314752,0.176235,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,BCH-USDT-SWAP,0.730422,0.41567043587000296,0.16828,long,Turtle 20,20260330_180047_BCH-USDT-SWAP_long,0.569083,0.295704,0.295704,10,3
False,1.039755,-1.0,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,LIT-USDT-SWAP,1.039755,-3.97553516819562,-0.764706,short,Turtle 20,20260330_170142_LIT-USDT-SWAP_short,-3.823531,0.2,0.2,10,2
False,3.044597,0.0,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,CELO-USDT-SWAP,3.044597,-12.094632344449858,-1.441434,long,Turtle 20,20260330_160400_CELO-USDT-SWAP_long,-3.97249,0.362854,0.362854,10,2
False,0.58575,-157.261836,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,YFI-USDT-SWAP,0.58575,-4.57283602247611,-2.100585,long,Turtle 20,20260330_165111_YFI-USDT-SWAP_long,-7.806805,0.269071,0.269071,10,2
False,0.0,0.240925,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ARB-USDT-SWAP,2.892346,2.9561954986601036,0.512855,long,Turtle 20,20260330_050155_ARB-USDT-SWAP_long,1.022075,0.501778,0.501778,10,4
False,0.0,0.020621,канальный_выход_10_свечей,DONCHIAN_ACTIVE,1INCH-USDT-SWAP,2.701166,4.407165197611588,1.24,long,Turtle 20,20260330_033119_1INCH-USDT-SWAP_long,1.631579,0.76,0.76,10,4
False,0.0,0.0,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,BAND-USDT-SWAP,0.0,-6.879606879606874,0.0,long,Turtle 20,20260330_163240_BAND-USDT-SWAP_long,0.0,0.0,0.0,10,1
False,0.707896,-1.282848,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,LDO-USDT-SWAP,0.707896,-5.136892069114746,-0.557877,long,Turtle 55,20260330_101136_LDO-USDT-SWAP_long,-7.256563,0.076879,0.076879,20,4
False,11.503996,-8.2,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,MASK-USDT-SWAP,11.503996,-4.9648825381448205,-2.697369,long,Turtle 20,20260330_160030_MASK-USDT-SWAP_long,-0.431579,6.25,6.25,10,2
False,0.841289,-9.591056,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,TSLA-USDT-SWAP,0.841289,-18.21498594649599,-4.008432,long,Turtle 55,20260330_160026_TSLA-USDT-SWAP_long,-21.651283,0.185136,0.185136,20,1
False,0.0,0.0,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,CRV-USDT-SWAP,0.0,-10.825439783491202,0.0,long,Turtle 55,20260330_160028_CRV-USDT-SWAP_long,0.0,0.0,0.0,20,1
False,0.916789,-0.09633,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,KSM-USDT-SWAP,0.916789,-0.40722861377705394,-0.084226,long,Turtle 20,20260330_060244_KSM-USDT-SWAP_long,-0.44419,0.189617,0.189617,10,4
False,0.450454,-0.378833,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,BNB-USDT-SWAP,0.450454,-0.822579839719448,-0.217063,long,Turtle 55,20260330_060240_BNB-USDT-SWAP_long,-1.826113,0.118866,0.118866,20,4
False,0.283286,-2.0,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,YGG-USDT-SWAP,0.283286,-2.8328611898016822,-0.43478,long,Turtle 55,20260330_140151_YGG-USDT-SWAP_long,-10.000004,0.043478,0.043478,20,1
False,0.348106,-2.844692,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,YFI-USDT-SWAP,0.348106,-3.221194981709304,-0.558096,long,Turtle 55,20260330_133115_YFI-USDT-SWAP_long,-9.253489,0.060312,0.060312,20,3
False,0.720603,-0.757962,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,XAG-USDT-SWAP,0.720603,-2.7841467409105407,-0.543876,long,Turtle 20,20260330_120258_XAG-USDT-SWAP_long,-3.863635,0.140768,0.140768,10,3
