breakout_id,cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:08
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:08
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:08
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:16
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:16
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:16
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:23
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:23
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:23
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:29
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:29
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:29
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:36
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:36
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:36
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:41
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:41
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:41
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:49
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:49
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:49
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,long,30m,2026-03-30 20:37:50
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,short,30m,2026-03-30 20:37:50
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:37:54
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:37:54
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:37:54
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,long,30m,2026-03-30 20:37:54
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,short,30m,2026-03-30 20:37:54
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:38:01
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:38:01
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:38:01
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,long,30m,2026-03-30 20:38:01
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,short,30m,2026-03-30 20:38:01
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,long,30m,2026-03-30 20:38:08
,False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0882,False,,False,short,30m,2026-03-30 20:38:08
,,reentry_check,True,scan,1INCH-USDT-SWAP,0.0882,False,0.0,,scan,30m,2026-03-30 20:38:08
,False,reentry_check,True,ok,2Z-USDT-SWAP,0.0723,False,,False,long,30m,2026-03-30 20:38:08
