2026-03-31 14:34:59,875 | INFO | system_events | logger_factory:configure_logging:171 | logging_configured version=v123 logs_dir=D:\GIT\okx-trading-bot\v12x\v121\logs
2026-03-31 14:35:34,365 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:34,921 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/config "HTTP/2 200 OK"
2026-03-31 14:35:34,935 | WARNING | root | turtle_engine_impl:_load_state:560 | Failed to load state: name 'is_hidden_instrument' is not defined (backup=None)
2026-03-31 14:35:34,935 | INFO | engine.app | runtime_engine_bundle:attach:62 | runtime_engine_bundle_attached positions=0 closed=0
2026-03-31 14:35:34,936 | INFO | engine.app | stage3_engine_bundle:attach:39 | stage3_engine_bundle_attached scanner=True trading=True analysis=True
2026-03-31 14:35:35,394 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:35,442 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:35,538 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:35,762 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:35,915 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:36,379 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=2Z-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:36,433 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:36,756 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:36,804 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:36,932 | INFO | websocket | _logging:info:89 | Websocket connected
2026-03-31 14:35:36,949 | INFO | websocket | _logging:info:89 | Websocket connected
2026-03-31 14:35:37,242 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BTC-USDT-SWAP&bar=5m&limit=64 "HTTP/2 200 OK"
2026-03-31 14:35:37,272 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/positions?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:37,340 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=A-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:37,693 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=A-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:38,275 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AAVE-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:38,642 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:38,648 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AAVE-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:39,008 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:39,233 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ACT-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:39,371 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:39,603 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ACT-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:39,722 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:40,193 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ADA-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:40,557 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ADA-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:41,129 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AI16Z-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:41,279 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:41,488 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AI16Z-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:41,655 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:42,010 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:42,069 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AKITA-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:42,363 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:42,429 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AKITA-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:43,012 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ALGO-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:43,383 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ALGO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:43,733 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:43,967 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ARB-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:44,190 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:44,338 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:44,645 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:44,921 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ASP-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:45,009 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:45,366 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:45,951 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ASTER-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:46,318 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:46,374 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:46,735 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:46,894 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ATOM-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:47,097 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:47,270 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:47,449 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:47,866 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AUCTION-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:48,227 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AUCTION-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:48,808 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AVAX-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:48,819 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:49,163 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AVAX-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:49,191 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:49,553 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:49,737 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AXS-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:49,912 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:50,100 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AXS-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:50,684 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BAND-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:51,046 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BAND-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:51,567 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:51,636 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:51,933 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-31 14:35:52,108 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BCH-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:52,389 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:52,697 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BIO-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:52,764 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:53,068 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BIO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:53,657 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BLUAI-USDT-SWAP "HTTP/2 200 OK"
2026-03-31 14:35:54,019 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BLUAI-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-31 14:35:54,132 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-31 14:35:54,492 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
